college_team,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oklahoma,7,17,24,29,33,43,52,60,64,67,73,78,81,84,97,101,104,109,118,120,122,122,128,130,134,137,139,141,143,147,150,161,167,170,174,179,186,190,197,203,207,214,218,222,226,234
Ohio St.,8,21,32,37,43,47,50,58,61,65,71,74,78,82,90,94,97,100,103,107,112,120,124,131,131,139,145,151,159,164,178,181,190,198,201,208,212,217,221,224,230,235,247,254,261,270
Alabama,5,7,13,17,21,26,32,37,40,44,46,48,52,60,63,68,71,74,78,84,90,95,100,103,107,108,111,114,118,123,127,131,136,139,139,143,150,155,163,172,180,187,194,204,216,226
Clemson,1,1,5,5,8,14,17,19,25,35,41,47,47,51,54,59,62,70,74,79,81,82,85,87,92,98,98,101,101,103,105,108,111,116,118,122,127,133,137,141,146,151,160,166,169,175
LSU,2,8,12,15,17,20,24,29,31,37,40,45,48,54,61,67,74,76,78,78,80,82,85,88,91,94,96,99,105,109,116,119,126,131,138,144,150,156,161,170,179,183,188,196,203,206
Duke,1,2,2,5,6,7,7,7,10,11,12,12,12,13,14,15,17,17,17,17,17,17,20,20,21,22,23,23,23,23,24,24,24,24,24,24,24,24,24,25,26,28,28,28,28,29
Kentucky,4,7,10,12,18,25,28,29,30,30,31,35,38,41,45,49,52,54,54,58,61,62,64,66,67,69,70,73,74,76,77,78,78,78,82,83,86,87,89,90,91,93,94,94,94,99
Iowa,1,2,7,7,9,11,13,16,18,21,26,30,35,39,43,47,49,53,58,61,62,63,64,68,72,74,76,77,80,85,90,95,97,100,103,107,113,119,125,126,129,132,133,137,140,144
Houston,1,10,12,16,18,22,25,27,30,33,38,41,45,45,45,48,55,57,62,62,65,66,68,72,74,74,75,75,75,76,77,78,78,79,80,81,81,81,81,82,82,82,85,88,89,92
Michigan,10,19,26,32,37,44,50,54,61,68,70,71,75,80,83,86,91,98,104,110,111,116,122,125,130,134,140,145,149,155,159,162,165,172,178,180,183,185,188,190,193,196,199,210,212,217
Boston Col.,8,12,16,24,24,26,29,32,34,36,39,44,46,50,54,58,59,60,61,62,64,68,70,72,74,77,80,81,83,86,88,88,91,93,96,98,99,100,101,101,105,108,110,112,115,119
Florida St.,1,2,5,7,11,13,17,22,25,25,27,31,37,38,42,48,55,60,66,72,78,88,92,99,108,112,119,128,130,136,141,150,158,163,166,167,170,173,177,188,195,206,208,212,218,220
North Carolina St.,4,7,9,9,12,14,19,21,25,27,27,29,33,35,36,38,40,45,49,52,55,59,59,60,62,64,66,68,70,72,75,78,84,87,89,91,93,94,99,102,103,103,106,109,116,120
Mississippi St.,3,6,9,13,16,19,21,25,28,30,31,31,33,37,38,40,42,44,46,50,51,57,59,61,64,68,72,76,77,80,80,82,84,85,85,85,87,91,94,97,98,103,106,107,110,115
Maryland,2,13,14,19,22,24,25,29,30,33,39,42,48,52,57,61,63,66,68,69,69,70,71,72,73,75,77,79,82,83,88,90,93,95,96,101,103,105,105,106,107,109,112,112,114,118
Washington St.,3,6,10,10,18,19,23,28,32,34,37,39,43,47,50,53,59,59,63,66,66,70,71,74,78,79,80,81,83,85,88,91,92,94,95,96,96,97,97,98,99,101,102,103,105,107
Alabama St.,0,0,0,0,1,1,2,4,5,6,7,8,8,8,8,9,9,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,15,15,16
Notre Dame,8,18,20,20,28,38,44,50,53,59,64,69,73,77,82,87,96,106,114,123,133,138,142,147,148,155,156,162,168,175,180,182,185,192,196,197,201,202,206,212,220,221,228,230,234,240
TCU,4,6,7,7,9,10,12,12,13,16,19,22,24,24,27,31,34,36,37,37,37,39,39,40,42,42,42,48,49,51,52,53,56,58,58,63,66,71,73,75,76,78,83,84,87,90
