college_team,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ohio St.,0,0,1,1,1,1,1,1,2,2,2,5,5,5,6,6,6,7,7,7,7,8,8,10,12,15,15,16,19,19,19,20,20,21,22,24,25,25,26,27,28,30,30,30,30,31,31,31,33,34,36,36,38,38,38,38,38,39,39,40,42,45,45,47,47,48,49,49,50,50,52,52,52,53,53,54,54,54,55,55,58,59,60,61
Georgia,0,0,1,1,1,1,1,2,2,3,3,3,4,5,5,6,7,8,8,8,8,9,9,10,10,12,12,12,13,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,18,18,18,18,18,19,21,21,22,22,23,23,23,24,25,25,28,28,29,29,30,31,31,31,32,34,36,37,37,37,38,38,38,39,40
Penn St.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,4,5,5,5,5,7,7,8,8,8,8,9,9,10,11,12,14,14,14,14,14,15,16,17,20,20,21,22,22,22,22,23,23,24,25,25,26,27,27,28,30,30,30,30,31,31,31,32,32,32,34,35,35,35,37,37,37,37,38,38,38,39,40,40
Notre Dame,0,0,1,3,3,3,3,4,4,4,8,8,8,12,14,16,18,18,21,23,24,25,26,27,27,29,31,32,33,34,34,37,37,39,39,40,40,40,41,41,41,41,41,43,44,44,44,45,46,47,47,48,49,49,50,52,52,54,56,57,57,58,59,59,59,59,59,59,59,60,60,60,60,60,61,62,63,64,65,65,66,66,67,67
Alabama,0,1,1,1,1,2,2,3,3,3,3,3,5,5,5,5,5,6,6,6,7,7,7,7,7,7,9,10,10,11,11,11,12,12,12,12,12,13,13,13,13,14,15,16,17,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,23,25,26,26,26,26,29,30,31,33,35,36,38,39,39
Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,7,7,8,8,8,9,9,12,15,15,18,18,20,21,22,22,24,25,25,25,25,26,26,27,29,30,31,32,33,33
Boise St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,5,5,5,6,6
Louisville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,7,8,8,8,8,9,9,10,11,11,11,12,12,12,12,12,12,12,12,12,13,13,14,15,15,15,15,15,16,16,16,16,17,17
South Carolina St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Oklahoma,0,0,0,0,3,4,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,9,12,13,14,14,14,14,14,15,15,15,15,15,16,16,16,17,17,18,20,20,20,21,22,22,22,22,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,26,27,28,29,30,30,30,33,34,34,35,35,35,35,35,36,36
