Source,Target
CG33,PL254
PL254,NFL5
CG1,PL256
PL256,NFL26
CG17,PL258
PL258,NFL25
CG11,PL269
PL269,NFL22
CG59,PL271
PL271,NFL29
CG106,PL288
PL288,NFL25
CG70,PL401
PL401,NFL23
CG32,PL507
PL507,NFL26
CG74,PL508
PL508,NFL31
CG4,PL512
PL512,NFL2
CG99,PL516
PL516,NFL28
CG1,PL517
PL517,NFL27
CG3,PL518
PL518,NFL20
CG46,PL536
PL536,NFL9
CG20,PL542
PL542,NFL0
CG54,PL568
PL568,NFL9
CG111,PL573
PL573,NFL27
CG40,PL592
PL592,NFL28
CG68,PL611
PL611,NFL9
CG2,PL618
PL618,NFL31
CG89,PL625
PL625,NFL31
CG7,PL652
PL652,NFL1
CG7,PL657
PL657,NFL22
CG156,PL671
PL671,NFL7
CG137,PL759
PL759,NFL30
CG72,PL760
PL760,NFL19
CG1,PL761
PL761,NFL22
CG1,PL762
PL762,NFL29
CG11,PL763
PL763,NFL6
CG66,PL765
PL765,NFL1
CG49,PL766
PL766,NFL17
CG23,PL775
PL775,NFL13
CG41,PL796
PL796,NFL12
CG1,PL805
PL805,NFL27
CG4,PL810
PL810,NFL13
CG27,PL814
PL814,NFL31
CG141,PL822
PL822,NFL17
CG14,PL827
PL827,NFL6
CG35,PL839
PL839,NFL13
CG46,PL857
PL857,NFL26
CG24,PL875
PL875,NFL30
CG13,PL893
PL893,NFL29
CG65,PL908
PL908,NFL31
CG173,PL923
PL923,NFL28
CG11,PL1010
PL1010,NFL4
CG2,PL1013
PL1013,NFL3
CG7,PL1014
PL1014,NFL14
CG54,PL1015
PL1015,NFL2
CG3,PL1017
PL1017,NFL13
CG19,PL1019
PL1019,NFL30
CG35,PL1022
PL1022,NFL27
CG46,PL1024
PL1024,NFL22
CG20,PL1027
PL1027,NFL28
CG128,PL1036
PL1036,NFL29
CG2,PL1042
PL1042,NFL5
CG13,PL1052
PL1052,NFL20
CG27,PL1078
PL1078,NFL23
CG127,PL1095
PL1095,NFL0
CG4,PL1097
PL1097,NFL16
CG4,PL1133
PL1133,NFL4
CG59,PL1158
PL1158,NFL12
CG153,PL1180
PL1180,NFL28
CG24,PL1265
PL1265,NFL20
CG165,PL1269
PL1269,NFL3
CG32,PL1270
PL1270,NFL13
CG32,PL1271
PL1271,NFL4
CG100,PL1273
PL1273,NFL16
CG74,PL1274
PL1274,NFL7
CG9,PL1275
PL1275,NFL17
CG4,PL1276
PL1276,NFL5
CG68,PL1277
PL1277,NFL30
CG102,PL1278
PL1278,NFL31
CG1,PL1279
PL1279,NFL9
CG17,PL1280
PL1280,NFL29
CG2,PL1281
PL1281,NFL21
CG2,PL1285
PL1285,NFL11
CG55,PL1287
PL1287,NFL28
CG18,PL1289
PL1289,NFL22
CG103,PL1296
PL1296,NFL16
CG59,PL1298
PL1298,NFL29
CG104,PL1299
PL1299,NFL26
CG75,PL1300
PL1300,NFL3
CG75,PL1317
PL1317,NFL11
CG33,PL1325
PL1325,NFL6
CG4,PL1327
PL1327,NFL12
CG4,PL1356
PL1356,NFL15
CG11,PL1367
PL1367,NFL13
CG11,PL1408
PL1408,NFL6
CG59,PL1510
PL1510,NFL31
CG26,PL1521
PL1521,NFL28
CG0,PL1524
PL1524,NFL19
CG47,PL1525
PL1525,NFL7
CG28,PL1533
PL1533,NFL2
CG4,PL1538
PL1538,NFL1
CG66,PL1540
PL1540,NFL31
CG17,PL1541
PL1541,NFL10
CG20,PL1542
PL1542,NFL13
CG11,PL1545
PL1545,NFL16
CG3,PL1547
PL1547,NFL20
CG111,PL1549
PL1549,NFL16
CG46,PL1551
PL1551,NFL29
CG35,PL1555
PL1555,NFL19
CG13,PL1556
PL1556,NFL7
CG123,PL1564
PL1564,NFL15
CG49,PL1568
PL1568,NFL9
CG115,PL1572
PL1572,NFL24
CG2,PL1581
PL1581,NFL11
CG94,PL1583
PL1583,NFL28
CG6,PL1585
PL1585,NFL7
CG4,PL1589
PL1589,NFL0
CG212,PL1595
PL1595,NFL27
CG137,PL1596
PL1596,NFL22
CG23,PL1605
PL1605,NFL14
CG213,PL1614
PL1614,NFL21
CG78,PL1629
PL1629,NFL11
CG175,PL1650
PL1650,NFL21
CG7,PL1679
PL1679,NFL11
CG36,PL1701
PL1701,NFL3
CG35,PL1773
PL1773,NFL25
CG41,PL1774
PL1774,NFL14
CG54,PL1776
PL1776,NFL16
CG10,PL1781
PL1781,NFL15
CG24,PL1782
PL1782,NFL8
CG43,PL1783
PL1783,NFL28
CG13,PL1784
PL1784,NFL19
CG24,PL1790
PL1790,NFL22
CG96,PL1793
PL1793,NFL24
CG35,PL1796
PL1796,NFL9
CG2,PL1797
PL1797,NFL24
CG17,PL1801
PL1801,NFL16
CG59,PL1803
PL1803,NFL4
CG137,PL1809
PL1809,NFL26
CG222,PL1811
PL1811,NFL30
CG24,PL1817
PL1817,NFL31
CG85,PL1819
PL1819,NFL23
CG74,PL1824
PL1824,NFL17
CG132,PL1830
PL1830,NFL4
CG44,PL1832
PL1832,NFL21
CG30,PL1834
PL1834,NFL11
CG63,PL1844
PL1844,NFL12
CG46,PL1847
PL1847,NFL23
CG183,PL1848
PL1848,NFL20
CG91,PL1859
PL1859,NFL19
CG136,PL1862
PL1862,NFL25
CG63,PL1867
PL1867,NFL12
CG49,PL1872
PL1872,NFL14
CG7,PL1901
PL1901,NFL11
CG111,PL1906
PL1906,NFL18
CG160,PL1912
PL1912,NFL15
CG45,PL1940
PL1940,NFL14
CG19,PL1942
PL1942,NFL16
CG224,PL1944
PL1944,NFL0
CG55,PL2019
PL2019,NFL15
CG32,PL2020
PL2020,NFL18
CG2,PL2021
PL2021,NFL8
CG19,PL2022
PL2022,NFL10
CG4,PL2023
PL2023,NFL0
CG2,PL2024
PL2024,NFL13
CG28,PL2025
PL2025,NFL1
CG54,PL2027
PL2027,NFL29
CG46,PL2029
PL2029,NFL20
CG74,PL2032
PL2032,NFL30
CG23,PL2033
PL2033,NFL12
CG123,PL2034
PL2034,NFL14
CG137,PL2042
PL2042,NFL27
CG2,PL2046
PL2046,NFL27
CG22,PL2048
PL2048,NFL2
CG1,PL2049
PL2049,NFL9
CG18,PL2053
PL2053,NFL10
CG17,PL2061
PL2061,NFL16
CG11,PL2073
PL2073,NFL28
CG6,PL2082
PL2082,NFL11
CG19,PL2088
PL2088,NFL28
CG0,PL2089
PL2089,NFL29
CG54,PL2095
PL2095,NFL17
CG13,PL2117
PL2117,NFL23
CG54,PL2120
PL2120,NFL26
CG208,PL2147
PL2147,NFL18
CG128,PL2154
PL2154,NFL0
CG35,PL2172
PL2172,NFL23
CG143,PL2194
PL2194,NFL29
CG102,PL2198
PL2198,NFL21
CG94,PL2209
PL2209,NFL19
CG132,PL2273
PL2273,NFL7
CG0,PL2274
PL2274,NFL4
CG0,PL2275
PL2275,NFL14
CG111,PL2276
PL2276,NFL28
CG61,PL2277
PL2277,NFL23
CG23,PL2278
PL2278,NFL26
CG3,PL2280
PL2280,NFL8
CG75,PL2283
PL2283,NFL22
CG70,PL2285
PL2285,NFL23
CG112,PL2286
PL2286,NFL5
CG95,PL2288
PL2288,NFL1
CG23,PL2289
PL2289,NFL9
CG0,PL2292
PL2292,NFL10
CG164,PL2293
PL2293,NFL18
CG61,PL2295
PL2295,NFL29
CG76,PL2298
PL2298,NFL24
CG25,PL2307
PL2307,NFL28
CG66,PL2309
PL2309,NFL26
CG91,PL2313
PL2313,NFL24
CG31,PL2316
PL2316,NFL18
CG143,PL2317
PL2317,NFL5
CG18,PL2318
PL2318,NFL0
CG23,PL2325
PL2325,NFL10
CG33,PL2326
PL2326,NFL29
CG17,PL2331
PL2331,NFL23
CG107,PL2353
PL2353,NFL9
CG231,PL2359
PL2359,NFL0
CG33,PL2362
PL2362,NFL1
CG63,PL2366
PL2366,NFL27
CG54,PL2371
PL2371,NFL16
CG100,PL2375
PL2375,NFL17
CG118,PL2381
PL2381,NFL22
CG19,PL2391
PL2391,NFL10
CG102,PL2404
PL2404,NFL23
CG19,PL2434
PL2434,NFL12
CG25,PL2446
PL2446,NFL15
CG26,PL2466
PL2466,NFL9
CG176,PL2493
PL2493,NFL17
CG19,PL2527
PL2527,NFL7
CG10,PL2535
PL2535,NFL11
CG70,PL2539
PL2539,NFL14
CG1,PL2540
PL2540,NFL27
CG54,PL2541
PL2541,NFL20
CG137,PL2547
PL2547,NFL26
CG23,PL2548
PL2548,NFL16
CG86,PL2551
PL2551,NFL12
CG54,PL2552
PL2552,NFL11
CG103,PL2554
PL2554,NFL8
CG66,PL2568
PL2568,NFL8
CG94,PL2572
PL2572,NFL20
CG66,PL2575
PL2575,NFL23
CG68,PL2579
PL2579,NFL19
CG28,PL2581
PL2581,NFL13
CG99,PL2604
PL2604,NFL22
CG25,PL2610
PL2610,NFL9
CG24,PL2615
PL2615,NFL17
CG70,PL2631
PL2631,NFL31
CG60,PL2635
PL2635,NFL11
CG139,PL2638
PL2638,NFL20
CG226,PL2666
PL2666,NFL31
CG94,PL2668
PL2668,NFL10
CG107,PL2690
PL2690,NFL27
CG39,PL2711
PL2711,NFL21
CG58,PL2748
PL2748,NFL25
CG9,PL2783
PL2783,NFL12
CG10,PL2785
PL2785,NFL13
CG111,PL2792
PL2792,NFL24
CG59,PL2794
PL2794,NFL18
CG66,PL2795
PL2795,NFL15
CG39,PL2797
PL2797,NFL28
CG190,PL2798
PL2798,NFL0
CG118,PL2802
PL2802,NFL4
CG143,PL2806
PL2806,NFL17
CG112,PL2807
PL2807,NFL29
CG102,PL2808
PL2808,NFL20
CG102,PL2817
PL2817,NFL28
CG27,PL2818
PL2818,NFL11
CG87,PL2826
PL2826,NFL31
CG137,PL2831
PL2831,NFL19
CG63,PL2832
PL2832,NFL0
CG76,PL2837
PL2837,NFL21
CG32,PL2843
PL2843,NFL29
CG70,PL2855
