Source,Target
CG19,PL260
PL260,NFL31
CG102,PL268
PL268,NFL8
CG59,PL271
PL271,NFL29
CG2,PL274
PL274,NFL17
CG10,PL293
PL293,NFL17
CG54,PL300
PL300,NFL22
CG76,PL304
PL304,NFL25
CG47,PL322
PL322,NFL1
CG1,PL325
PL325,NFL12
CG70,PL330
PL330,NFL10
CG30,PL340
PL340,NFL11
CG3,PL352
PL352,NFL28
CG7,PL358
PL358,NFL18
CG25,PL388
PL388,NFL15
CG36,PL393
PL393,NFL23
CG123,PL395
PL395,NFL24
CG39,PL399
PL399,NFL30
CG21,PL430
PL430,NFL24
CG46,PL454
PL454,NFL4
CG20,PL469
PL469,NFL18
CG46,PL482
PL482,NFL6
CG18,PL483
PL483,NFL30
CG74,PL485
PL485,NFL15
CG79,PL498
PL498,NFL11
CG28,PL528
PL528,NFL12
CG46,PL536
PL536,NFL9
CG8,PL553
PL553,NFL21
CG2,PL555
PL555,NFL14
CG27,PL579
PL579,NFL10
CG2,PL584
PL584,NFL21
CG45,PL609
PL609,NFL27
CG4,PL613
PL613,NFL4
CG55,PL622
PL622,NFL10
CG9,PL626
PL626,NFL16
CG147,PL631
PL631,NFL30
CG31,PL708
PL708,NFL1
CG18,PL732
PL732,NFL17
CG113,PL753
PL753,NFL9
CG19,PL767
PL767,NFL31
CG1,PL778
PL778,NFL2
CG17,PL792
PL792,NFL29
CG100,PL794
PL794,NFL6
CG2,PL799
PL799,NFL8
CG4,PL810
PL810,NFL13
CG54,PL811
PL811,NFL14
CG19,PL841
PL841,NFL2
CG85,PL845
PL845,NFL10
CG85,PL846
PL846,NFL11
CG46,PL857
PL857,NFL26
CG1,PL860
PL860,NFL22
CG3,PL867
PL867,NFL5
CG58,PL871
PL871,NFL31
CG69,PL873
PL873,NFL13
CG23,PL883
PL883,NFL25
CG28,PL918
PL918,NFL16
CG83,PL933
PL933,NFL22
CG176,PL938
PL938,NFL6
CG0,PL940
PL940,NFL4
CG6,PL947
PL947,NFL30
CG97,PL951
PL951,NFL3
CG180,PL965
PL965,NFL24
CG8,PL970
PL970,NFL24
CG20,PL976
PL976,NFL9
CG100,PL978
PL978,NFL17
CG30,PL983
PL983,NFL16
CG10,PL988
PL988,NFL14
CG22,PL1002
PL1002,NFL9
CG91,PL1006
PL1006,NFL26
CG66,PL1007
PL1007,NFL19
CG23,PL1012
PL1012,NFL6
CG3,PL1017
PL1017,NFL13
CG6,PL1031
PL1031,NFL9
CG20,PL1034
PL1034,NFL15
CG3,PL1040
PL1040,NFL27
CG13,PL1052
PL1052,NFL20
CG20,PL1053
PL1053,NFL27
CG100,PL1054
PL1054,NFL16
CG63,PL1057
PL1057,NFL22
CG132,PL1069
PL1069,NFL29
CG39,PL1088
PL1088,NFL1
CG103,PL1091
PL1091,NFL2
CG70,PL1093
PL1093,NFL19
CG18,PL1108
PL1108,NFL10
CG19,PL1127
PL1127,NFL28
CG4,PL1133
PL1133,NFL4
CG69,PL1136
PL1136,NFL29
CG9,PL1138
PL1138,NFL11
CG118,PL1149
PL1149,NFL3
CG62,PL1150
PL1150,NFL14
CG162,PL1157
PL1157,NFL27
CG72,PL1162
PL1162,NFL22
CG23,PL1170
PL1170,NFL3
CG153,PL1180
PL1180,NFL28
CG103,PL1185
PL1185,NFL17
CG39,PL1187
PL1187,NFL3
CG3,PL1196
PL1196,NFL8
CG19,PL1215
PL1215,NFL25
CG112,PL1219
PL1219,NFL20
CG54,PL1227
PL1227,NFL26
CG41,PL1232
PL1232,NFL30
CG194,PL1240
PL1240,NFL16
CG80,PL1244
PL1244,NFL29
CG2,PL1261
PL1261,NFL24
