ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL260,Roquan Smith,Player,0,0,21,1,8,ILB
PL268,Tremaine Edmunds,Player,0,0,20,1,16,ILB
PL271,Leighton Vander Esch,Player,0,1,22,1,19,OLB
PL274,Rashaan Evans,Player,0,0,22,1,22,ILB
PL293,Harold Landry,Player,0,0,22,2,41,OLB
PL300,Uchenna Nwosu,Player,0,0,21,2,48,OLB
PL304,Kemoko Turay,Player,0,0,23,2,52,OLB
PL322,Fred Warner,Player,0,0,21,3,70,OLB
PL325,Jerome Baker,Player,0,0,21,3,73,OLB
PL330,Malik Jefferson,Player,0,0,21,3,78,OLB
PL340,Oren Burks,Player,0,0,23,3,88,ILB
PL352,Dorian O'Daniel,Player,0,0,24,3,100,OLB
PL358,Josey Jewell,Player,0,0,23,4,106,ILB
PL388,Marquis Haynes,Player,0,0,24,4,136,OLB
PL393,Shaquem Griffin,Player,0,0,23,5,141,OLB
PL395,Ja'Whaun Bentley,Player,0,0,22,5,143,ILB
PL399,Micah Kiser,Player,0,0,23,5,147,ILB
PL430,Christian Sam,Player,0,0,22,6,178,ILB
PL454,Jack Cichy,Player,0,0,22,6,202,ILB
PL469,Keishawn Bierria,Player,0,0,23,6,217,ILB
PL482,Leon Jacobs,Player,0,0,22,7,230,OLB
PL483,Travin Howard,Player,0,0,22,7,231,OLB
PL485,Andre Smith,Player,0,0,21,7,234,ILB
PL498,Kendall Donnerson,Player,0,0,22,7,248,OLB
PL528,Charles Harris,Player,0,0,22,1,22,OLB
PL536,T.J. Watt,Player,0,1,22,1,30,OLB
PL553,Tyus Bowser,Player,0,0,22,2,47,OLB
PL555,Ryan Anderson,Player,0,0,23,2,49,OLB
PL579,Jordan Willis,Player,0,0,22,3,73,OLB
PL584,Tim Williams,Player,0,0,23,3,78,OLB
PL609,Trey Hendrickson,Player,0,0,22,3,103,OLB
PL613,Kendell Beckwith,Player,0,0,22,3,107,ILB
PL622,Carl Lawson,Player,0,0,22,4,116,OLB
PL626,Ben Gedeon,Player,0,0,22,4,120,ILB
PL631,Samson Ebukam,Player,0,0,22,4,125,OLB
PL708,Pita Taumoepenu,Player,0,0,23,6,202,OLB
PL732,Josh Carraway,Player,0,0,23,7,227,OLB
PL753,Keion Adams,Player,0,0,22,7,248,OLB
PL767,Leonard Floyd,Player,0,0,23,1,9,OLB
PL778,Darron Lee,Player,0,0,21,1,20,OLB
PL792,Jaylon Smith,Player,0,0,21,2,34,OLB
PL794,Myles Jack,Player,0,0,21,2,36,OLB
PL799,Reggie Ragland,Player,0,0,22,2,41,ILB
PL810,Deion Jones,Player,0,1,21,2,52,OLB
PL811,Su'a Cravens,Player,0,0,21,2,53,OLB
PL841,Jordan Jenkins,Player,0,0,22,3,83,OLB
PL845,Nick Vigil,Player,0,0,23,3,87,ILB
PL846,Kyler Fackrell,Player,0,0,24,3,88,OLB
PL857,Joe Schobert,Player,0,1,22,4,99,OLB
PL860,Joshua Perry,Player,0,0,22,4,102,ILB
PL867,B.J. Goodson,Player,0,0,23,4,109,OLB
PL871,Nick Kwiatkoski,Player,0,0,23,4,113,ILB
PL873,De'Vondre Campbell,Player,0,0,23,4,115,OLB
PL883,Antonio Morrison,Player,0,0,21,4,125,ILB
PL918,Kentrell Brothers,Player,0,0,23,5,160,OLB
PL933,Jatavis Brown,Player,0,0,22,5,175,OLB
PL938,Tyrone Holmes,Player,0,0,22,6,181,OLB
PL940,Devante Bond,Player,0,0,23,6,183,OLB
PL947,Josh Forrest,Player,0,0,24,6,190,ILB
PL951,Cory James,Player,0,0,23,6,194,OLB
PL965,Kamu Grugier-Hill,Player,0,0,22,6,208,OLB
PL970,Elandon Roberts,Player,0,0,22,6,214,ILB
PL976,Travis Feeney,Player,0,0,23,6,220,OLB
PL978,Aaron Wallace,Player,0,0,23,7,222,OLB
PL983,Stephen Weatherly,Player,0,0,22,7,227,OLB
PL988,Steven Daniels,Player,0,0,23,7,232,ILB
PL1002,Tyler Matakevich,Player,0,0,23,7,246,OLB
PL1006,Scooby Wright,Player,0,0,22,7,250,ILB
PL1007,Joe Walker,Player,0,0,23,7,251,ILB
PL1012,Dante Fowler,Player,0,0,21,1,3,OLB
PL1017,Vic Beasley,Player,1,1,23,1,8,OLB
PL1031,Bud Dupree,Player,0,0,22,1,22,OLB
PL1034,Shaq Thompson,Player,0,0,21,1,25,OLB
PL1040,Stephone Anthony,Player,0,0,23,1,31,ILB
PL1052,Benardrick McKinney,Player,0,1,22,2,43,ILB
PL1053,Hau'oli Kikaha,Player,0,0,23,2,44,OLB
PL1054,Eric Kendricks,Player,0,0,23,2,45,ILB
PL1057,Denzel Perryman,Player,0,0,22,2,48,ILB
PL1069,Randy Gregory,Player,0,0,22,2,60,OLB
PL1088,Eli Harold,Player,0,0,21,3,79,OLB
PL1091,Lorenzo Mauldin,Player,0,0,22,3,82,OLB
PL1093,Jordan Hicks,Player,0,0,23,3,84,OLB
PL1108,Paul Dawson,Player,0,0,22,3,99,ILB
