ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position
PL271,Leighton Vander Esch,Player,0,1,22,2018,1,19,OLB
PL536,T.J. Watt,Player,0,1,22,2017,1,30,OLB
PL810,Deion Jones,Player,0,1,21,2016,2,52,OLB
PL857,Joe Schobert,Player,0,1,22,2016,4,99,OLB
PL1017,Vic Beasley,Player,1,1,23,2015,1,8,OLB
PL1052,Benardrick McKinney,Player,0,1,22,2015,2,43,ILB
PL1133,Kwon Alexander,Player,0,1,21,2015,4,124,OLB
PL1180,D.J. Alexander,Player,0,1,23,2015,5,172,OLB
CG59,Boise St.,College,0,0,0,0,0,0,0
CG46,Wisconsin,College,0,0,0,0,0,0,0
CG4,LSU,College,0,0,0,0,0,0,0
CG3,Clemson,College,0,0,0,0,0,0,0
CG13,Mississippi St.,College,0,0,0,0,0,0,0
CG153,Oregon St.,College,0,0,0,0,0,0,0
NFL29,DAL,NFL Team,0,0,0,0,0,0,0
NFL9,PIT,NFL Team,0,0,0,0,0,0,0
NFL13,ATL,NFL Team,0,0,0,0,0,0,0
NFL26,CLE,NFL Team,0,0,0,0,0,0,0
NFL20,HOU,NFL Team,0,0,0,0,0,0,0
NFL4,TAM,NFL Team,0,0,0,0,0,0,0
NFL28,KAN,NFL Team,0,0,0,0,0,0,0
