Source,Target
CG19,PL29
PL29,NFL5
CG20,PL32
PL32,NFL0
CG22,PL33
PL33,NFL25
CG26,PL38
PL38,NFL4
CG3,PL39
PL39,NFL3
CG30,PL44
PL44,NFL24
CG4,PL45
PL45,NFL26
CG6,PL53
PL53,NFL20
CG9,PL78
PL78,NFL30
CG49,PL82
PL82,NFL9
CG55,PL93
PL93,NFL4
CG17,PL107
PL107,NFL5
CG1,PL110
PL110,NFL13
CG54,PL126
PL126,NFL21
CG8,PL128
PL128,NFL3
CG33,PL145
PL145,NFL7
CG63,PL157
PL157,NFL29
CG20,PL171
PL171,NFL13
CG77,PL179
PL179,NFL5
CG63,PL180
PL180,NFL8
CG40,PL184
PL184,NFL11
CG26,PL194
PL194,NFL20
CG76,PL195
PL195,NFL2
CG39,PL197
PL197,NFL1
CG24,PL200
PL200,NFL28
CG27,PL204
PL204,NFL31
CG70,PL216
PL216,NFL16
CG87,PL220
PL220,NFL26
CG88,PL222
PL222,NFL10
CG90,PL226
PL226,NFL14
CG93,PL237
PL237,NFL31
CG25,PL250
PL250,NFL24
CG1,PL256
PL256,NFL26
CG103,PL270
PL270,NFL11
CG36,PL282
PL282,NFL16
CG7,PL297
PL297,NFL11
CG74,PL305
PL305,NFL4
CG4,PL307
PL307,NFL15
CG23,PL308
PL308,NFL24
CG78,PL310
PL310,NFL13
CG55,PL315
PL315,NFL4
CG111,PL337
PL337,NFL15
CG10,PL351
PL351,NFL18
CG46,PL362
PL362,NFL3
CG2,PL370
PL370,NFL21
CG119,PL373
PL373,NFL8
CG68,PL377
PL377,NFL19
CG27,PL394
PL394,NFL1
CG125,PL403
PL403,NFL10
CG91,PL404
PL404,NFL17
CG126,PL406
PL406,NFL8
CG113,PL422
PL422,NFL10
CG87,PL431
PL431,NFL2
CG33,PL434
PL434,NFL0
CG110,PL440
PL440,NFL26
CG10,PL441
PL441,NFL27
CG115,PL461
PL461,NFL12
CG42,PL474
PL474,NFL20
CG102,PL491
PL491,NFL14
CG142,PL493
PL493,NFL24
CG1,PL517
PL517,NFL27
CG2,PL522
PL522,NFL21
CG54,PL524
PL524,NFL17
CG1,PL530
PL530,NFL3
CG4,PL533
PL533,NFL8
CG20,PL539
PL539,NFL11
CG20,PL549
PL549,NFL19
CG23,PL552
PL552,NFL25
CG23,PL559
PL559,NFL7
CG78,PL566
PL566,NFL29
CG78,PL572
PL572,NFL1
CG100,PL587
PL587,NFL14
CG9,PL598
PL598,NFL29
CG111,PL600
PL600,NFL9
CG3,PL603
PL603,NFL12
CG58,PL605
PL605,NFL19
CG151,PL607
PL607,NFL18
CG8,PL632
PL632,NFL26
CG52,PL655
PL655,NFL13
CG63,PL658
PL658,NFL15
CG22,PL664
PL664,NFL25
CG156,PL671
PL671,NFL7
CG9,PL703
PL703,NFL2
CG25,PL710
PL710,NFL2
CG11,PL721
PL721,NFL29
CG69,PL727
PL727,NFL6
CG12,PL750
PL750,NFL16
CG11,PL763
PL763,NFL6
CG1,PL768
PL768,NFL5
CG23,PL769
PL769,NFL4
CG8,PL782
PL782,NFL10
CG63,PL783
PL783,NFL9
CG41,PL796
PL796,NFL12
CG3,PL812
PL812,NFL16
CG14,PL816
PL816,NFL9
CG2,PL818
PL818,NFL24
CG167,PL820
PL820,NFL15
CG13,PL826
PL826,NFL1
CG17,PL832
PL832,NFL28
CG58,PL835
PL835,NFL15
CG102,PL842
PL842,NFL14
CG32,PL850
PL850,NFL0
CG22,PL862
PL862,NFL21
CG69,PL864
PL864,NFL28
CG168,PL866
PL866,NFL4
CG12,PL876
PL876,NFL2
CG127,PL885
PL885,NFL31
CG4,PL891
PL891,NFL1
CG0,PL899
PL899,NFL15
CG169,PL915
PL915,NFL17
CG164,PL936
PL936,NFL28
CG123,PL946
PL946,NFL29
CG55,PL953
PL953,NFL19
CG179,PL962
PL962,NFL0
CG39,PL966
PL966,NFL21
CG54,PL974
PL974,NFL8
CG117,PL1005
PL1005,NFL1
CG115,PL1009
PL1009,NFL17
CG49,PL1020
PL1020,NFL16
CG64,PL1025
PL1025,NFL20
CG20,PL1027
PL1027,NFL28
CG128,PL1036
PL1036,NFL29
CG4,PL1051
PL1051,NFL13
CG31,PL1056
PL1056,NFL19
CG11,PL1059
PL1059,NFL8
CG25,PL1065
PL1065,NFL9
CG183,PL1071
PL1071,NFL11
CG45,PL1074
PL1074,NFL25
CG11,PL1087
PL1087,NFL27
CG35,PL1089
PL1089,NFL7
CG184,PL1092
PL1092,NFL22
CG153,PL1107
PL1107,NFL28
CG54,PL1129
PL1129,NFL10
CG1,PL1130
PL1130,NFL9
CG186,PL1145
PL1145,NFL21
CG43,PL1154
PL1154,NFL12
CG87,PL1173
PL1173,NFL18
CG19,PL1175
PL1175,NFL27
CG189,PL1178
PL1178,NFL23
CG62,PL1190
PL1190,NFL14
CG103,PL1197
PL1197,NFL26
CG118,PL1199
PL1199,NFL19
CG27,PL1204
PL1204,NFL19
CG70,PL1208
PL1208,NFL7
CG66,PL1249
PL1249,NFL26
CG118,PL1250
PL1250,NFL3
CG195,PL1255
PL1255,NFL24
