ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL29,Deandre Baker,Player,0,0,22,1,30,CB
PL32,Byron Murphy,Player,0,0,21,2,33,CB
PL33,Rock Ya-Sin,Player,0,0,23,2,34,CB
PL38,Sean Murphy-Bunting,Player,0,0,22,2,39,CB
PL39,Trayvon Mullen,Player,0,0,21,2,40,CB
PL44,Joejuan Williams,Player,0,0,21,2,45,CB
PL45,Greedy Williams,Player,0,0,21,2,46,CB
PL53,Lonnie Johnson,Player,0,0,22,2,54,CB
PL78,David Long,Player,0,0,21,3,79,CB
PL82,Justin Layne,Player,0,0,21,3,83,CB
PL93,Jamel Dean,Player,0,0,22,3,94,CB
PL107,Julian Love,Player,0,0,21,4,108,CB
PL110,Kendall Sheffield,Player,0,0,23,4,111,CB
PL126,Iman Marshall,Player,0,0,22,4,127,CB
PL128,Isaiah Johnson,Player,0,0,23,4,129,CB
PL145,Amani Oruwariye,Player,0,0,23,5,146,CB
PL157,Michael Jackson,Player,0,0,22,5,158,CB
PL171,Jordan Miller,Player,0,0,22,5,172,CB
PL179,Corey Ballentine,Player,0,0,23,6,180,CB
PL180,Jaquan Johnson,Player,0,0,23,6,181,CB
PL184,Ka'dar Hollman,Player,0,0,24,6,185,CB
PL194,Xavier Crawford,Player,0,0,23,6,195,CB
PL195,Blessuan Austin,Player,0,0,23,6,196,CB
PL197,Tim Harris,Player,0,0,24,6,198,CB
PL200,Rashad Fenton,Player,0,0,22,6,201,CB
PL204,Duke Shelley,Player,0,0,22,6,205,CB
PL216,Kris Boyd,Player,0,0,22,7,217,CB
PL220,Donnie Lewis,Player,0,0,23,7,221,CB
PL222,Jordan Brown,Player,0,0,23,7,223,CB
PL226,Jimmy Moreland,Player,0,0,24,7,227,CB
PL237,Stephen Denmark,Player,0,0,23,7,238,CB
PL250,Ken Webster,Player,0,0,23,7,252,CB
PL256,Denzel Ward,Player,0,1,21,1,4,CB
PL270,Jaire Alexander,Player,0,0,21,1,18,CB
PL282,Mike Hughes,Player,0,0,21,1,30,CB
PL297,Josh Jackson,Player,0,0,22,2,45,CB
PL305,M.J. Stewart,Player,0,0,22,2,53,CB
PL307,Donte Jackson,Player,0,0,22,2,55,CB
PL308,Duke Dawson,Player,0,0,21,2,56,CB
PL310,Isaiah Oliver,Player,0,0,21,2,58,CB
PL315,Carlton Davis,Player,0,0,21,2,63,CB
PL337,Rashaan Gaulden,Player,0,0,23,3,85,CB
PL351,Isaac Yiadom,Player,0,0,22,3,99,CB
PL362,Nick Nelson,Player,0,0,21,4,110,CB
PL370,Anthony Averett,Player,0,0,23,4,118,CB
PL373,Taron Johnson,Player,0,0,22,4,121,CB
PL377,Avonte Maddox,Player,0,0,22,4,125,CB
PL394,D.J. Reed,Player,0,0,21,5,142,CB
PL403,Davontae Harris,Player,0,0,23,5,151,CB
PL404,Dane Cruikshank,Player,0,0,23,5,152,CB
PL406,Siran Neal,Player,0,0,24,5,154,CB
PL422,Darius Phillips,Player,0,0,23,5,170,CB
PL431,Parry Nickerson,Player,0,0,23,6,179,CB
PL434,Christian Campbell,Player,0,0,22,6,182,CB
PL440,Simeon Thomas,Player,0,0,24,6,188,CB
PL441,Kamrin Moore,Player,0,0,21,6,189,CB
PL461,Cornell Armstrong,Player,0,0,22,6,209,CB
PL474,Jermaine Kelly,Player,0,0,23,7,222,CB
PL491,Greg Stroman,Player,0,0,22,7,241,CB
PL493,Keion Crossen,Player,0,0,22,7,243,CB
PL517,Marshon Lattimore,Player,0,1,21,1,11,CB
PL522,Marlon Humphrey,Player,0,0,21,1,16,CB
PL524,Adoree' Jackson,Player,0,0,21,1,18,CB
PL530,Gareon Conley,Player,0,0,22,1,24,CB
PL533,TreDavious White,Player,0,0,22,1,27,CB
PL539,Kevin King,Player,0,0,22,2,33,CB
PL549,Sidney Jones,Player,0,0,21,2,43,CB
PL552,Quincy Wilson,Player,0,0,21,2,46,CB
PL559,Teez Tabor,Player,0,0,21,2,53,CB
PL566,Chidobe Awuzie,Player,0,0,22,2,60,CB
PL572,Ahkello Witherspoon,Player,0,0,22,3,66,CB
PL587,Fabian Moreau,Player,0,0,23,3,81,CB
PL598,Jourdan Lewis,Player,0,0,22,3,92,CB
PL600,Cameron Sutton,Player,0,0,22,3,94,CB
PL603,Cordrea Tankersley,Player,0,0,23,3,97,CB
PL605,Rasul Douglas,Player,0,0,22,3,99,CB
