Source,Target
CG14,PL20
PL20,NFL11
CG13,PL26
PL26,NFL3
CG19,PL29
PL29,NFL5
CG20,PL32
PL32,NFL0
CG22,PL33
PL33,NFL25
CG26,PL38
PL38,NFL4
CG3,PL39
PL39,NFL3
CG30,PL44
PL44,NFL24
CG4,PL45
PL45,NFL26
CG31,PL46
PL46,NFL23
CG6,PL53
PL53,NFL20
CG37,PL59
PL59,NFL22
CG20,PL60
PL60,NFL30
CG39,PL62
PL62,NFL28
CG9,PL78
PL78,NFL30
CG10,PL80
PL80,NFL7
CG49,PL82
PL82,NFL9
CG55,PL93
PL93,NFL4
CG57,PL97
PL97,NFL6
CG6,PL98
PL98,NFL4
CG23,PL104
PL104,NFL27
CG17,PL107
PL107,NFL5
CG49,PL108
PL108,NFL25
CG1,PL110
PL110,NFL13
CG7,PL115
PL115,NFL17
CG63,PL118
PL118,NFL26
CG54,PL126
PL126,NFL21
CG8,PL128
PL128,NFL3
CG66,PL131
PL131,NFL23
CG2,PL138
PL138,NFL0
CG54,PL143
PL143,NFL25
CG33,PL145
PL145,NFL7
CG63,PL157
PL157,NFL29
CG20,PL171
PL171,NFL13
CG76,PL176
PL176,NFL27
CG77,PL179
PL179,NFL5
CG63,PL180
PL180,NFL8
CG40,PL184
PL184,NFL11
CG80,PL190
PL190,NFL16
CG26,PL194
PL194,NFL20
CG76,PL195
PL195,NFL2
CG39,PL197
PL197,NFL1
CG24,PL200
PL200,NFL28
CG27,PL204
PL204,NFL31
CG32,PL212
PL212,NFL29
CG70,PL216
PL216,NFL16
CG87,PL220
PL220,NFL26
CG88,PL222
PL222,NFL10
CG90,PL226
PL226,NFL14
CG93,PL237
PL237,NFL31
CG33,PL242
PL242,NFL30
CG25,PL250
PL250,NFL24
CG1,PL256
PL256,NFL26
CG2,PL263
PL263,NFL12
CG11,PL269
PL269,NFL22
CG103,PL270
PL270,NFL11
CG102,PL280
PL280,NFL9
CG36,PL282
PL282,NFL16
CG7,PL297
PL297,NFL11
CG74,PL305
PL305,NFL4
CG64,PL306
PL306,NFL10
CG4,PL307
PL307,NFL15
CG23,PL308
PL308,NFL24
CG78,PL310
PL310,NFL13
CG55,PL315
PL315,NFL4
CG35,PL320
PL320,NFL20
CG110,PL334
PL334,NFL7
CG111,PL337
PL337,NFL15
CG2,PL345
PL345,NFL6
CG115,PL347
PL347,NFL1
CG10,PL351
PL351,NFL18
CG33,PL361
PL361,NFL14
CG46,PL362
PL362,NFL3
CG68,PL369
PL369,NFL4
CG2,PL370
PL370,NFL21
CG58,PL371
PL371,NFL22
CG119,PL373
PL373,NFL8
CG32,PL376
PL376,NFL28
CG68,PL377
PL377,NFL19
CG27,PL394
PL394,NFL1
CG61,PL398
PL398,NFL23
CG33,PL400
PL400,NFL9
CG125,PL403
PL403,NFL10
CG91,PL404
PL404,NFL17
CG126,PL406
PL406,NFL8
CG46,PL416
PL416,NFL27
CG113,PL422
PL422,NFL10
CG87,PL431
PL431,NFL2
CG33,PL434
PL434,NFL0
CG23,PL436
PL436,NFL1
CG110,PL440
PL440,NFL26
CG10,PL441
PL441,NFL27
CG70,PL442
PL442,NFL21
CG131,PL452
PL452,NFL13
CG115,PL461
PL461,NFL12
CG42,PL474
PL474,NFL20
CG102,PL491
PL491,NFL14
CG142,PL493
PL493,NFL24
CG4,PL512
PL512,NFL2
CG1,PL517
PL517,NFL27
CG1,PL521
PL521,NFL25
CG2,PL522
PL522,NFL21
CG54,PL524
PL524,NFL17
CG1,PL530
PL530,NFL3
CG9,PL531
PL531,NFL26
CG4,PL533
PL533,NFL8
CG20,PL539
PL539,NFL11
CG20,PL542
PL542,NFL0
CG23,PL545
PL545,NFL2
CG31,PL548
PL548,NFL27
CG20,PL549
PL549,NFL19
CG23,PL552
PL552,NFL25
CG32,PL556
PL556,NFL4
CG23,PL559
PL559,NFL7
CG128,PL562
PL562,NFL3
CG78,PL566
PL566,NFL29
CG12,PL567
PL567,NFL11
CG78,PL572
PL572,NFL1
CG100,PL587
PL587,NFL14
CG36,PL596
PL596,NFL23
CG10,PL597
PL597,NFL30
CG9,PL598
PL598,NFL29
CG111,PL600
PL600,NFL9
CG9,PL601
PL601,NFL23
CG3,PL603
PL603,NFL12
CG58,PL605
PL605,NFL19
CG151,PL607
PL607,NFL18
CG78,PL617
PL617,NFL23
CG2,PL618
PL618,NFL31
CG63,PL619
PL619,NFL22
CG49,PL629
PL629,NFL14
CG8,PL632
PL632,NFL26
CG52,PL655
PL655,NFL13
CG7,PL657
PL657,NFL22
CG63,PL658
PL658,NFL15
CG22,PL664
PL664,NFL25
CG156,PL671
PL671,NFL7
CG153,PL675
PL675,NFL20
CG31,PL679
PL679,NFL9
CG132,PL690
PL690,NFL19
CG102,PL692
PL692,NFL21
CG94,PL693
PL693,NFL23
CG51,PL697
PL697,NFL29
CG9,PL703
PL703,NFL2
CG25,PL710
PL710,NFL2
CG55,PL714
PL714,NFL0
CG11,PL721
PL721,NFL29
CG54,PL723
PL723,NFL28
CG15,PL726
PL726,NFL3
CG69,PL727
PL727,NFL6
CG63,PL734
PL734,NFL1
CG103,PL735
PL735,NFL14
CG55,PL740
PL740,NFL14
CG12,PL750
PL750,NFL16
CG11,PL763
PL763,NFL6
CG1,PL768
PL768,NFL5
CG23,PL769
PL769,NFL4
CG58,PL772
PL772,NFL3
CG23,PL775
PL775,NFL13
CG8,PL782
PL782,NFL10
CG63,PL783
PL783,NFL9
CG41,PL796
PL796,NFL12
CG3,PL812
PL812,NFL16
CG3,PL815
PL815,NFL25
CG14,PL816
PL816,NFL9
CG2,PL818
PL818,NFL24
CG1,PL819
PL819,NFL27
CG167,PL820
PL820,NFL15
CG141,PL822
PL822,NFL17
CG13,PL826
PL826,NFL1
CG59,PL829
PL829,NFL5
CG17,PL832
PL832,NFL28
CG58,PL835
PL835,NFL15
CG102,PL842
PL842,NFL14
CG32,PL850
PL850,NFL0
CG10,PL856
PL856,NFL18
CG22,PL862
PL862,NFL21
CG69,PL864
PL864,NFL28
CG168,PL866
PL866,NFL4
CG169,PL869
PL869,NFL7
CG12,PL876
PL876,NFL2
CG63,PL882
PL882,NFL31
CG127,PL885
PL885,NFL31
CG18,PL887
PL887,NFL26
CG4,PL891
PL891,NFL1
CG0,PL899
PL899,NFL15
CG169,PL915
PL915,NFL17
CG58,PL917
PL917,NFL20
CG174,PL925
PL925,NFL0
CG82,PL931
PL931,NFL26
CG164,PL936
PL936,NFL28
CG178,PL942
PL942,NFL31
CG123,PL946
PL946,NFL29
CG55,PL953
PL953,NFL19
CG33,PL961
PL961,NFL12
CG179,PL962
PL962,NFL0
CG39,PL966
PL966,NFL21
CG26,PL968
PL968,NFL29
CG54,PL974
PL974,NFL8
CG91,PL975
PL975,NFL18
CG4,PL989
PL989,NFL19
CG3,PL1000
PL1000,NFL16
CG86,PL1001
PL1001,NFL10
CG117,PL1005
PL1005,NFL1
CG115,PL1009
PL1009,NFL17
CG49,PL1020
PL1020,NFL16
CG64,PL1025
PL1025,NFL20
CG20,PL1027
PL1027,NFL28
CG128,PL1036
PL1036,NFL29
CG21,PL1039
PL1039,NFL11
CG2,PL1042
PL1042,NFL5
CG4,PL1051
PL1051,NFL13
CG167,PL1055
PL1055,NFL1
CG31,PL1056
PL1056,NFL19
CG11,PL1059
PL1059,NFL8
