Source,Target
CG1,PL256
PL256,NFL26
CG11,PL269
PL269,NFL22
CG4,PL512
PL512,NFL2
CG1,PL517
PL517,NFL27
CG20,PL542
PL542,NFL0
CG2,PL618
PL618,NFL31
CG7,PL657
PL657,NFL22
CG156,PL671
PL671,NFL7
CG11,PL763
PL763,NFL6
CG23,PL775
PL775,NFL13
CG41,PL796
PL796,NFL12
CG141,PL822
PL822,NFL17
CG20,PL1027
PL1027,NFL28
CG128,PL1036
PL1036,NFL29
CG2,PL1042
PL1042,NFL5
CG102,PL1278
PL1278,NFL31
CG2,PL1285
PL1285,NFL11
CG18,PL1289
PL1289,NFL22
CG4,PL1538
PL1538,NFL1
CG20,PL1542
PL1542,NFL13
CG11,PL1545
PL1545,NFL16
CG13,PL1556
PL1556,NFL7
CG4,PL1589
PL1589,NFL0
CG7,PL1679
PL1679,NFL11
CG24,PL1782
PL1782,NFL8
CG17,PL1801
PL1801,NFL16
CG222,PL1811
PL1811,NFL30
CG30,PL1834
PL1834,NFL11
CG160,PL1912
PL1912,NFL15
CG224,PL1944
PL1944,NFL0
CG4,PL2023
PL2023,NFL0
CG35,PL2172
PL2172,NFL23
CG111,PL2276
PL2276,NFL28
CG23,PL2278
PL2278,NFL26
CG70,PL2285
PL2285,NFL23
CG76,PL2298
PL2298,NFL24
CG66,PL2309
PL2309,NFL26
CG100,PL2375
PL2375,NFL17
CG118,PL2381
PL2381,NFL22
CG102,PL2404
PL2404,NFL23
CG19,PL2434
PL2434,NFL12
CG1,PL2540
PL2540,NFL27
CG86,PL2551
PL2551,NFL12
CG66,PL2568
PL2568,NFL8
CG28,PL2581
PL2581,NFL13
CG139,PL2638
PL2638,NFL20
CG190,PL2798
PL2798,NFL0
CG118,PL2802
PL2802,NFL4
CG112,PL2807
PL2807,NFL29
CG102,PL2817
PL2817,NFL28
CG137,PL2880
PL2880,NFL13
CG4,PL3040
PL3040,NFL14
CG68,PL3048
PL3048,NFL2
CG70,PL3053
PL3053,NFL17
CG23,PL3055
PL3055,NFL6
CG63,PL3058
PL3058,NFL24
CG31,PL3071
PL3071,NFL22
CG20,PL3160
PL3160,NFL1
CG220,PL3202
PL3202,NFL31
CG1,PL3297
PL3297,NFL8
CG11,PL3308
PL3308,NFL22
CG24,PL3313
PL3313,NFL10
CG2,PL3332
PL3332,NFL27
CG63,PL3346
PL3346,NFL31
CG19,PL3351
PL3351,NFL25
CG269,PL3496
PL3496,NFL25
CG167,PL3504
PL3504,NFL17
CG58,PL3550
PL3550,NFL17
CG63,PL3552
PL3552,NFL0
CG55,PL3553
PL3553,NFL14
CG270,PL3595
PL3595,NFL11
CG3,PL3601
PL3601,NFL2
CG63,PL3804
PL3804,NFL14
CG102,PL3807
PL3807,NFL13
CG7,PL3843
PL3843,NFL25
CG70,PL3909
PL3909,NFL31
CG27,PL4059
PL4059,NFL29
CG15,PL4065
PL4065,NFL23
CG54,PL4070
