ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL20,Darnell Savage,Player,0,0,22,2019,1,21,S,Maryland,GNB
PL26,Johnathan Abram,Player,0,0,22,2019,1,27,S,Mississippi St.,OAK
PL29,Deandre Baker,Player,0,0,22,2019,1,30,CB,Georgia,NYG
PL32,Byron Murphy,Player,0,0,21,2019,2,33,CB,Washington,ARI
PL33,Rock Ya-Sin,Player,0,0,23,2019,2,34,CB,Temple,IND
PL38,Sean Murphy-Bunting,Player,0,0,22,2019,2,39,CB,Central Michigan,TAM
PL39,Trayvon Mullen,Player,0,0,21,2019,2,40,CB,Clemson,OAK
PL44,Joejuan Williams,Player,0,0,21,2019,2,45,CB,Vanderbilt,NWE
PL45,Greedy Williams,Player,0,0,21,2019,2,46,CB,LSU,CLE
PL46,Marquise Blair,Player,0,0,22,2019,2,47,S,Utah,SEA
PL53,Lonnie Johnson,Player,0,0,22,2019,2,54,CB,Kentucky,HOU
PL59,Nasir Adderley,Player,0,0,22,2019,2,60,S,Delaware,LAC
PL60,Taylor Rapp,Player,0,0,21,2019,2,61,S,Washington,LAR
PL62,Juan Thornhill,Player,0,0,23,2019,2,63,S,Virginia,KAN
PL78,David Long,Player,0,0,21,2019,3,79,CB,Michigan,LAR
PL80,Will Harris,Player,0,0,23,2019,3,81,S,Boston Col.,DET
PL82,Justin Layne,Player,0,0,21,2019,3,83,CB,Michigan St.,PIT
PL93,Jamel Dean,Player,0,0,22,2019,3,94,CB,Auburn,TAM
PL97,Quincy Williams,Player,0,0,23,2019,3,98,S,Murray St.,JAX
PL98,Mike Edwards,Player,0,0,23,2019,3,99,S,Kentucky,TAM
PL104,Chauncey Gardner-Johnson,Player,0,0,21,2019,4,105,S,Florida,NOR
PL107,Julian Love,Player,0,0,21,2019,4,108,CB,Notre Dame,NYG
PL108,Khari Willis,Player,0,0,23,2019,4,109,S,Michigan St.,IND
PL110,Kendall Sheffield,Player,0,0,23,2019,4,111,CB,Ohio St.,ATL
PL115,Amani Hooker,Player,0,0,21,2019,4,116,S,Iowa,TEN
