ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL256,Denzel Ward,Player,0,1,21,2018,1,4,CB,Ohio St.,CLE
PL269,Derwin James,Player,1,1,22,2018,1,17,S,Florida St.,LAC
PL512,Jamal Adams,Player,0,1,21,2017,1,6,S,LSU,NYJ
PL517,Marshon Lattimore,Player,0,1,21,2017,1,11,CB,Ohio St.,NOR
PL542,Budda Baker,Player,1,1,21,2017,2,36,S,Washington,ARI
PL618,Eddie Jackson,Player,1,1,24,2017,4,112,S,Alabama,CHI
PL657,Desmond King,Player,1,0,22,2017,5,151,S,Iowa,LAC
PL671,Jamal Agnew,Player,1,0,22,2017,5,165,CB,San Diego,DET
PL763,Jalen Ramsey,Player,1,2,21,2016,1,5,CB,Florida St.,JAX
PL775,Keanu Neal,Player,0,1,21,2016,1,17,S,Florida,ATL
PL796,Xavien Howard,Player,0,1,23,2016,2,38,CB,Baylor,MIA
PL822,Kevin Byard,Player,1,1,23,2016,3,64,S,Middle Tenn. St.,TEN
PL1027,Marcus Peters,Player,1,2,22,2015,1,18,CB,Washington,KAN
PL1036,Byron Jones,Player,0,1,22,2015,1,27,CB,Connecticut,DAL
PL1042,Landon Collins,Player,1,3,21,2015,2,33,S,Alabama,NYG
PL1278,Kyle Fuller,Player,1,1,22,2014,1,14,DB,Virginia Tech,CHI
PL1285,Ha Ha Clinton-Dix,Player,0,1,21,2014,1,21,DB,Alabama,GNB
PL1289,Jason Verrett,Player,0,1,23,2014,1,25,DB,TCU,SDG
PL1538,Eric Reid,Player,0,1,21,2013,1,18,DB,LSU,SFO
PL1542,Desmond Trufant,Player,0,1,22,2013,1,22,DB,Washington,ATL
PL1545,Xavier Rhodes,Player,1,2,23,2013,1,25,DB,Florida St.,MIN
PL1556,Darius Slay,Player,1,2,22,2013,2,36,DB,Mississippi St.,DET
PL1589,Tyrann Mathieu,Player,1,1,21,2013,3,69,DB,LSU,ARI
PL1679,Micah Hyde,Player,0,1,22,2013,5,159,DB,Iowa,GNB
PL1782,Stephon Gilmore,Player,1,2,21,2012,1,10,DB,South Carolina,BUF
PL1801,Harrison Smith,Player,1,4,23,2012,1,29,DB,Notre Dame,MIN
PL1811,Janoris Jenkins,Player,0,1,23,2012,2,39,DB,North Alabama,STL
PL1834,Casey Hayward,Player,0,2,22,2012,2,62,DB,Vanderbilt,GNB
PL1912,Josh Norman,Player,1,1,24,2012,5,143,DB,Coastal Carolina,CAR
PL1944,Justin Bethel,Player,0,3,22,2012,6,177,DB,Presbyterian,ARI
PL2023,Patrick Peterson,Player,3,8,21,2011,1,5,DB,LSU,ARI
PL2172,Richard Sherman,Player,3,4,23,2011,5,154,DB,Stanford,SEA
PL2276,Eric Berry,Player,3,5,21,2010,1,5,DB,Tennessee,KAN
PL2278,Joe Haden,Player,0,2,21,2010,1,7,DB,Florida,CLE
PL2285,Earl Thomas,Player,3,6,21,2010,1,14,DB,Texas,SEA
PL2298,Devin McCourty,Player,0,2,23,2010,1,27,DB,Rutgers,NWE
PL2309,T.J. Ward,Player,0,2,23,2010,2,38,DB,Oregon,CLE
PL2375,Alterraun Verner,Player,0,1,21,2010,4,104,DB,UCLA,TEN
PL2381,Darrell Stuckey,Player,0,1,23,2010,4,110,DB,Kansas,SDG
PL2404,Kam Chancellor,Player,0,4,22,2010,5,133,DB,Virginia Tech,SEA
PL2434,Reshad Jones,Player,0,2,22,2010,5,163,DB,Georgia,MIA
PL2540,Malcolm Jenkins,Player,0,3,21,2009,1,14,DB,Ohio St.,NOR
PL2551,Vontae Davis,Player,0,2,21,2009,1,25,DB,Illinois,MIA
PL2568,Jairus Byrd,Player,0,3,22,2009,2,42,DB,Oregon,BUF
PL2581,William Moore,Player,0,1,24,2009,2,55,DB,Missouri,ATL
PL2638,Glover Quin,Player,0,1,23,2009,4,112,DB,New Mexico,HOU
PL2798,Dominique Rodgers-Cromartie,Player,0,2,22,2008,1,16,DB,Tennessee St.,ARI
PL2802,Aqib Talib,Player,1,5,22,2008,1,20,DB,Kansas,TAM
PL2807,Mike Jenkins,Player,0,1,23,2008,1,25,DB,South Florida,DAL
PL2817,Brandon Flowers,Player,0,1,22,2008,2,35,DB,Virginia Tech,KAN
PL2880,Thomas DeCoud,Player,0,1,23,2008,3,98,DB,California,ATL
PL3040,LaRon Landry,Player,0,1,22,2007,1,6,DB,LSU,WAS
PL3048,Darrelle Revis,Player,4,7,22,2007,1,14,DB,Pittsburgh,NYJ
PL3053,Michael Griffin,Player,0,2,22,2007,1,19,DB,Texas,TEN
PL3055,Reggie Nelson,Player,0,2,23,2007,1,21,DB,Florida,JAX
PL3058,Brandon Meriweather,Player,0,2,23,2007,1,24,DB,Miami (FL),NWE
PL3071,Eric Weddle,Player,2,6,22,2007,2,37,DB,Utah,SDG
PL3160,Dashon Goldson,Player,1,2,22,2007,4,126,DB,Washington,SFO
PL3202,Corey Graham,Player,0,1,22,2007,5,168,DB,New Hampshire,CHI
PL3297,Donte Whitner,Player,0,2,21,2006,1,8,DB,Ohio St.,BUF
PL3308,Antonio Cromartie,Player,1,4,22,2006,1,19,DB,Florida St.,SDG
PL3313,Johnathan Joseph,Player,0,2,22,2006,1,24,DB,South Carolina,CIN
PL3332,Roman Harper,Player,0,2,23,2006,2,43,DB,Alabama,NOR
PL3346,Devin Hester,Player,3,4,23,2006,2,57,DB,Miami (FL),CHI
PL3351,Tim Jennings,Player,0,2,22,2006,2,62,DB,Georgia,IND
PL3496,Antoine Bethea,Player,0,3,22,2006,6,207,DB,Howard,IND
PL3504,Cortland Finnegan,Player,1,1,22,2006,7,215,DB,Samford,TEN
PL3550,Adam Jones,Player,1,1,21,2005,1,6,DB,West Virginia,TEN
PL3552,Antrel Rolle,Player,0,3,22,2005,1,8,DB,Miami (FL),ARI
PL3553,Carlos Rogers,Player,0,1,24,2005,1,9,DB,Auburn,WAS
PL3595,Nick Collins,Player,0,3,22,2005,2,51,DB,Bethune-Cookman,GNB
PL3601,Justin Miller,Player,0,1,21,2005,2,57,DB,Clemson,NYJ
PL3804,Sean Taylor,Player,0,2,21,2004,1,5,DB,Miami (FL),WAS
PL3807,DeAngelo Hall,Player,0,3,20,2004,1,8,DB,Virginia Tech,ATL
PL3843,Bob Sanders,Player,2,2,23,2004,2,44,DB,Iowa,IND
PL3909,Nathan Vasher,Player,0,1,22,2004,4,110,DB,Texas,CHI
PL4059,Terence Newman,Player,0,2,25,2003,1,5,DB,Kansas St.,DAL
PL4065,Marcus Trufant,Player,0,1,22,2003,1,11,DB,Washington St.,SEA
PL4070,Troy Polamalu,Player,4,8,22,2003,1,16,DB,USC,PIT
PL4085,Nnamdi Asomugha,Player,2,3,22,2003,1,31,DB,California,OAK
PL4089,Charles Tillman,Player,1,2,22,2003,2,35,DB,Louisiana,CHI
PL4093,Rashean Mathis,Player,1,1,23,2003,2,39,DB,Bethune-Cookman,JAX
PL4096,Ken Hamlin,Player,0,1,22,2003,2,42,DB,Arkansas,SEA
PL4165,Terrence McGee,Player,0,1,22,2003,4,111,DB,NW State (LA),BUF
PL4174,Asante Samuel,Player,1,4,22,2003,4,120,DB,Central Florida,NWE
PL4242,Hanik Milligan,Player,0,1,23,2003,6,188,DB,Houston,SDG
PL4267,Yeremiah Bell,Player,0,1,25,2003,6,213,DB,East. Kentucky,MIA
PL4324,Roy Williams,Player,1,5,22,2002,1,8,DB,Oklahoma,DAL
PL4340,Ed Reed HOF,Player,5,9,23,2002,1,24,DB,Miami (FL),BAL
PL4342,Lito Sheppard,Player,1,2,21,2002,1,26,DB,Florida,PHI
PL4374,Michael Lewis,Player,0,1,22,2002,2,58,DB,Colorado,PHI
PL4410,Chris Hope,Player,0,1,21,2002,3,94,DB,Florida St.,PIT
PL4598,Nate Clements,Player,0,1,21,2001,1,21,DB,Ohio St.,BUF
PL4641,Adrian Wilson,Player,1,5,21,2001,3,64,DB,North Carolina St.,ARI
PL4838,Deltha O'Neal,Player,0,2,23,2000,1,15,DB,California,DEN
PL4862,Mike Brown,Player,1,1,22,2000,2,39,DB,Nebraska,CHI
PL5084,Champ Bailey HOF,Player,3,12,21,1999,1,7,DB,Georgia,WAS
PL5087,Chris McAlister,Player,1,3,22,1999,1,10,DB,Arizona,BAL
PL5100,Antoine Winfield,Player,0,3,22,1999,1,23,DB,Ohio St.,BUF
PL5118,Dre' Bly,Player,0,2,22,1999,2,41,DB,North Carolina,STL
PL5224,Jerry Azumah,Player,0,1,22,1999,5,147,DB,New Hampshire,CHI
PL5333,Charles Woodson,Player,3,9,21,1998,1,4,DB,Michigan,OAK
PL5362,Corey Chavous,Player,0,1,22,1998,2,33,DB,Vanderbilt,ARI
PL5373,Patrick Surtain,Player,1,3,22,1998,2,44,DB,Southern Miss,MIA
PL5375,Samari Rolle,Player,1,1,22,1998,2,46,DB,Florida St.,TEN
PL5414,Allen Rossum,Player,0,1,22,1998,3,85,DB,Notre Dame,PHI
PL5448,Lance Schulters,Player,0,1,23,1998,4,119,DB,Hofstra,SFO
PL5573,Shawn Springs,Player,0,1,22,1997,1,3,DB,Ohio St.,SEA
PL5614,Sam Madison,Player,2,4,23,1997,2,44,DB,Louisville,MIA
PL5630,Darren Sharper,Player,2,5,21,1997,2,60,DB,William & Mary,GNB
PL5636,Ronde Barber,Player,3,5,22,1997,3,66,DB,Virginia,TAM
PL5681,Tremain Mack,Player,0,1,22,1997,4,111,DB,Miami (FL),CIN
PL5739,Al Harris,Player,0,2,22,1997,6,169,DB,Texas A&M-Kingsville,TAM
PL5823,Walt Harris,Player,0,1,22,1996,1,13,DB,Mississippi St.,CHI
PL5838,Jerome Woods,Player,0,1,23,1996,1,28,DB,Memphis,KAN
