Source,Target
CG1,PL1
PL1,NFL1
CG3,PL3
PL3,NFL3
CG11,PL15
PL15,NFL15
CG13,PL25
PL25,NFL14
CG18,PL28
PL28,NFL23
CG10,PL64
PL64,NFL0
CG9,PL76
PL76,NFL24
CG51,PL84
PL84,NFL21
CG56,PL94
PL94,NFL5
CG60,PL105
PL105,NFL3
CG7,PL106
PL106,NFL4
CG3,PL116
PL116,NFL7
CG67,PL134
PL134,NFL13
CG33,PL137
PL137,NFL19
CG70,PL160
PL160,NFL20
CG63,PL164
PL164,NFL29
CG34,PL174
PL174,NFL9
CG13,PL198
PL198,NFL25
CG89,PL224
PL224,NFL8
CG91,PL228
PL228,NFL7
CG92,PL229
PL229,NFL3
CG66,PL240
PL240,NFL29
CG22,PL248
PL248,NFL0
CG61,PL251
PL251,NFL14
CG12,PL257
PL257,NFL18
CG101,PL266
PL266,NFL27
CG25,PL298
PL298,NFL28
CG1,PL316
PL316,NFL25
CG19,PL318
PL318,NFL5
CG63,PL319
PL319,NFL26
CG1,PL329
PL329,NFL10
CG4,PL339
PL339,NFL3
CG1,PL354
PL354,NFL16
CG2,PL366
PL366,NFL7
CG118,PL368
PL368,NFL29
CG11,PL382
PL382,NFL19
CG122,PL387
PL387,NFL30
CG39,PL410
PL410,NFL10
CG0,PL412
PL412,NFL30
CG64,PL429
PL429,NFL20
CG31,PL433
PL433,NFL31
CG103,PL457
PL457,NFL30
CG87,PL470
PL470,NFL16
CG137,PL484
PL484,NFL11
CG140,PL489
PL489,NFL21
CG107,PL494
PL494,NFL30
CG32,PL507
PL507,NFL26
CG35,PL509
PL509,NFL1
CG111,PL520
PL520,NFL19
CG2,PL523
PL523,NFL14
CG100,PL532
PL532,NFL13
CG9,PL534
PL534,NFL29
CG11,PL557
PL557,NFL18
CG146,PL565
PL565,NFL28
CG86,PL574
PL574,NFL6
CG9,PL580
PL580,NFL21
CG32,PL583
PL583,NFL15
CG138,PL586
PL586,NFL25
CG148,PL589
PL589,NFL24
CG62,PL637
PL637,NFL24
CG148,PL673
PL673,NFL5
CG63,PL702
PL702,NFL27
CG62,PL711
PL711,NFL7
CG68,PL739
PL739,NFL30
CG60,PL755
PL755,NFL7
CG1,PL761
PL761,NFL22
CG66,PL765
PL765,NFL1
CG3,PL777
PL777,NFL8
CG61,PL790
PL790,NFL26
CG3,PL791
PL791,NFL17
CG166,PL797
PL797,NFL4
CG59,PL800
PL800,NFL21
CG86,PL802
PL802,NFL3
CG33,PL823
PL823,NFL26
CG14,PL827
PL827,NFL6
CG47,PL828
PL828,NFL21
CG49,PL833
PL833,NFL3
CG0,PL859
PL859,NFL29
CG73,PL895
PL895,NFL11
CG135,PL900
PL900,NFL1
CG172,PL904
PL904,NFL21
CG102,PL960
PL960,NFL28
CG130,PL982
PL982,NFL6
CG23,PL996
PL996,NFL19
CG54,PL1015
PL1015,NFL2
CG28,PL1032
PL1032,NFL18
CG13,PL1047
PL1047,NFL14
CG31,PL1060
PL1060,NFL26
CG28,PL1067
PL1067,NFL0
CG9,PL1072
PL1072,NFL23
CG100,PL1083
PL1083,NFL5
CG4,PL1097
PL1097,NFL16
CG35,PL1102
PL1102,NFL25
CG0,PL1106
PL1106,NFL24
CG62,PL1110
PL1110,NFL24
CG6,PL1131
PL1131,NFL21
CG21,PL1144
PL1144,NFL10
CG58,PL1167
PL1167,NFL0
CG123,PL1172
PL1172,NFL29
CG103,PL1201
PL1201,NFL16
CG153,PL1217
PL1217,NFL23
CG110,PL1218
PL1218,NFL11
CG63,PL1220
PL1220,NFL9
CG43,PL1235
PL1235,NFL30
CG10,PL1245
PL1245,NFL19
CG24,PL1265
PL1265,NFL20
CG59,PL1298
PL1298,NFL29
CG17,PL1310
PL1310,NFL9
CG28,PL1324
PL1324,NFL15
CG153,PL1336
PL1336,NFL16
CG74,PL1348
PL1348,NFL0
CG58,PL1352
PL1352,NFL10
CG100,PL1372
PL1372,NFL23
CG201,PL1400
PL1400,NFL7
CG66,PL1405
PL1405,NFL19
CG112,PL1414
PL1414,NFL1
CG62,PL1423
PL1423,NFL6
CG2,PL1424
PL1424,NFL0
CG54,PL1438
