Source,Target
CG32,PL507
PL507,NFL26
CG1,PL761
PL761,NFL22
CG66,PL765
PL765,NFL1
CG14,PL827
PL827,NFL6
CG54,PL1015
PL1015,NFL2
CG4,PL1097
PL1097,NFL16
CG24,PL1265
PL1265,NFL20
CG59,PL1298
PL1298,NFL29
CG47,PL1525
PL1525,NFL7
CG24,PL1790
PL1790,NFL22
CG96,PL1793
PL1793,NFL24
CG28,PL2025
PL2025,NFL1
CG46,PL2029
PL2029,NFL20
CG74,PL2032
PL2032,NFL30
CG123,PL2034
PL2034,NFL14
CG137,PL2042
PL2042,NFL27
CG1,PL2049
PL2049,NFL9
CG112,PL2286
PL2286,NFL5
CG23,PL2325
PL2325,NFL10
CG54,PL2371
PL2371,NFL16
CG25,PL2446
PL2446,NFL15
CG94,PL2572
PL2572,NFL20
CG70,PL2631
PL2631,NFL31
CG63,PL2832
PL2832,NFL0
CG123,PL3060
PL3060,NFL29
CG9,PL3080
PL3080,NFL9
CG12,PL3290
PL3290,NFL20
CG33,PL3309
PL3309,NFL28
CG150,PL3381
PL3381,NFL29
CG103,PL3415
PL3415,NFL18
CG17,PL3618
PL3618,NFL5
CG94,PL3690
PL3690,NFL19
CG55,PL3768
PL3768,NFL29
CG1,PL3817
PL3817,NFL27
CG123,PL3897
PL3897,NFL22
CG279,PL3925
PL3925,NFL28
CG61,PL3934
PL3934,NFL0
CG149,PL4110
PL4110,NFL5
CG235,PL4192
PL4192,NFL25
CG74,PL4318
PL4318,NFL15
CG96,PL4327
PL4327,NFL25
CG7,PL4472
PL4472,NFL11
CG47,PL4558
PL4558,NFL9
CG28,PL4581
PL4581,NFL10
CG19,PL4583
PL4583,NFL24
CG137,PL4584
PL4584,NFL1
CG132,PL4611
PL4611,NFL0
CG18,PL4623
PL4623,NFL8
CG25,PL4640
PL4640,NFL19
CG111,PL4835
PL4835,NFL2
CG24,PL4836
PL4836,NFL2
CG52,PL4972
PL4972,NFL11
CG23,PL5093
PL5093,NFL17
CG39,PL5107
PL5107,NFL13
CG132,PL5115
PL5115,NFL15
CG58,PL5152
PL5152,NFL28
CG267,PL5186
PL5186,NFL9
CG74,PL5337
PL5337,NFL29
CG111,PL5394
PL5394,NFL30
CG311,PL5622
PL5622,NFL8
CG83,PL5643
PL5643,NFL12
CG17,PL5656
PL5656,NFL25
CG86,PL5813
PL5813,NFL0
CG70,PL5843
PL5843,NFL6
CG23,PL6069
PL6069,NFL30
CG314,PL6079
PL6079,NFL2
CG54,PL6315
PL6315,NFL24
CG103,PL6324
PL6324,NFL27
CG186,PL6572
PL6572,NFL5
CG64,PL6702
PL6702,NFL23
CG164,PL6768
PL6768,NFL12
CG106,PL6782
PL6782,NFL7
CG78,PL7109
PL7109,NFL10
CG320,PL7246
PL7246,NFL23
CG58,PL7437
PL7437,NFL27
CG96,PL7552
PL7552,NFL26
CG23,PL7766
PL7766,NFL31
CG62,PL7773
PL7773,NFL27
CG105,PL7839
PL7839,NFL29
CG132,PL8091
PL8091,NFL28
CG310,PL8128
PL8128,NFL1
CG28,PL8328
PL8328,NFL12
CG61,PL8763
PL8763,NFL22
CG90,PL8851
PL8851,NFL1
CG142,PL8988
PL8988,NFL19
CG102,PL9089
PL9089,NFL8
CG68,PL9092
PL9092,NFL16
CG312,PL9474
PL9474,NFL3
CG4,PL9796
PL9796,NFL5
CG104,PL9843
PL9843,NFL14
CG18,PL9869
PL9869,NFL3
CG190,PL9962
PL9962,NFL31
CG146,PL10474
PL10474,NFL3
CG61,PL10545
PL10545,NFL14
CG33,PL10762
PL10762,NFL11
CG32,PL10768
PL10768,NFL23
CG85,PL10800
PL10800,NFL18
CG62,PL11095
PL11095,NFL31
CG21,PL11132
PL11132,NFL2
CG6,PL11421
PL11421,NFL28
CG97,PL11459
PL11459,NFL7
CG30,PL11511
PL11511,NFL19
CG104,PL11582
PL11582,NFL12
CG308,PL11780
PL11780,NFL11
CG0,PL12087
PL12087,NFL4
CG42,PL12105
PL12105,NFL12
CG25,PL12164
PL12164,NFL8
CG51,PL12603
PL12603,NFL22
CG190,PL13005
PL13005,NFL29
