ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL1,Nick Bosa,Player,0,0,21,2019,1,2,DE,Ohio St.,SFO
PL3,Clelin Ferrell,Player,0,0,22,2019,1,4,DE,Clemson,OAK
PL15,Brian Burns,Player,0,0,21,2019,1,16,DE,Florida St.,CAR
PL25,Montez Sweat,Player,0,0,23,2019,1,26,DE,Mississippi St.,WAS
PL28,L.J. Collier,Player,0,0,23,2019,1,29,DE,TCU,SEA
PL64,Zach Allen,Player,0,0,22,2019,3,65,DE,Boston Col.,ARI
PL76,Chase Winovich,Player,0,0,24,2019,3,77,DE,Michigan,NWE
PL84,Jaylon Ferguson,Player,0,0,23,2019,3,85,DE,Louisiana Tech,BAL
PL94,Oshane Ximines,Player,0,0,22,2019,3,95,DE,Old Dominion,NYG
PL105,Maxx Crosby,Player,0,0,22,2019,4,106,DE,East. Michigan,OAK
PL106,Anthony Nelson,Player,0,0,22,2019,4,107,DE,Iowa,TAM
PL116,Austin Bryant,Player,0,0,22,2019,4,117,DE,Clemson,DET
PL134,John Cominsky,Player,0,0,23,2019,4,135,DE,Charleston (WV),ATL
PL137,Shareef Miller,Player,0,0,22,2019,4,138,DE,Penn St.,PHI
PL160,Charles Omenihu,Player,0,0,22,2019,5,161,DE,Texas,HOU
PL164,Joe Jackson,Player,0,0,22,2019,5,165,DE,Miami (FL),DAL
PL174,Sutton Smith,Player,0,0,23,2019,6,175,DE,Northern Illinois,PIT
PL198,Gerri Green,Player,0,0,23,2019,6,199,DE,Mississippi St.,IND
PL224,Darryl Johnson,Player,0,0,22,2019,7,225,DE,North Carolina A&T,BUF
PL228,P.J. Johnson,Player,0,0,23,2019,7,229,DE,Arizona,DET
PL229,Quinton Bell,Player,0,0,23,2019,7,230,DE,Prairie View,OAK
PL240,Jalen Jelks,Player,0,0,23,2019,7,241,DE,Oregon,DAL
PL248,Michael Dogbe,Player,0,0,23,2019,7,249,DE,Temple,ARI
PL251,Jordan Brailford,Player,0,0,23,2019,7,253,DE,Oklahoma St.,WAS
