Source,Target
CG2,PL2
PL2,NFL2
CG8,PL8
PL8,NFL8
CG3,PL12
PL12,NFL12
CG3,PL16
PL16,NFL5
CG13,PL18
PL18,NFL17
CG17,PL27
PL27,NFL22
CG36,PL57
PL57,NFL29
CG1,PL70
PL70,NFL18
CG50,PL83
PL83,NFL28
CG21,PL124
PL124,NFL10
CG20,PL133
PL133,NFL30
CG32,PL149
PL149,NFL11
CG14,PL158
PL158,NFL24
CG32,PL159
PL159,NFL21
CG62,PL189
PL189,NFL16
CG2,PL191
PL191,NFL9
CG11,PL208
PL208,NFL23
CG28,PL214
PL214,NFL4
CG55,PL234
PL234,NFL6
CG94,PL241
PL241,NFL22
CG96,PL244
PL244,NFL5
CG20,PL264
PL264,NFL4
CG2,PL265
PL265,NFL14
CG23,PL281
PL281,NFL6
CG108,PL309
PL309,NFL3
CG12,PL321
PL321,NFL5
CG109,PL324
PL324,NFL2
CG11,PL327
PL327,NFL28
CG54,PL331
PL331,NFL23
CG12,PL336
PL336,NFL22
CG112,PL342
PL342,NFL13
CG35,PL348
PL348,NFL8
CG12,PL380
PL380,NFL1
CG63,PL391
PL391,NFL5
CG9,PL392
PL392,NFL3
CG37,PL397
PL397,NFL31
CG102,PL415
PL415,NFL14
CG128,PL432
PL432,NFL2
CG76,PL447
PL447,NFL30
CG111,PL450
PL450,NFL28
CG22,PL475
PL475,NFL1
CG63,PL492
PL492,NFL15
CG2,PL496
PL496,NFL9
CG49,PL541
PL541,NFL23
CG2,PL561
PL561,NFL5
CG48,PL571
PL571,NFL26
CG100,PL594
PL594,NFL3
CG55,PL599
PL599,NFL11
CG74,PL608
PL608,NFL23
CG7,PL615
PL615,NFL16
CG9,PL644
PL644,NFL10
CG3,PL648
PL648,NFL20
CG154,PL650
PL650,NFL25
CG4,PL684
PL684,NFL12
CG23,PL691
PL691,NFL26
CG87,PL695
PL695,NFL30
CG61,PL700
PL700,NFL12
CG25,PL704
PL704,NFL1
CG20,PL719
PL719,NFL19
CG17,PL730
PL730,NFL22
CG23,PL733
PL733,NFL29
CG40,PL749
PL749,NFL3
CG78,PL751
PL751,NFL29
CG103,PL770
PL770,NFL27
CG100,PL785
PL785,NFL11
CG25,PL787
PL787,NFL0
CG51,PL788
PL788,NFL15
CG13,PL795
PL795,NFL28
CG2,PL804
PL804,NFL7
CG2,PL807
PL807,NFL23
CG164,PL821
PL821,NFL18
CG132,PL825
PL825,NFL29
CG23,PL830
PL830,NFL31
CG1,PL838
PL838,NFL8
CG106,PL847
PL847,NFL9
CG132,PL854
PL854,NFL24
CG17,PL861
PL861,NFL6
CG70,PL874
PL874,NFL25
CG170,PL878
PL878,NFL27
CG9,PL890
PL890,NFL21
CG14,PL905
PL905,NFL23
CG22,PL910
PL910,NFL14
CG33,PL959
PL959,NFL7
CG66,PL1026
PL1026,NFL1
CG70,PL1041
PL1041,NFL24
CG11,PL1044
PL1044,NFL3
CG11,PL1048
PL1048,NFL31
CG7,PL1099
PL1099,NFL21
CG15,PL1105
PL1105,NFL26
CG55,PL1109
PL1109,NFL17
CG55,PL1122
PL1122,NFL7
CG185,PL1125
PL1125,NFL0
CG75,PL1163
PL1163,NFL27
CG1,PL1188
PL1188,NFL6
CG62,PL1200
PL1200,NFL22
CG26,PL1207
PL1207,NFL9
CG165,PL1222
PL1222,NFL23
CG191,PL1224
PL1224,NFL20
CG115,PL1225
PL1225,NFL28
CG68,PL1277
PL1277,NFL30
CG23,PL1293
PL1293,NFL24
CG69,PL1301
PL1301,NFL13
CG11,PL1312
PL1312,NFL21
CG4,PL1315
PL1315,NFL31
CG96,PL1338
PL1338,NFL5
CG21,PL1346
PL1346,NFL31
CG17,PL1347
PL1347,NFL20
CG115,PL1349
PL1349,NFL11
CG51,PL1371
PL1371,NFL3
CG33,PL1376
PL1376,NFL17
CG39,PL1398
PL1398,NFL21
CG171,PL1422
