Source,Target
CG68,PL1277
PL1277,NFL30
CG28,PL1533
PL1533,NFL2
CG123,PL1564
PL1564,NFL15
CG213,PL1614
PL1614,NFL21
CG43,PL1783
PL1783,NFL28
CG13,PL1784
PL1784,NFL19
CG7,PL1901
PL1901,NFL11
CG111,PL1906
PL1906,NFL18
CG2,PL2021
PL2021,NFL8
CG22,PL2048
PL2048,NFL2
CG54,PL2095
PL2095,NFL17
CG132,PL2273
PL2273,NFL7
CG0,PL2274
PL2274,NFL4
CG143,PL2317
PL2317,NFL5
CG19,PL2391
PL2391,NFL10
CG10,PL2535
PL2535,NFL11
CG31,PL3142
PL3142,NFL12
CG66,PL3301
PL3301,NFL21
CG4,PL3423
PL3423,NFL8
CG0,PL3813
PL3813,NFL31
CG11,PL3863
PL3863,NFL0
CG14,PL3870
PL3870,NFL17
CG61,PL4063
PL4063,NFL16
CG111,PL4325
PL4325,NFL6
CG111,PL4331
PL4331,NFL17
CG19,PL4590
PL4590,NFL6
CG14,PL4621
PL4621,NFL15
CG70,PL4638
PL4638,NFL7
CG11,PL4829
PL4829,NFL19
CG143,PL5230
PL5230,NFL3
CG54,PL5572
PL5572,NFL3
CG3,PL5598
PL5598,NFL18
CG52,PL5976
PL5976,NFL3
CG63,PL6075
PL6075,NFL4
CG31,PL6083
PL6083,NFL7
CG55,PL6222
PL6222,NFL20
CG17,PL6318
PL6318,NFL1
CG32,PL6319
PL6319,NFL23
CG25,PL6331
PL6331,NFL12
CG118,PL6558
PL6558,NFL1
CG68,PL6759
PL6759,NFL30
CG3,PL6772
PL6772,NFL3
CG63,PL7092
PL7092,NFL29
CG344,PL7097
PL7097,NFL0
CG348,PL7263
PL7263,NFL29
CG63,PL7426
PL7426,NFL23
CG3,PL8139
PL8139,NFL26
CG63,PL8430
PL8430,NFL19
CG4,PL8493
PL8493,NFL16
CG21,PL8596
PL8596,NFL7
CG32,PL9091
PL9091,NFL20
CG15,PL9436
PL9436,NFL16
CG70,PL10831
PL10831,NFL24
CG22,PL11896
PL11896,NFL2
CG14,PL12572
PL12572,NFL29
CG150,PL12578
PL12578,NFL22
CG107,PL12600
PL12600,NFL22
CG70,PL12608
PL12608,NFL7
CG190,PL12655
PL12655,NFL1
CG132,PL13009
PL13009,NFL21
