ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL2,Quinnen Williams,Player,0,0,21,2019,1,3,DT,Alabama,NYJ
PL8,Ed Oliver,Player,0,0,21,2019,1,9,DT,Houston,BUF
PL12,Christian Wilkins,Player,0,0,23,2019,1,13,DT,Clemson,MIA
PL16,Dexter Lawrence,Player,0,0,21,2019,1,17,DT,Clemson,NYG
PL18,Jeffery Simmons,Player,0,0,22,2019,1,19,DT,Mississippi St.,TEN
PL27,Jerry Tillery,Player,0,0,22,2019,1,28,DT,Notre Dame,LAC
PL57,Trysten Hill,Player,0,0,21,2019,2,58,DT,Central Florida,DAL
PL70,Dre'Mont Jones,Player,0,0,22,2019,3,71,DT,Ohio St.,DEN
PL83,Khalen Saunders,Player,0,0,23,2019,3,84,DT,West. Illinois,KAN
PL124,Renell Wren,Player,0,0,23,2019,4,125,DT,Arizona St.,CIN
PL133,Greg Gaines,Player,0,0,23,2019,4,134,DT,Washington,LAR
PL149,Kingsley Keke,Player,0,0,22,2019,5,150,DT,Texas A&M,GNB
PL158,Byron Cowart,Player,0,0,23,2019,5,159,DT,Maryland,NWE
PL159,Daylon Mack,Player,0,0,22,2019,5,160,DT,Texas A&M,BAL
PL189,Armon Watts,Player,0,0,23,2019,6,190,DT,Arkansas,MIN
PL191,Isaiah Buggs,Player,0,0,23,2019,6,192,DT,Alabama,PIT
PL208,Demarcus Christmas,Player,0,0,24,2019,6,209,DT,Florida St.,SEA
PL214,"Terry Beckner, Jr.",Player,0,0,22,2019,7,215,DT,Missouri,TAM
PL234,Dontavius Russell,Player,0,0,23,2019,7,235,DT,Auburn,JAX
PL241,Cortez Broughton,Player,0,0,23,2019,7,242,DT,Cincinnati,LAC
PL244,Chris Slayton,Player,0,0,22,2019,7,245,DT,Syracuse,NYG
PL264,Vita Vea,Player,0,0,23,2018,1,12,DT,Washington,TAM
PL265,Da'Ron Payne,Player,0,0,21,2018,1,13,DT,Alabama,WAS
PL281,Taven Bryan,Player,0,0,22,2018,1,29,DT,Florida,JAX
PL309,P.J. Hall,Player,0,0,23,2018,2,57,DT,Sam Houston St.,OAK
PL321,B.J. Hill,Player,0,0,23,2018,3,69,DT,North Carolina St.,NYG
PL324,Nathan Shepherd,Player,0,0,24,2018,3,72,DT,Fort Hays St.,NYJ
PL327,Derrick Nnadi,Player,0,0,22,2018,3,75,DT,Florida St.,KAN
PL331,Rasheem Green,Player,0,0,21,2018,3,79,DT,USC,SEA
PL336,Justin Jones,Player,0,0,23,2018,3,84,DT,North Carolina St.,LAC
PL342,Deadrin Senat,Player,0,0,24,2018,3,90,DT,South Florida,ATL
PL348,Harrison Phillips,Player,0,0,22,2018,3,96,DT,Stanford,BUF
PL380,Kentavius Street,Player,0,0,21,2018,4,128,DT,North Carolina St.,SFO
PL391,R.J. McIntosh,Player,0,0,22,2018,5,139,DT,Miami (FL),NYG
PL392,Maurice Hurst,Player,0,0,23,2018,5,140,DT,Michigan,OAK
PL397,Bilal Nichols,Player,0,0,21,2018,5,145,DT,Delaware,CHI
PL415,Tim Settle,Player,0,0,21,2018,5,163,DT,Virginia Tech,WAS
PL432,Folorunso Fatukasi,Player,0,0,23,2018,6,180,DT,Connecticut,NYJ
PL447,Sebastian Joseph,Player,0,0,23,2018,6,195,DT,Rutgers,LAR
PL450,Kahlil McKenzie,Player,0,0,21,2018,6,198,DT,Tennessee,KAN
PL475,Jullian Taylor,Player,0,0,23,2018,7,223,DT,Temple,SFO
PL492,Kendrick Norton,Player,0,0,21,2018,7,242,DT,Miami (FL),CAR
PL496,Joshua Frazier,Player,0,0,22,2018,7,246,DT,Alabama,PIT
PL541,Malik McDowell,Player,0,0,21,2017,2,35,DT,Michigan St.,SEA
PL561,Dalvin Tomlinson,Player,0,0,23,2017,2,55,DT,Alabama,NYG
PL571,Larry Ogunjobi,Player,0,0,23,2017,3,65,DT,Charlotte,CLE
PL594,Eddie Vanderdoes,Player,0,0,22,2017,3,88,DT,UCLA,OAK
PL599,Montravius Adams,Player,0,0,22,2017,3,93,DT,Auburn,GNB
PL608,Nazair Jones,Player,0,0,22,2017,3,102,DT,North Carolina,SEA
PL615,Jaleel Johnson,Player,0,0,23,2017,4,109,DT,Iowa,MIN
