Source,Target
CG4,PL4
PL4,NFL4
CG6,PL6
PL6,NFL6
CG9,PL9
PL9,NFL9
CG9,PL11
PL11,NFL11
CG29,PL42
PL42,NFL7
CG18,PL48
PL48,NFL25
CG23,PL67
PL67,NFL2
CG12,PL71
PL71,NFL10
CG47,PL79
PL79,NFL26
CG31,PL87
PL87,NFL23
CG35,PL88
PL88,NFL25
CG2,PL114
PL114,NFL15
CG17,PL129
PL129,NFL22
CG20,PL141
PL141,NFL23
CG46,PL142
PL142,NFL5
CG23,PL146
PL146,NFL8
CG62,PL147
PL147,NFL1
CG46,PL150
PL150,NFL12
CG2,PL154
PL154,NFL26
CG66,PL155
PL155,NFL18
CG69,PL156
PL156,NFL2
CG54,PL161
PL161,NFL16
CG71,PL163
PL163,NFL25
CG19,PL167
PL167,NFL17
CG74,PL172
PL172,NFL14
CG58,PL187
PL187,NFL17
CG8,PL199
PL199,NFL22
CG83,PL206
PL206,NFL9
CG55,PL209
PL209,NFL10
CG18,PL225
PL225,NFL11
CG95,PL243
PL243,NFL27
CG99,PL249
PL249,NFL30
CG106,PL288
PL288,NFL25
CG117,PL367
PL367,NFL31
CG100,PL374
PL374,NFL21
CG43,PL402
PL402,NFL26
CG14,PL413
PL413,NFL15
CG22,PL438
PL438,NFL23
CG65,PL445
PL445,NFL29
CG2,PL449
PL449,NFL14
CG35,PL466
PL466,NFL20
CG20,PL468
PL468,NFL3
CG8,PL473
PL473,NFL25
CG137,PL477
PL477,NFL16
CG138,PL479
PL479,NFL12
CG96,PL486
PL486,NFL25
CG22,PL519
PL519,NFL0
CG23,PL527
PL527,NFL7
CG2,PL537
PL537,NFL1
CG1,PL560
PL560,NFL12
CG30,PL563
PL563,NFL20
CG4,PL581
PL581,NFL13
CG23,PL582
PL582,NFL27
CG46,PL614
PL614,NFL11
CG111,PL630
PL630,NFL7
CG138,PL654
PL654,NFL6
CG100,PL661
PL661,NFL17
CG73,PL667
PL667,NFL25
CG10,PL669
PL669,NFL8
CG64,PL674
PL674,NFL3
CG159,PL689
PL689,NFL28
CG0,PL699
PL699,NFL10
CG59,PL701
PL701,NFL8
CG27,PL737
PL737,NFL16
CG35,PL889
PL889,NFL11
CG159,PL927
PL927,NFL7
CG129,PL995
PL995,NFL25
CG184,PL1177
PL1177,NFL15
CG13,PL1186
PL1186,NFL24
CG165,PL1269
PL1269,NFL3
CG100,PL1273
PL1273,NFL16
CG1,PL1279
PL1279,NFL9
CG2,PL1281
PL1281,NFL21
CG55,PL1287
PL1287,NFL28
CG103,PL1290
PL1290,NFL19
CG47,PL1304
PL1304,NFL7
CG35,PL1311
PL1311,NFL14
CG164,PL1314
PL1314,NFL22
CG7,PL1335
PL1335,NFL26
CG103,PL1337
PL1337,NFL8
CG46,PL1341
PL1341,NFL1
CG7,PL1383
PL1383,NFL29
CG21,PL1385
PL1385,NFL11
CG137,PL1390
PL1390,NFL27
CG10,PL1396
PL1396,NFL23
CG17,PL1403
PL1403,NFL13
CG11,PL1408
PL1408,NFL6
CG6,PL1415
PL1415,NFL17
CG44,PL1418
PL1418,NFL2
CG4,PL1420
PL1420,NFL18
CG204,PL1430
PL1430,NFL25
CG96,PL1432
PL1432,NFL13
CG23,PL1433
PL1433,NFL27
CG176,PL1435
PL1435,NFL12
CG100,PL1456
PL1456,NFL9
CG117,PL1467
PL1467,NFL25
CG91,PL1476
PL1476,NFL10
CG45,PL1485
PL1485,NFL8
CG164,PL1487
PL1487,NFL16
CG31,PL1497
PL1497,NFL2
CG99,PL1502
PL1502,NFL29
CG0,PL1506
PL1506,NFL18
CG128,PL1517
PL1517,NFL13
CG211,PL1519
PL1519,NFL13
CG4,PL1526
PL1526,NFL26
CG19,PL1537
PL1537,NFL9
CG19,PL1550
PL1550,NFL30
CG17,PL1558
PL1558,NFL22
CG4,PL1565
PL1565,NFL0
CG66,PL1566
PL1566,NFL8
CG23,PL1570
PL1570,NFL31
CG115,PL1572
PL1572,NFL24
CG27,PL1576
PL1576,NFL21
CG128,PL1586
PL1586,NFL3
CG28,PL1617
PL1617,NFL17
CG2,PL1619
PL1619,NFL28
CG23,PL1624
PL1624,NFL12
CG76,PL1637
PL1637,NFL31
CG32,PL1638
PL1638,NFL10
CG33,PL1640
PL1640,NFL16
CG44,PL1668
PL1668,NFL15
CG11,PL1700
PL1700,NFL1
CG24,PL1705
PL1705,NFL29
CG19,PL1708
PL1708,NFL31
CG125,PL1713
PL1713,NFL11
CG11,PL1725
PL1725,NFL9
CG33,PL1732
PL1732,NFL16
CG112,PL1751
PL1751,NFL11
CG76,PL1754
PL1754,NFL24
CG221,PL1763
PL1763,NFL7
CG10,PL1781
PL1781,NFL15
CG2,PL1797
PL1797,NFL24
CG2,PL1807
PL1807,NFL21
CG3,PL1810
PL1810,NFL6
CG137,PL1818
PL1818,NFL19
CG85,PL1819
PL1819,NFL23
CG74,PL1824
PL1824,NFL17
CG132,PL1830
PL1830,NFL4
CG63,PL1844
PL1844,NFL12
CG203,PL1849
PL1849,NFL2
CG63,PL1857
PL1857,NFL9
CG11,PL1875
PL1875,NFL8
CG64,PL1882
PL1882,NFL29
CG70,PL1888
PL1888,NFL14
CG104,PL1889
PL1889,NFL26
CG0,PL1894
PL1894,NFL7
CG52,PL1898
PL1898,NFL3
CG22,PL1907
PL1907,NFL7
CG58,PL1909
PL1909,NFL4
CG104,PL1911
PL1911,NFL6
CG18,PL1916
PL1916,NFL8
CG95,PL1923
PL1923,NFL23
CG66,PL1924
PL1924,NFL12
CG12,PL1932
PL1932,NFL11
CG17,PL1934
PL1934,NFL1
CG6,PL1955
PL1955,NFL18
CG70,PL1969
PL1969,NFL26
CG29,PL1974
PL1974,NFL30
CG12,PL1975
PL1975,NFL16
CG176,PL1987
PL1987,NFL29
CG0,PL1988
PL1988,NFL7
CG33,PL1995
PL1995,NFL3
CG32,PL2020
PL2020,NFL18
CG100,PL2057
PL2057,NFL17
CG74,PL2058
PL2058,NFL29
CG91,PL2060
PL2060,NFL20
CG9,PL2079
PL2079,NFL22
CG104,PL2084
PL2084,NFL10
CG12,PL2085
PL2085,NFL18
CG4,PL2086
PL2086,NFL8
CG19,PL2088
PL2088,NFL28
CG86,PL2090
PL2090,NFL27
CG20,PL2102
PL2102,NFL4
CG19,PL2109
PL2109,NFL13
CG13,PL2117
PL2117,NFL23
CG63,PL2127
PL2127,NFL17
CG66,PL2134
PL2134,NFL19
CG153,PL2158
PL2158,NFL28
CG96,PL2175
PL2175,NFL7
CG75,PL2180
PL2180,NFL9
CG232,PL2184
PL2184,NFL15
CG13,PL2187
PL2187,NFL8
CG74,PL2189
PL2189,NFL0
CG49,PL2203
PL2203,NFL5
CG135,PL2204
PL2204,NFL11
CG137,PL2207
PL2207,NFL18
CG1,PL2211
PL2211,NFL19
CG130,PL2212
PL2212,NFL24
CG58,PL2213
PL2213,NFL31
CG1,PL2218
PL2218,NFL16
