Source,Target
CG106,PL288
PL288,NFL25
CG165,PL1269
PL1269,NFL3
CG100,PL1273
PL1273,NFL16
CG1,PL1279
PL1279,NFL9
CG2,PL1281
PL1281,NFL21
CG55,PL1287
PL1287,NFL28
CG11,PL1408
PL1408,NFL6
CG115,PL1572
PL1572,NFL24
CG10,PL1781
PL1781,NFL15
CG2,PL1797
PL1797,NFL24
CG85,PL1819
PL1819,NFL23
CG74,PL1824
PL1824,NFL17
CG132,PL1830
PL1830,NFL4
CG63,PL1844
PL1844,NFL12
CG32,PL2020
PL2020,NFL18
CG19,PL2088
PL2088,NFL28
CG13,PL2117
PL2117,NFL23
CG18,PL2318
PL2318,NFL0
CG33,PL2326
PL2326,NFL29
CG33,PL2362
PL2362,NFL1
CG70,PL2539
PL2539,NFL14
CG54,PL2541
PL2541,NFL20
CG54,PL2552
PL2552,NFL11
CG111,PL2792
PL2792,NFL24
CG123,PL2874
PL2874,NFL7
CG25,PL3045
PL3045,NFL1
CG11,PL3049
PL3049,NFL9
CG63,PL3059
PL3059,NFL15
CG33,PL3068
PL3068,NFL8
CG243,PL3150
PL3150,NFL5
CG7,PL3306
PL3306,NFL16
CG2,PL3322
PL3322,NFL20
CG14,PL3323
PL3323,NFL26
CG149,PL3555
PL3555,NFL29
CG14,PL3556
PL3556,NFL22
CG19,PL3558
PL3558,NFL15
CG70,PL3559
PL3559,NFL28
CG54,PL3589
PL3589,NFL23
CG63,PL3811
PL3811,NFL2
CG113,PL3826
PL3826,NFL20
CG21,PL4064
PL4064,NFL21
CG14,PL4094
PL4094,NFL16
CG91,PL4122
PL4122,NFL31
CG9,PL4252
PL4252,NFL25
CG63,PL4588
PL4588,NFL15
CG19,PL4616
PL4616,NFL9
CG33,PL4825
PL4825,NFL14
CG139,PL4832
PL4832,NFL31
CG49,PL4839
PL4839,NFL1
CG96,PL4853
PL4853,NFL17
CG9,PL4863
PL4863,NFL18
CG55,PL4882
PL4882,NFL25
CG115,PL5009
PL5009,NFL21
CG111,PL5108
PL5108,NFL18
CG97,PL5150
PL5150,NFL9
CG164,PL5341
PL5341,NFL13
CG55,PL5342
PL5342,NFL10
CG11,PL5368
PL5368,NFL8
CG122,PL5401
PL5401,NFL19
CG49,PL5471
PL5471,NFL19
CG11,PL5574
PL5574,NFL21
CG39,PL5578
PL5578,NFL2
CG135,PL5635
PL5635,NFL29
CG1,PL5661
PL5661,NFL9
CG86,PL5812
PL5812,NFL6
CG155,PL5825
PL5825,NFL18
CG63,PL5836
PL5836,NFL21
CG91,PL5896
PL5896,NFL24
CG100,PL5908
PL5908,NFL28
CG99,PL5964
PL5964,NFL12
CG15,PL6076
PL6076,NFL27
CG11,PL6091
PL6091,NFL4
CG10,PL6204
PL6204,NFL7
CG100,PL6321
PL6321,NFL0
CG70,PL6390
PL6390,NFL27
CG61,PL6399
PL6399,NFL9
CG332,PL6493
PL6493,NFL1
CG39,PL6563
PL6563,NFL24
CG78,PL6576
PL6576,NFL9
CG64,PL6663
PL6663,NFL20
CG63,PL6739
PL6739,NFL5
CG3,PL6794
PL6794,NFL9
CG3,PL6880
PL6880,NFL16
CG19,PL7154
PL7154,NFL2
CG32,PL7195
PL7195,NFL19
CG50,PL7204
PL7204,NFL12
CG54,PL7428
PL7428,NFL22
CG8,PL7438
PL7438,NFL20
CG127,PL7582
PL7582,NFL11
CG2,PL7758
PL7758,NFL28
CG137,PL8101
PL8101,NFL0
CG1,PL8118
PL8118,NFL7
CG100,PL8130
PL8130,NFL29
CG10,PL8169
PL8169,NFL1
CG2,PL8423
PL8423,NFL25
CG33,PL8429
PL8429,NFL8
CG4,PL8507
PL8507,NFL18
CG137,PL8543
PL8543,NFL9
CG85,PL8568
PL8568,NFL20
CG301,PL8571
PL8571,NFL9
CG135,PL8790
PL8790,NFL28
CG1,PL8806
PL8806,NFL5
CG113,PL8807
PL8807,NFL12
CG164,PL8815
PL8815,NFL27
CG43,PL8839
PL8839,NFL11
CG105,PL8963
PL8963,NFL19
CG54,PL9093
PL9093,NFL25
CG54,PL9156
PL9156,NFL27
CG55,PL9201
PL9201,NFL30
CG49,PL9426
PL9426,NFL5
CG23,PL9434
PL9434,NFL31
CG120,PL9499
PL9499,NFL23
CG6,PL9564
PL9564,NFL20
CG58,PL9798
PL9798,NFL8
CG111,PL9826
PL9826,NFL7
CG3,PL9860
PL9860,NFL24
CG69,PL10068
PL10068,NFL18
CG54,PL10096
PL10096,NFL26
CG7,PL10134
PL10134,NFL24
CG327,PL10163
PL10163,NFL9
CG74,PL10428
PL10428,NFL5
CG2,PL10431
PL10431,NFL30
CG68,PL10433
PL10433,NFL4
CG41,PL10464
PL10464,NFL31
CG96,PL10469
PL10469,NFL30
CG68,PL10477
PL10477,NFL27
CG23,PL10609
PL10609,NFL9
CG103,PL10777
PL10777,NFL31
CG123,PL10797
PL10797,NFL1
CG33,PL10801
PL10801,NFL3
CG33,PL10827
PL10827,NFL2
CG100,PL11112
PL11112,NFL19
CG54,PL11431
PL11431,NFL26
CG4,PL11765
PL11765,NFL12
CG139,PL11773
PL11773,NFL9
CG54,PL11781
PL11781,NFL4
CG86,PL12001
PL12001,NFL16
CG54,PL12068
PL12068,NFL3
CG106,PL12191
PL12191,NFL5
CG42,PL12214
PL12214,NFL30
CG253,PL12576
PL12576,NFL20
CG306,PL12588
PL12588,NFL29
CG21,PL12640
PL12640,NFL29
CG1,PL13018
PL13018,NFL18
CG72,PL13038
PL13038,NFL24
CG198,PL13050
PL13050,NFL9
CG44,PL13055
PL13055,NFL16
CG6,PL13093
PL13093,NFL19
