ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL4,Devin White,Player,0,0,21,2019,1,5,LB,LSU,TAM
PL6,Josh Allen,Player,0,0,22,2019,1,7,LB,Kentucky,JAX
PL9,Devin Bush,Player,0,0,21,2019,1,10,LB,Michigan,PIT
PL11,Rashan Gary,Player,0,0,21,2019,1,12,LB,Michigan,GNB
PL42,Jahlani Tavai,Player,0,0,22,2019,2,43,LB,Hawaii,DET
PL48,Ben Banogu,Player,0,0,23,2019,2,49,LB,TCU,IND
PL67,Jachai Polite,Player,0,0,21,2019,3,68,LB,Florida,NYJ
PL71,Germaine Pratt,Player,0,0,23,2019,3,72,LB,North Carolina St.,CIN
PL79,Sione Takitaki,Player,0,0,24,2019,3,80,LB,BYU,CLE
PL87,Cody Barton,Player,0,0,22,2019,3,88,LB,Utah,SEA
PL88,Bobby Okereke,Player,0,0,23,2019,3,89,LB,Stanford,IND
PL114,Christian Miller,Player,0,0,23,2019,4,115,LB,Alabama,CAR
PL129,Drue Tranquill,Player,0,0,24,2019,4,130,LB,Notre Dame,LAC
PL141,Ben Burr-Kirven,Player,0,0,21,2019,5,142,LB,Washington,SEA
PL142,Ryan Connelly,Player,0,0,23,2019,5,143,LB,Wisconsin,NYG
PL146,Vosean Joseph,Player,0,0,21,2019,5,147,LB,Florida,BUF
PL147,Dre Greenlaw,Player,0,0,22,2019,5,148,LB,Arkansas,SFO
PL150,Andrew Van Ginkel,Player,0,0,24,2019,5,151,LB,Wisconsin,MIA
PL154,Mack Wilson,Player,0,0,21,2019,5,155,LB,Alabama,CLE
PL155,Justin Hollins,Player,0,0,23,2019,5,156,LB,Oregon,DEN
PL156,Blake Cashman,Player,0,0,23,2019,5,157,LB,Minnesota,NYJ
PL161,Cameron Smith,Player,0,0,22,2019,5,162,LB,USC,MIN
PL163,E.J. Speed,Player,0,0,24,2019,5,164,LB,Tarleton St.,IND
