ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL288,Darius Leonard,Player,1,0,23,2018,2,36,LB,South Carolina St.,IND
PL1269,Khalil Mack,Player,3,4,23,2014,1,5,LB,Buffalo,OAK
PL1273,Anthony Barr,Player,0,4,22,2014,1,9,LB,UCLA,MIN
PL1279,Ryan Shazier,Player,0,2,22,2014,1,15,LB,Ohio St.,PIT
PL1281,C.J. Mosley,Player,0,4,22,2014,1,17,LB,Alabama,BAL
PL1287,Dee Ford,Player,0,1,23,2014,1,23,LB,Auburn,KAN
PL1408,Telvin Smith,Player,0,1,23,2014,5,144,LB,Florida St.,JAX
PL1572,Jamie Collins,Player,0,1,23,2013,2,52,LB,Southern Miss,NWE
PL1781,Luke Kuechly,Player,5,6,21,2012,1,9,LB,Boston Col.,CAR
PL1797,Dont'a Hightower,Player,0,1,22,2012,1,25,LB,Alabama,NWE
PL1819,Bobby Wagner,Player,4,5,22,2012,2,47,LB,Utah St.,SEA
PL1824,Zach Brown,Player,0,1,22,2012,2,52,LB,North Carolina,TEN
PL1830,Lavonte David,Player,1,1,22,2012,2,58,LB,Nebraska,TAM
PL1844,Olivier Vernon,Player,0,1,21,2012,3,72,LB,Miami (FL),MIA
PL2020,Von Miller,Player,3,7,22,2011,1,2,LB,Texas A&M,DEN
PL2088,Justin Houston,Player,1,4,22,2011,3,70,LB,Georgia,KAN
PL2117,K.J. Wright,Player,0,1,22,2011,4,99,LB,Mississippi St.,SEA
PL2318,Daryl Washington,Player,0,1,23,2010,2,47,LB,TCU,ARI
PL2326,Sean Lee,Player,1,2,24,2010,2,55,LB,Penn St.,DAL
PL2362,NaVorro Bowman,Player,4,3,22,2010,3,91,LB,Penn St.,SFO
PL2539,Brian Orakpo,Player,0,4,23,2009,1,13,LB,Texas,WAS
PL2541,Brian Cushing,Player,0,1,22,2009,1,15,LB,USC,HOU
PL2552,Clay Matthews,Player,1,6,23,2009,1,26,LB,USC,GNB
PL2792,Jerod Mayo,Player,1,2,22,2008,1,10,LB,Tennessee,NWE
PL2874,Cliff Avril,Player,0,1,22,2008,3,92,LB,Purdue,DET
PL3045,Patrick Willis,Player,5,7,22,2007,1,11,LB,Mississippi,SFO
PL3049,Lawrence Timmons,Player,0,1,21,2007,1,15,LB,Florida St.,PIT
PL3059,Jon Beason,Player,1,3,22,2007,1,25,LB,Miami (FL),CAR
PL3068,Paul Posluszny,Player,0,1,22,2007,2,34,LB,Penn St.,BUF
PL3150,Zak DeOssie,Player,0,2,23,2007,4,116,LB,Brown,NYG
PL3306,Chad Greenway,Player,0,2,23,2006,1,17,LB,Iowa,MIN
PL3322,DeMeco Ryans,Player,0,2,22,2006,2,33,LB,Alabama,HOU
PL3323,D'Qwell Jackson,Player,0,1,22,2006,2,34,LB,Maryland,CLE
PL3555,DeMarcus Ware,Player,4,9,23,2005,1,11,LB,Troy,DAL
PL3556,Shawne Merriman,Player,1,3,21,2005,1,12,LB,Maryland,SDG
PL3558,Thomas Davis,Player,1,3,22,2005,1,14,LB,Georgia,CAR
PL3559,Derrick Johnson,Player,1,4,22,2005,1,15,LB,Texas,KAN
PL3589,Lofa Tatupu,Player,1,3,22,2005,2,45,LB,USC,SEA
PL3811,Jonathan Vilma,Player,0,3,22,2004,1,12,LB,Miami (FL),NYJ
PL3826,Jason Babin,Player,0,2,24,2004,1,27,LB,West. Michigan,HOU
PL4064,Terrell Suggs,Player,1,7,20,2003,1,10,LB,Arizona St.,BAL
PL4094,E.J. Henderson,Player,0,1,23,2003,2,40,LB,Maryland,MIN
PL4122,Lance Briggs,Player,1,7,22,2003,3,68,LB,Arizona,CHI
PL4252,Cato June,Player,0,1,23,2003,6,198,LB,Michigan,IND
PL4588,Dan Morgan,Player,0,1,22,2001,1,11,LB,Miami (FL),CAR
PL4616,Kendrell Bell,Player,0,1,23,2001,2,39,LB,Georgia,PIT
PL4825,LaVar Arrington,Player,0,3,22,2000,1,2,LB,Penn St.,WAS
PL4832,Brian Urlacher HOF,Player,4,8,22,2000,1,9,LB,New Mexico,CHI
PL4839,Julian Peterson,Player,1,5,22,2000,1,16,LB,Michigan St.,SFO
PL4853,Keith Bulluck,Player,1,1,23,2000,1,30,LB,Syracuse,TEN
