Source,Target
CG2,PL10
PL10,NFL10
CG10,PL13
PL13,NFL13
CG12,PL17
PL17,NFL16
CG15,PL21
PL21,NFL19
CG16,PL22
PL22,NFL20
CG20,PL30
PL30,NFL13
CG23,PL34
PL34,NFL6
CG25,PL36
PL36,NFL15
CG0,PL37
PL37,NFL8
CG27,PL40
PL40,NFL18
CG13,PL43
PL43,NFL11
CG32,PL47
PL47,NFL27
CG34,PL54
PL54,NFL20
CG46,PL77
PL77,NFL12
CG48,PL81
PL81,NFL17
CG33,PL89
PL89,NFL29
CG53,PL90
PL90,NFL22
CG54,PL91
PL91,NFL2
CG0,PL96
PL96,NFL30
CG58,PL100
PL100,NFL24
CG0,PL113
PL113,NFL16
CG62,PL117
PL117,NFL24
CG0,PL122
PL122,NFL21
CG64,PL123
PL123,NFL23
CG65,PL130
PL130,NFL14
CG1,PL135
PL135,NFL10
CG2,PL152
PL152,NFL14
CG46,PL168
PL168,NFL30
CG19,PL178
PL178,NFL0
CG30,PL182
PL182,NFL1
CG79,PL188
PL188,NFL26
CG81,PL192
PL192,NFL16
CG1,PL201
PL201,NFL12
CG24,PL211
PL211,NFL15
CG86,PL215
PL215,NFL28
CG14,PL218
PL218,NFL9
CG6,PL231
PL231,NFL5
CG31,PL239
PL239,NFL25
CG25,PL245
PL245,NFL25
CG98,PL247
PL247,NFL0
CG17,PL258
PL258,NFL25
CG17,PL261
PL261,NFL1
CG100,PL267
PL267,NFL3
CG62,PL272
PL272,NFL7
CG1,PL273
PL273,NFL10
CG19,PL275
PL275,NFL24
CG104,PL285
PL285,NFL26
CG105,PL286
PL286,NFL5
CG55,PL289
PL289,NFL25
CG7,PL291
PL291,NFL31
CG70,PL302
PL302,NFL29
CG68,PL314
PL314,NFL16
CG89,PL317
PL317,NFL3
CG103,PL326
PL326,NFL14
CG13,PL332
PL332,NFL20
CG0,PL335
PL335,NFL21
CG18,PL341
PL341,NFL30
CG113,PL344
PL344,NFL9
CG114,PL346
PL346,NFL4
CG9,PL349
PL349,NFL0
CG49,PL363
PL363,NFL30
CG11,PL379
PL379,NFL27
CG12,PL381
PL381,NFL6
CG15,PL390
PL390,NFL11
CG66,PL405
PL405,NFL7
CG100,PL407
PL407,NFL22
CG102,PL418
PL418,NFL8
CG1,PL420
PL420,NFL23
CG21,PL435
PL435,NFL18
CG129,PL444
PL444,NFL30
CG18,PL458
PL458,NFL19
CG134,PL464
PL464,NFL21
CG135,PL465
PL465,NFL16
CG2,PL467
PL467,NFL21
CG4,PL495
PL495,NFL27
CG25,PL502
PL502,NFL10
CG94,PL504
PL504,NFL0
CG31,PL526
PL526,NFL18
CG46,PL538
PL538,NFL27
CG2,PL540
PL540,NFL6
CG117,PL544
PL544,NFL22
CG4,PL564
PL564,NFL23
CG22,PL569
PL569,NFL8
CG113,PL570
PL570,NFL15
CG1,PL576
PL576,NFL16
CG65,PL577
PL577,NFL22
CG149,PL591
PL591,NFL24
CG68,PL621
PL621,NFL0
CG52,PL628
PL628,NFL21
CG23,PL635
PL635,NFL3
CG152,PL636
PL636,NFL20
CG153,PL642
PL642,NFL13
CG54,PL643
PL643,NFL25
CG155,PL653
PL653,NFL31
CG30,PL663
PL663,NFL0
CG32,PL665
PL665,NFL21
CG11,PL666
PL666,NFL26
CG31,PL670
PL670,NFL12
CG31,PL682
PL682,NFL10
CG63,PL686
PL686,NFL16
CG31,PL696
PL696,NFL22
CG80,PL705
PL705,NFL14
CG68,PL706
PL706,NFL5
CG13,PL716
PL716,NFL23
CG100,PL717
PL717,NFL24
CG112,PL718
PL718,NFL11
CG162,PL722
PL722,NFL17
CG16,PL736
PL736,NFL3
CG146,PL741
PL741,NFL17
CG41,PL748
PL748,NFL20
CG17,PL764
PL764,NFL21
CG49,PL766
PL766,NFL17
CG25,PL771
PL771,NFL12
CG1,PL774
PL774,NFL7
CG2,PL776
PL776,NFL25
CG35,PL786
PL786,NFL1
CG32,PL789
PL789,NFL23
CG65,PL806
PL806,NFL11
CG17,PL808
PL808,NFL20
CG27,PL814
PL814,NFL31
CG54,PL824
PL824,NFL22
CG55,PL834
PL834,NFL26
CG12,PL836
PL836,NFL24
CG153,PL837
PL837,NFL19
CG99,PL840
PL840,NFL25
CG9,PL853
PL853,NFL7
CG59,PL855
PL855,NFL23
CG94,PL863
PL863,NFL28
CG113,PL879
PL879,NFL16
CG4,PL881
PL881,NFL9
CG28,PL886
PL886,NFL0
CG132,PL888
PL888,NFL21
CG28,PL902
PL902,NFL18
CG19,PL903
PL903,NFL1
CG100,PL906
PL906,NFL4
CG15,PL909
PL909,NFL7
CG72,PL913
PL913,NFL25
CG24,PL916
PL916,NFL2
CG21,PL919
PL919,NFL10
CG18,PL922
PL922,NFL19
CG41,PL926
PL926,NFL26
CG175,PL928
PL928,NFL0
CG25,PL932
PL932,NFL1
CG62,PL950
PL950,NFL17
CG42,PL952
PL952,NFL13
CG35,PL957
PL957,NFL11
CG18,PL971
PL971,NFL23
CG86,PL977
PL977,NFL24
CG49,PL980
PL980,NFL22
CG4,PL990
PL990,NFL3
CG7,PL1004
PL1004,NFL25
CG7,PL1014
PL1014,NFL14
CG63,PL1018
PL1018,NFL5
CG35,PL1022
PL1022,NFL27
CG11,PL1028
PL1028,NFL26
CG32,PL1030
PL1030,NFL10
CG23,PL1033
PL1033,NFL0
CG5,PL1037
PL1037,NFL7
CG33,PL1043
PL1043,NFL4
CG28,PL1058
PL1058,NFL28
CG66,PL1062
PL1062,NFL10
CG46,PL1066
PL1066,NFL30
CG97,PL1068
PL1068,NFL18
CG182,PL1070
PL1070,NFL4
CG31,PL1075
PL1075,NFL17
CG24,PL1076
PL1076,NFL6
CG66,PL1080
PL1080,NFL31
CG103,PL1081
PL1081,NFL30
CG103,PL1090
PL1090,NFL8
CG23,PL1100
PL1100,NFL29
CG0,PL1111
PL1111,NFL15
CG68,PL1119
PL1119,NFL16
CG11,PL1120
PL1120,NFL24
CG2,PL1121
PL1121,NFL14
CG21,PL1123
PL1123,NFL12
CG7,PL1128
PL1128,NFL30
CG63,PL1137
PL1137,NFL3
CG52,PL1139
PL1139,NFL23
CG164,PL1140
PL1140,NFL24
CG23,PL1142
PL1142,NFL18
CG58,PL1143
PL1143,NFL23
CG32,PL1161
PL1161,NFL2
CG190,PL1184
PL1184,NFL21
CG18,PL1191
PL1191,NFL31
CG0,PL1193
PL1193,NFL16
CG10,PL1198
PL1198,NFL1
CG10,PL1216
PL1216,NFL17
CG75,PL1223
PL1223,NFL30
CG190,PL1226
PL1226,NFL3
CG112,PL1230
PL1230,NFL14
CG147,PL1233
PL1233,NFL13
CG11,PL1234
PL1234,NFL5
CG2,PL1236
PL1236,NFL16
CG24,PL1248
PL1248,NFL7
CG102,PL1251
PL1251,NFL29
CG23,PL1252
PL1252,NFL1
CG196,PL1263
PL1263,NFL25
CG55,PL1266
PL1266,NFL30
CG32,PL1270
PL1270,NFL13
CG9,PL1275
PL1275,NFL17
CG17,PL1280
PL1280,NFL29
CG111,PL1283
PL1283,NFL12
CG100,PL1297
PL1297,NFL20
CG104,PL1299
PL1299,NFL26
CG97,PL1307
PL1307,NFL5
CG2,PL1308
PL1308,NFL8
CG1,PL1323
PL1323,NFL25
CG28,PL1328
PL1328,NFL23
CG39,PL1330
PL1330,NFL14
CG72,PL1331
PL1331,NFL12
CG54,PL1334
PL1334,NFL1
CG62,PL1340
PL1340,NFL7
CG132,PL1342
PL1342,NFL14
CG13,PL1345
PL1345,NFL3
CG17,PL1353
PL1353,NFL22
CG4,PL1356
PL1356,NFL15
CG63,PL1357
PL1357,NFL6
CG9,PL1359
PL1359,NFL18
CG3,PL1364
PL1364,NFL1
CG11,PL1369
PL1369,NFL24
CG74,PL1375
PL1375,NFL10
CG202,PL1401
PL1401,NFL2
CG35,PL1404
PL1404,NFL24
CG190,PL1407
PL1407,NFL4
CG35,PL1409
PL1409,NFL16
CG123,PL1413
PL1413,NFL4
CG41,PL1417
PL1417,NFL8
CG1,PL1425
PL1425,NFL11
CG30,PL1437
PL1437,NFL9
CG33,PL1439
PL1439,NFL21
CG23,PL1443
PL1443,NFL24
CG111,PL1457
PL1457,NFL28
CG195,PL1463
PL1463,NFL23
CG207,PL1464
PL1464,NFL28
CG27,PL1466
PL1466,NFL27
CG39,PL1469
PL1469,NFL6
CG59,PL1471
PL1471,NFL18
CG208,PL1490
PL1490,NFL30
CG161,PL1496
PL1496,NFL25
CG63,PL1501
PL1501,NFL8
CG59,PL1510
PL1510,NFL31
CG190,PL1514
PL1514,NFL30
CG26,PL1521
PL1521,NFL28
CG32,PL1522
PL1522,NFL6
CG0,PL1524
PL1524,NFL19
CG74,PL1527
PL1527,NFL0
CG2,PL1530
PL1530,NFL17
CG2,PL1531
PL1531,NFL22
CG96,PL1539
PL1539,NFL5
CG66,PL1540
PL1540,NFL31
CG46,PL1551
PL1551,NFL29
CG11,PL1562
PL1562,NFL3
CG6,PL1585
PL1585,NFL7
CG198,PL1592
PL1592,NFL2
CG212,PL1595
PL1595,NFL27
CG111,PL1597
PL1597,NFL12
CG86,PL1606
PL1606,NFL25
CG74,PL1609
PL1609,NFL20
CG137,PL1627
PL1627,NFL17
CG93,PL1628
PL1628,NFL15
CG78,PL1629
PL1629,NFL11
CG2,PL1633
PL1633,NFL30
CG90,PL1636
PL1636,NFL0
CG54,PL1641
