Source,Target
CG17,PL258
PL258,NFL25
CG49,PL766
PL766,NFL17
CG27,PL814
PL814,NFL31
CG7,PL1014
PL1014,NFL14
CG35,PL1022
PL1022,NFL27
CG32,PL1270
PL1270,NFL13
CG9,PL1275
PL1275,NFL17
CG17,PL1280
PL1280,NFL29
CG104,PL1299
PL1299,NFL26
CG4,PL1356
PL1356,NFL15
CG59,PL1510
PL1510,NFL31
CG26,PL1521
PL1521,NFL28
CG0,PL1524
PL1524,NFL19
CG66,PL1540
PL1540,NFL31
CG46,PL1551
PL1551,NFL29
CG6,PL1585
PL1585,NFL7
CG212,PL1595
PL1595,NFL27
CG78,PL1629
PL1629,NFL11
CG54,PL1776
PL1776,NFL16
CG35,PL1796
PL1796,NFL9
CG137,PL1809
PL1809,NFL26
CG44,PL1832
PL1832,NFL21
CG183,PL1848
PL1848,NFL20
CG54,PL2027
PL2027,NFL29
CG23,PL2033
PL2033,NFL12
CG11,PL2073
PL2073,NFL28
CG94,PL2209
PL2209,NFL19
CG0,PL2275
PL2275,NFL14
CG61,PL2277
PL2277,NFL23
CG95,PL2288
PL2288,NFL1
CG23,PL2289
PL2289,NFL9
CG31,PL2316
PL2316,NFL18
CG137,PL2547
PL2547,NFL26
CG103,PL2554
PL2554,NFL8
CG66,PL2575
PL2575,NFL23
CG99,PL2604
PL2604,NFL22
CG60,PL2635
PL2635,NFL11
CG9,PL2783
PL2783,NFL12
CG59,PL2794
PL2794,NFL18
CG39,PL2797
PL2797,NFL28
CG102,PL2808
PL2808,NFL20
CG76,PL2865
PL2865,NFL4
CG36,PL2917
PL2917,NFL11
CG132,PL2946
PL2946,NFL27
CG46,PL3037
PL3037,NFL26
CG26,PL3062
PL3062,NFL1
CG55,PL3063
PL3063,NFL21
CG54,PL3093
PL3093,NFL15
CG7,PL3120
PL3120,NFL21
CG189,PL3159
PL3159,NFL27
CG39,PL3293
PL3293,NFL2
CG0,PL3312
PL3312,NFL4
CG1,PL3318
PL3318,NFL2
CG55,PL3339
PL3339,NFL22
CG4,PL3344
PL3344,NFL10
CG201,PL3397
PL3397,NFL27
CG0,PL3557
PL3557,NFL27
CG75,PL3576
PL3576,NFL24
CG147,PL3585
PL3585,NFL17
CG2,PL3623
PL3623,NFL15
CG66,PL3625
PL3625,NFL30
CG63,PL3744
PL3744,NFL18
CG62,PL3815
PL3815,NFL19
CG10,PL3833
PL3833,NFL5
CG123,PL3865
PL3865,NFL22
CG111,PL4050
PL4050,NFL11
CG31,PL4062
PL4062,NFL15
CG19,PL4091
PL4091,NFL27
CG43,PL4132
PL4132,NFL12
CG191,PL4196
PL4196,NFL26
CG86,PL4214
PL4214,NFL5
CG10,PL4218
PL4218,NFL24
CG63,PL4323
PL4323,NFL16
CG78,PL4353
PL4353,NFL29
CG1,PL4360
PL4360,NFL27
CG9,PL4470
PL4470,NFL2
CG70,PL4579
PL4579,NFL0
CG9,PL4594
PL4594,NFL23
CG123,PL4625
PL4625,NFL24
CG2,PL4826
PL4826,NFL14
CG21,PL4861
PL4861,NFL9
CG111,PL4867
PL4867,NFL11
CG10,PL5094
PL5094,NFL24
CG52,PL5336
PL5336,NFL27
CG11,PL5340
PL5340,NFL19
CG4,PL5355
PL5355,NFL9
CG49,PL5367
PL5367,NFL29
CG137,PL5387
PL5387,NFL1
CG20,PL5393
PL5393,NFL31
CG175,PL5502
PL5502,NFL16
CG1,PL5571
PL5571,NFL30
CG11,PL5576
PL5576,NFL23
CG137,PL5589
PL5589,NFL25
CG100,PL5814
PL5814,NFL21
CG55,PL5820
PL5820,NFL10
CG33,PL5833
PL5833,NFL7
CG294,PL5835
PL5835,NFL19
CG100,PL5900
PL5900,NFL11
CG9,PL5919
PL5919,NFL20
CG33,PL6018
PL6018,NFL11
CG54,PL6065
PL6065,NFL6
CG68,PL6077
PL6077,NFL8
CG1,PL6087
PL6087,NFL16
CG18,PL6112
PL6112,NFL3
CG88,PL6293
PL6293,NFL11
CG137,PL6330
PL6330,NFL16
CG22,PL6342
PL6342,NFL14
CG4,PL6347
PL6347,NFL23
CG322,PL6357
PL6357,NFL29
CG17,PL6376
PL6376,NFL12
CG10,PL6528
PL6528,NFL18
CG51,PL6540
PL6540,NFL27
CG20,PL6541
PL6541,NFL13
CG86,PL6545
PL6545,NFL20
CG132,PL6606
PL6606,NFL28
CG10,PL6628
PL6628,NFL29
CG35,PL6764
PL6764,NFL13
CG63,PL6767
PL6767,NFL9
CG68,PL6846
PL6846,NFL0
CG197,PL7046
PL7046,NFL9
CG314,PL7161
PL7161,NFL29
CG32,PL7432
PL7432,NFL12
CG44,PL7462
PL7462,NFL12
CG17,PL7463
PL7463,NFL28
CG64,PL7531
PL7531,NFL4
CG33,PL7603
PL7603,NFL28
CG33,PL7783
PL7783,NFL29
CG68,PL7811
PL7811,NFL29
CG95,PL8017
PL8017,NFL14
CG372,PL8066
PL8066,NFL9
CG21,PL8108
PL8108,NFL16
CG9,PL8125
PL8125,NFL5
CG6,PL8133
PL8133,NFL9
CG74,PL8443
PL8443,NFL1
CG103,PL8444
PL8444,NFL24
CG20,PL8626
PL8626,NFL29
CG50,PL8696
PL8696,NFL26
CG235,PL8703
PL8703,NFL8
CG30,PL8775
PL8775,NFL8
CG331,PL8805
PL8805,NFL30
CG55,PL8856
PL8856,NFL1
CG203,PL8956
PL8956,NFL30
CG68,PL9090
PL9090,NFL13
CG23,PL9094
PL9094,NFL7
CG1,PL9100
PL9100,NFL22
CG14,PL9122
PL9122,NFL7
CG100,PL9361
PL9361,NFL30
CG14,PL9442
PL9442,NFL25
CG7,PL9444
PL9444,NFL28
CG1,PL9450
PL9450,NFL5
CG19,PL9496
PL9496,NFL1
CG7,PL9520
PL9520,NFL27
CG73,PL9763
PL9763,NFL18
CG68,PL9765
PL9765,NFL31
CG54,PL9768
PL9768,NFL20
CG54,PL9785
PL9785,NFL3
CG7,PL9978
PL9978,NFL31
CG29,PL10047
PL10047,NFL1
CG33,PL10101
PL10101,NFL20
CG100,PL10109
PL10109,NFL30
CG54,PL10117
PL10117,NFL12
CG28,PL10123
PL10123,NFL27
CG35,PL10445
PL10445,NFL24
CG68,PL10446
PL10446,NFL14
CG68,PL10495
PL10495,NFL14
CG54,PL10761
PL10761,NFL10
CG12,PL10774
PL10774,NFL8
CG19,PL10790
PL10790,NFL21
CG2,PL10806
PL10806,NFL12
CG41,PL10915
PL10915,NFL18
CG323,PL10923
PL10923,NFL9
CG33,PL11101
PL11101,NFL7
CG164,PL11117
PL11117,NFL30
CG100,PL11259
PL11259,NFL10
CG32,PL11274
PL11274,NFL26
CG9,PL11432
PL11432,NFL13
CG66,PL11594
PL11594,NFL1
CG54,PL11756
PL11756,NFL2
CG62,PL11788
PL11788,NFL13
CG33,PL11971
PL11971,NFL24
CG100,PL12128
PL12128,NFL1
CG253,PL12172
PL12172,NFL30
CG63,PL12581
PL12581,NFL30
CG1,PL12590
PL12590,NFL30
CG35,PL12660
PL12660,NFL29
CG290,PL12895
PL12895,NFL29
CG293,PL12914
PL12914,NFL2
CG221,PL13023
PL13023,NFL3
CG69,PL13039
PL13039,NFL1
CG46,PL13129
PL13129,NFL9
