ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL258,Quenton Nelson,Player,1,1,22,2018,1,6,G,Notre Dame,IND
PL766,Jack Conklin,Player,1,0,22,2016,1,8,T,Michigan St.,TEN
PL814,Cody Whitehair,Player,0,1,24,2016,2,56,G,Kansas St.,CHI
PL1014,Brandon Scherff,Player,0,2,23,2015,1,5,T,Iowa,WAS
PL1022,Andrus Peat,Player,0,1,21,2015,1,13,T,Stanford,NOR
PL1270,Jake Matthews,Player,0,1,22,2014,1,6,T,Texas A&M,ATL
PL1275,Taylor Lewan,Player,0,3,23,2014,1,11,T,Michigan,TEN
PL1280,Zack Martin,Player,3,5,23,2014,1,16,G,Notre Dame,DAL
PL1299,Joel Bitonio,Player,0,1,22,2014,2,35,G,Nevada,CLE
PL1356,Trai Turner,Player,0,4,21,2014,3,92,OL,LSU,CAR
PL1510,Charles Leno,Player,0,1,22,2014,7,246,T,Boise St.,CHI
PL1521,Eric Fisher,Player,0,1,22,2013,1,1,T,Central Michigan,KAN
PL1524,Lane Johnson,Player,1,2,23,2013,1,4,T,Oklahoma,PHI
PL1540,Kyle Long,Player,0,3,24,2013,1,20,G,Oregon,CHI
PL1551,Travis Frederick,Player,1,4,22,2013,1,31,C,Wisconsin,DAL
PL1585,Larry Warford,Player,0,2,22,2013,3,65,G,Kentucky,DET
PL1595,Terron Armstead,Player,0,1,22,2013,3,75,T,Ark-Pine Bluff,NOR
PL1629,David Bakhtiari,Player,1,1,21,2013,4,109,T,Colorado,GNB
PL1776,Matt Kalil,Player,0,1,23,2012,1,4,T,USC,MIN
PL1796,David DeCastro,Player,2,4,22,2012,1,24,G,Stanford,PIT
PL1809,Mitchell Schwartz,Player,1,0,23,2012,2,37,T,California,CLE
PL1832,Kelechi Osemele,Player,1,2,23,2012,2,60,T,Iowa St.,BAL
PL1848,Brandon Brooks,Player,0,2,23,2012,3,76,G,Miami (OH),HOU
PL2027,Tyron Smith,Player,2,6,20,2011,1,9,T,USC,DAL
PL2033,Mike Pouncey,Player,0,4,22,2011,1,15,G,Florida,MIA
PL2073,Rodney Hudson,Player,0,2,22,2011,2,55,C,Florida St.,KAN
PL2209,Jason Kelce,Player,2,2,23,2011,6,191,C,Cincinnati,PHI
PL2275,Trent Williams,Player,0,7,22,2010,1,4,T,Oklahoma,WAS
PL2277,Russell Okung,Player,0,2,22,2010,1,6,T,Oklahoma St.,SEA
PL2288,Mike Iupati,Player,1,4,23,2010,1,17,G,Idaho,SFO
PL2289,Maurkice Pouncey,Player,2,7,21,2010,1,18,C,Florida,PIT
