Source,Target
CG0,PL0
PL0,NFL0
CG5,PL5
PL5,NFL5
CG1,PL14
PL14,NFL14
CG28,PL41
PL41,NFL18
CG58,PL99
PL99,NFL15
CG12,PL103
PL103,NFL10
CG55,PL132
PL132,NFL24
CG72,PL165
PL165,NFL22
CG73,PL166
PL166,NFL19
CG15,PL177
PL177,NFL6
CG33,PL196
PL196,NFL21
CG0,PL253
PL253,NFL26
CG54,PL255
PL255,NFL2
CG80,PL259
PL259,NFL8
CG100,PL262
PL262,NFL0
CG103,PL284
PL284,NFL21
CG61,PL328
PL328,NFL9
CG116,PL360
PL360,NFL5
CG117,PL423
PL423,NFL29
CG15,PL451
PL451,NFL17
CG132,PL455
PL455,NFL6
CG4,PL471
PL471,NFL24
CG136,PL472
PL472,NFL23
CG40,PL499
PL499,NFL10
CG74,PL508
PL508,NFL31
CG99,PL516
PL516,NFL28
CG3,PL518
PL518,NFL20
CG17,PL558
PL558,NFL26
CG137,PL593
PL593,NFL5
CG7,PL610
PL610,NFL1
CG111,PL641
PL641,NFL9
CG68,PL677
PL677,NFL8
CG63,PL720
PL720,NFL7
CG25,PL758
PL758,NFL18
CG137,PL759
PL759,NFL30
CG72,PL760
PL760,NFL19
CG43,PL784
PL784,NFL18
CG33,PL809
PL809,NFL2
CG12,PL849
PL849,NFL24
CG54,PL851
PL851,NFL26
CG49,PL858
PL858,NFL3
CG13,PL893
PL893,NFL29
CG1,PL897
PL897,NFL8
CG35,PL920
PL920,NFL28
CG65,PL944
PL944,NFL14
CG9,PL948
PL948,NFL7
CG62,PL958
PL958,NFL6
CG51,PL964
PL964,NFL1
CG117,PL979
PL979,NFL12
CG11,PL1010
PL1010,NFL4
CG66,PL1011
PL1011,NFL17
CG97,PL1084
PL1084,NFL27
CG153,PL1098
PL1098,NFL30
CG41,PL1112
PL1112,NFL2
CG100,PL1156
PL1156,NFL11
CG73,PL1258
PL1258,NFL18
CG36,PL1267
PL1267,NFL6
CG32,PL1286
PL1286,NFL26
CG103,PL1296
PL1296,NFL16
CG75,PL1300
PL1300,NFL3
CG180,PL1326
PL1326,NFL24
CG102,PL1384
PL1384,NFL0
CG68,PL1399
PL1399,NFL20
CG19,PL1427
PL1427,NFL28
CG2,PL1428
PL1428,NFL10
CG4,PL1442
