Source,Target
CG74,PL508
PL508,NFL31
CG99,PL516
PL516,NFL28
CG3,PL518
PL518,NFL20
CG137,PL759
PL759,NFL30
CG72,PL760
PL760,NFL19
CG13,PL893
PL893,NFL29
CG11,PL1010
PL1010,NFL4
CG103,PL1296
PL1296,NFL16
CG75,PL1300
PL1300,NFL3
CG35,PL1773
PL1773,NFL25
CG41,PL1774
PL1774,NFL14
CG46,PL1847
PL1847,NFL23
CG91,PL1859
PL1859,NFL19
CG49,PL1872
PL1872,NFL14
CG55,PL2019
PL2019,NFL15
CG18,PL2053
PL2053,NFL10
CG102,PL2198
PL2198,NFL21
CG19,PL2527
PL2527,NFL7
CG10,PL2785
PL2785,NFL13
CG70,PL3292
PL3292,NFL17
CG30,PL3300
PL3300,NFL18
CG31,PL3545
PL3545,NFL1
CG137,PL3568
PL3568,NFL11
CG153,PL3757
PL3757,NFL21
CG54,PL3774
PL3774,NFL24
CG25,PL3800
PL3800,NFL22
CG12,PL3803
PL3803,NFL5
CG183,PL3810
PL3810,NFL9
CG39,PL3889
PL3889,NFL13
CG54,PL4055
PL4055,NFL10
CG143,PL4424
PL4424,NFL6
CG102,PL4578
PL4578,NFL13
CG123,PL4609
PL4609,NFL22
CG58,PL4991
PL4991,NFL27
CG9,PL5022
PL5022,NFL24
CG96,PL5079
PL5079,NFL19
CG36,PL5088
PL5088,NFL16
CG111,PL5330
PL5330,NFL25
CG9,PL5420
PL5420,NFL18
CG10,PL5516
PL5516,NFL11
CG21,PL5612
PL5612,NFL0
CG303,PL6066
PL6066,NFL20
CG33,PL6068
PL6068,NFL15
CG78,PL6123
PL6123,NFL9
CG75,PL6317
PL6317,NFL4
CG234,PL6507
PL6507,NFL14
CG15,PL6533
PL6533,NFL24
CG20,PL6650
PL6650,NFL11
CG9,PL6751
PL6751,NFL1
CG65,PL6754
PL6754,NFL22
CG143,PL6921
PL6921,NFL2
CG11,PL6982
PL6982,NFL16
CG115,PL7124
PL7124,NFL13
CG14,PL7493
PL7493,NFL9
CG100,PL7755
PL7755,NFL29
CG1,PL8157
PL8157,NFL0
CG20,PL8165
PL8165,NFL25
CG63,PL8422
PL8422,NFL4
CG66,PL8434
PL8434,NFL13
CG9,PL8447
PL8447,NFL31
CG37,PL8519
PL8519,NFL24
CG17,PL8531
PL8531,NFL3
CG39,PL8675
PL8675,NFL11
CG123,PL8758
PL8758,NFL20
CG15,PL8901
PL8901,NFL14
CG238,PL9125
PL9125,NFL19
CG100,PL9230
PL9230,NFL16
CG10,PL9372
PL9372,NFL30
CG14,PL9461
PL9461,NFL10
CG58,PL9482
PL9482,NFL5
CG100,PL9506
PL9506,NFL14
CG35,PL9760
PL9760,NFL21
CG63,PL9773
PL9773,NFL8
CG291,PL9783
PL9783,NFL2
CG68,PL9786
PL9786,NFL12
CG47,PL10098
PL10098,NFL31
CG208,PL10459
PL10459,NFL30
CG297,PL10636
PL10636,NFL16
CG356,PL11098
PL11098,NFL5
CG17,PL11173
PL11173,NFL1
CG267,PL11751
PL11751,NFL12
CG191,PL11779
PL11779,NFL16
CG137,PL12571
PL12571,NFL13
CG54,PL12746
PL12746,NFL30
CG21,PL13057
PL13057,NFL29
CG35,PL13091
PL13091,NFL10
