Source,Target
CG2,PL23
PL23,NFL3
CG33,PL52
PL52,NFL19
CG43,PL69
PL69,NFL30
CG44,PL72
PL72,NFL31
CG45,PL73
PL73,NFL8
CG2,PL86
PL86,NFL24
CG59,PL101
PL101,NFL16
CG35,PL111
PL111,NFL14
CG61,PL112
PL112,NFL21
CG6,PL121
PL121,NFL9
CG43,PL127
PL127,NFL29
CG22,PL139
PL139,NFL6
CG68,PL151
PL151,NFL13
CG23,PL153
PL153,NFL15
CG32,PL181
PL181,NFL10
CG14,PL185
PL185,NFL7
CG17,PL193
PL193,NFL11
CG63,PL203
PL203,NFL23
CG0,PL210
PL210,NFL10
CG85,PL213
PL213,NFL28
CG1,PL217
PL217,NFL29
CG32,PL219
PL219,NFL20
CG45,PL221
PL221,NFL31
CG55,PL232
PL232,NFL12
CG20,PL233
PL233,NFL12
CG33,PL254
PL254,NFL5
CG52,PL279
PL279,NFL23
CG19,PL283
PL283,NFL24
CG19,PL287
PL287,NFL26
CG54,PL290
PL290,NFL4
CG55,PL295
PL295,NFL7
CG4,PL311
PL311,NFL14
CG66,PL323
PL323,NFL18
CG12,PL356
PL356,NFL25
CG63,PL364
PL364,NFL10
CG115,PL378
PL378,NFL13
CG21,PL383
PL383,NFL12
CG121,PL386
PL386,NFL0
CG25,PL421
PL421,NFL25
CG111,PL428
PL428,NFL30
CG51,PL453
PL453,NFL27
CG133,PL456
PL456,NFL2
CG62,PL478
PL478,NFL18
CG2,PL487
PL487,NFL29
CG52,PL488
PL488,NFL7
CG73,PL501
PL501,NFL22
CG4,PL510
PL510,NFL6
CG35,PL514
PL514,NFL15
CG11,PL547
PL547,NFL16
CG0,PL554
PL554,NFL10
CG111,PL573
PL573,NFL27
CG40,PL592
PL592,NFL28
CG70,PL595
PL595,NFL20
CG68,PL611
PL611,NFL9
CG0,PL620
PL620,NFL14
CG89,PL625
PL625,NFL31
CG31,PL627
PL627,NFL1
CG52,PL638
PL638,NFL19
CG47,PL640
PL640,NFL11
CG3,PL646
PL646,NFL5
CG112,PL649
PL649,NFL25
CG80,PL662
PL662,NFL13
CG59,PL668
PL668,NFL4
CG74,PL685
PL685,NFL0
CG105,PL688
PL688,NFL11
CG110,PL694
PL694,NFL2
CG160,PL709
PL709,NFL18
CG8,PL713
PL713,NFL10
CG85,PL743
PL743,NFL11
CG137,PL746
PL746,NFL17
CG74,PL747
PL747,NFL3
CG61,PL754
PL754,NFL23
CG12,PL757
PL757,NFL26
CG1,PL762
PL762,NFL29
CG2,PL803
PL803,NFL17
CG2,PL831
PL831,NFL12
CG17,PL848
PL848,NFL23
CG42,PL877
PL877,NFL20
