Source,Target
CG33,PL254
PL254,NFL5
CG111,PL573
PL573,NFL27
CG40,PL592
PL592,NFL28
CG68,PL611
PL611,NFL9
CG89,PL625
PL625,NFL31
CG1,PL762
PL762,NFL29
CG65,PL908
PL908,NFL31
CG19,PL1019
PL1019,NFL30
CG46,PL1024
PL1024,NFL22
CG127,PL1095
PL1095,NFL0
CG59,PL1158
PL1158,NFL12
CG11,PL1367
PL1367,NFL13
CG49,PL1568
PL1568,NFL9
CG2,PL1581
PL1581,NFL11
CG175,PL1650
PL1650,NFL21
CG36,PL1701
PL1701,NFL3
CG59,PL1803
PL1803,NFL4
CG63,PL1867
PL1867,NFL12
CG45,PL1940
PL1940,NFL14
CG2,PL2046
PL2046,NFL27
CG0,PL2089
PL2089,NFL29
CG128,PL2154
PL2154,NFL0
CG3,PL2280
PL2280,NFL8
CG75,PL2283
PL2283,NFL22
CG68,PL2579
PL2579,NFL19
CG39,PL2711
PL2711,NFL21
CG66,PL2795
PL2795,NFL15
CG143,PL2806
PL2806,NFL17
CG87,PL2826
PL2826,NFL31
CG76,PL2837
PL2837,NFL21
CG70,PL2855
PL2855,NFL28
CG137,PL3015
PL3015,NFL23
CG0,PL3041
PL3041,NFL16
CG137,PL3046
PL3046,NFL8
CG2,PL3171
PL3171,NFL21
CG43,PL3316
PL3316,NFL15
CG4,PL3319
PL3319,NFL25
CG100,PL3349
PL3349,NFL6
CG11,PL3406
PL3406,NFL2
CG55,PL3546
PL3546,NFL12
CG63,PL3609
PL3609,NFL1
CG69,PL3653
PL3653,NFL29
CG27,PL3674
PL3674,NFL22
CG153,PL3823
PL3823,NFL30
CG34,PL3953
PL3953,NFL22
CG63,PL4077
PL4077,NFL8
CG33,PL4081
PL4081,NFL28
CG63,PL4367
PL4367,NFL18
CG146,PL4407
PL4407,NFL19
CG18,PL4582
PL4582,NFL22
CG25,PL4600
PL4600,NFL27
CG46,PL4604
PL4604,NFL16
CG111,PL4635
PL4635,NFL8
CG55,PL4677
PL4677,NFL10
CG111,PL4828
PL4828,NFL21
CG39,PL4830
PL4830,NFL0
CG2,PL4842
PL4842,NFL23
CG63,PL5081
PL5081,NFL25
CG70,PL5082
PL5082,NFL27
CG23,PL5338
PL5338,NFL6
CG132,PL5405
PL5405,NFL23
CG11,PL5582
PL5582,NFL4
CG39,PL5606
PL5606,NFL5
CG20,PL5613
PL5613,NFL10
CG1,PL5824
PL5824,NFL20
CG123,PL5845
PL5845,NFL4
CG32,PL5875
PL5875,NFL18
CG55,PL5912
PL5912,NFL14
CG68,PL6137
PL6137,NFL24
CG231,PL6233
PL6233,NFL11
CG19,PL6259
PL6259,NFL18
CG52,PL6313
PL6313,NFL25
CG111,PL6353
PL6353,NFL19
CG164,PL6460
PL6460,NFL11
CG31,PL6511
PL6511,NFL13
CG19,PL6535
PL6535,NFL0
CG17,PL6542
PL6542,NFL30
CG1,PL6553
PL6553,NFL16
CG74,PL6573
PL6573,NFL22
CG35,PL6575
PL6575,NFL18
CG91,PL6905
PL6905,NFL23
CG17,PL7136
PL7136,NFL1
CG347,PL7245
PL7245,NFL27
CG23,PL7440
PL7440,NFL29
CG19,PL7447
PL7447,NFL5
CG24,PL7461
PL7461,NFL10
CG9,PL7468
PL7468,NFL26
CG358,PL7512
PL7512,NFL23
CG62,PL7551
PL7551,NFL9
CG110,PL7553
PL7553,NFL14
CG42,PL7592
PL7592,NFL0
CG294,PL7651
PL7651,NFL31
CG3,PL7664
PL7664,NFL16
CG61,PL7757
PL7757,NFL7
CG70,PL7767
PL7767,NFL26
CG96,PL7793
PL7793,NFL29
CG189,PL7886
PL7886,NFL5
CG11,PL7937
PL7937,NFL22
CG100,PL8103
PL8103,NFL30
CG193,PL8106
PL8106,NFL24
CG49,PL8111
PL8111,NFL20
CG68,PL8113
PL8113,NFL27
CG61,PL8129
PL8129,NFL8
CG55,PL8425
PL8425,NFL11
CG380,PL8456
PL8456,NFL28
CG55,PL8756
PL8756,NFL4
CG1,PL8765
PL8765,NFL19
CG7,PL8771
PL8771,NFL8
CG23,PL8782
PL8782,NFL31
CG4,PL8786
PL8786,NFL27
CG15,PL8812
PL8812,NFL27
CG62,PL8881
PL8881,NFL23
CG47,PL9009
PL9009,NFL30
CG58,PL9192
PL9192,NFL30
CG19,PL9202
PL9202,NFL29
CG17,PL9449
PL9449,NFL8
CG143,PL9703
PL9703,NFL26
CG107,PL9761
PL9761,NFL30
CG33,PL9762
PL9762,NFL23
CG62,PL9779
PL9779,NFL22
CG132,PL9808
PL9808,NFL1
CG107,PL9946
PL9946,NFL24
CG32,PL9961
PL9961,NFL22
CG21,PL10102
PL10102,NFL13
CG54,PL10103
PL10103,NFL3
CG96,PL10138
PL10138,NFL5
CG115,PL10224
PL10224,NFL18
CG24,PL10427
PL10427,NFL27
CG100,PL10429
PL10429,NFL2
CG55,PL10450
PL10450,NFL22
CG28,PL10460
PL10460,NFL4
CG193,PL10467
PL10467,NFL28
CG143,PL10473
PL10473,NFL24
CG132,PL10482
PL10482,NFL12
CG0,PL10759
PL10759,NFL7
CG54,PL10785
PL10785,NFL26
CG55,PL10787
PL10787,NFL8
CG63,PL11099
PL11099,NFL30
CG2,PL11152
PL11152,NFL12
CG0,PL11163
PL11163,NFL20
CG55,PL11170
PL11170,NFL13
CG70,PL11420
PL11420,NFL20
CG23,PL11578
PL11578,NFL14
CG54,PL11634
PL11634,NFL24
CG68,PL11754
PL11754,NFL29
CG1,PL11801
PL11801,NFL10
CG100,PL11831
PL11831,NFL30
CG43,PL11832
PL11832,NFL30
CG226,PL11906
PL11906,NFL19
CG137,PL12089
PL12089,NFL27
CG0,PL12090
PL12090,NFL22
CG123,PL12093
PL12093,NFL26
CG253,PL12574
PL12574,NFL31
CG238,PL12678
PL12678,NFL14
CG118,PL13053
PL13053,NFL1
