ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL23,Josh Jacobs,Player,0,0,21,2019,1,24,RB,Alabama,OAK
PL52,Miles Sanders,Player,0,0,22,2019,2,53,RB,Penn St.,PHI
PL69,Darrell Henderson,Player,0,0,22,2019,3,70,RB,Memphis,LAR
PL72,David Montgomery,Player,0,0,22,2019,3,73,RB,Iowa St.,CHI
PL73,Devin Singletary,Player,0,0,22,2019,3,74,RB,Florida Atlantic,BUF
PL86,Damien Harris,Player,0,0,22,2019,3,87,RB,Alabama,NWE
PL101,Alexander Mattison,Player,0,0,21,2019,3,102,RB,Boise St.,MIN
PL111,Bryce Love,Player,0,0,22,2019,4,112,RB,Stanford,WAS
PL112,Justice Hill,Player,0,0,21,2019,4,113,RB,Oklahoma St.,BAL
PL121,Benny Snell,Player,0,0,21,2019,4,122,RB,Kentucky,PIT
PL127,Tony Pollard,Player,0,0,22,2019,4,128,RB,Memphis,DAL
PL139,Ryquell Armstead,Player,0,0,22,2019,5,140,RB,Temple,JAX
PL151,Qadree Ollison,Player,0,0,22,2019,5,152,RB,Pittsburgh,ATL
PL153,Jordan Scarlett,Player,0,0,23,2019,5,154,RB,Florida,CAR
PL181,Trayveon Williams,Player,0,0,21,2019,6,182,RB,Texas A&M,CIN
PL185,Ty Johnson,Player,0,0,21,2019,6,186,RB,Maryland,DET
PL193,Dexter Williams,Player,0,0,22,2019,6,194,RB,Notre Dame,GNB
PL203,Travis Homer,Player,0,0,21,2019,6,204,RB,Miami (FL),SEA
PL210,Rodney Anderson,Player,0,0,22,2019,6,211,RB,Oklahoma,CIN
PL213,Darwin Thompson,Player,0,0,23,2019,6,214,RB,Utah St.,KAN
PL217,Mike Weber,Player,0,0,22,2019,7,218,RB,Ohio St.,DAL
PL219,Cullen Gillaspia,Player,0,0,24,2019,7,220,RB,Texas A&M,HOU
PL221,"Kerrith Whyte, Jr.",Player,0,0,22,2019,7,222,RB,Florida Atlantic,CHI
PL232,Chandler Cox,Player,0,0,23,2019,7,233,RB,Auburn,MIA
PL233,Myles Gaskin,Player,0,0,22,2019,7,234,RB,Washington,MIA
PL254,Saquon Barkley,Player,0,1,21,2018,1,2,RB,Penn St.,NYG
PL279,Rashaad Penny,Player,0,0,22,2018,1,27,RB,San Diego St.,SEA
PL283,Sony Michel,Player,0,0,23,2018,1,31,RB,Georgia,NWE
PL287,Nick Chubb,Player,0,0,22,2018,2,35,RB,Georgia,CLE
PL290,Ronald Jones,Player,0,0,21,2018,2,38,RB,USC,TAM
PL295,Kerryon Johnson,Player,0,0,21,2018,2,43,RB,Auburn,DET
PL311,Derrius Guice,Player,0,0,21,2018,2,59,RB,LSU,WAS
PL323,Royce Freeman,Player,0,0,22,2018,3,71,RB,Oregon,DEN
PL356,Nyheim Hines,Player,0,0,21,2018,4,104,RB,North Carolina St.,IND
PL364,Mark Walton,Player,0,0,21,2018,4,112,RB,Miami (FL),CIN
PL378,Ito Smith,Player,0,0,22,2018,4,126,RB,Southern Miss,ATL
PL383,Kalen Ballage,Player,0,0,22,2018,4,131,RB,Arizona St.,MIA
PL386,Chase Edmonds,Player,0,0,22,2018,4,134,RB,Fordham,ARI
PL421,Jordan Wilkins,Player,0,0,24,2018,5,169,RB,Mississippi,IND
PL428,John Kelly,Player,0,0,21,2018,6,176,RB,Tennessee,LAR
PL453,Boston Scott,Player,0,0,23,2018,6,201,RB,Louisiana Tech,NOR
PL456,Trenton Cannon,Player,0,0,24,2018,6,204,RB,Virginia St.,NYJ
PL478,David Williams,Player,0,0,24,2018,7,226,RB,Arkansas,DEN
PL487,Bo Scarbrough,Player,0,0,21,2018,7,236,RB,Alabama,DAL
PL488,Nick Bawden,Player,0,0,22,2018,7,237,RB,San Diego St.,DET
PL501,Justin Jackson,Player,0,0,23,2018,7,251,RB,Northwestern,LAC
PL510,Leonard Fournette,Player,0,0,22,2017,1,4,RB,LSU,JAX
PL514,Christian McCaffrey,Player,0,0,21,2017,1,8,RB,Stanford,CAR
PL547,Dalvin Cook,Player,0,0,22,2017,2,41,RB,Florida St.,MIN
PL554,Joe Mixon,Player,0,0,21,2017,2,48,RB,Oklahoma,CIN
PL573,Alvin Kamara,Player,0,2,22,2017,3,67,RB,Tennessee,NOR
PL592,Kareem Hunt,Player,0,1,22,2017,3,86,RB,Toledo,KAN
PL595,D'Onta Foreman,Player,0,0,21,2017,3,89,RB,Texas,HOU
PL611,James Conner,Player,0,1,22,2017,3,105,RB,Pittsburgh,PIT
PL620,Samaje Perine,Player,0,0,21,2017,4,114,RB,Oklahoma,WAS
PL625,Tarik Cohen,Player,1,1,22,2017,4,119,RB,North Carolina A&T,CHI
PL627,Joe Williams,Player,0,0,24,2017,4,121,RB,Utah,SFO
