ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL254,Saquon Barkley,Player,0,1,21,2018,1,2,RB,Penn St.,NYG
PL573,Alvin Kamara,Player,0,2,22,2017,3,67,RB,Tennessee,NOR
PL592,Kareem Hunt,Player,0,1,22,2017,3,86,RB,Toledo,KAN
PL611,James Conner,Player,0,1,22,2017,3,105,RB,Pittsburgh,PIT
PL625,Tarik Cohen,Player,1,1,22,2017,4,119,RB,North Carolina A&T,CHI
PL762,Ezekiel Elliott,Player,1,2,21,2016,1,4,RB,Ohio St.,DAL
PL908,Jordan Howard,Player,0,1,21,2016,5,150,RB,Indiana,CHI
PL1019,Todd Gurley,Player,2,3,21,2015,1,10,RB,Georgia,STL
PL1024,Melvin Gordon,Player,0,2,22,2015,1,15,RB,Wisconsin,SDG
PL1095,David Johnson,Player,1,1,23,2015,3,86,RB,Northern Iowa,ARI
PL1158,Jay Ajayi,Player,0,1,22,2015,5,149,RB,Boise St.,MIA
PL1367,Devonta Freeman,Player,0,2,22,2014,4,103,RB,Florida St.,ATL
PL1568,Le'Veon Bell,Player,2,3,21,2013,2,48,RB,Michigan St.,PIT
PL1581,Eddie Lacy,Player,0,1,23,2013,2,61,RB,Alabama,GNB
PL1650,Kyle Juszczyk,Player,0,3,22,2013,4,130,RB,Harvard,BAL
PL1701,Latavius Murray,Player,0,1,23,2013,6,181,RB,Central Florida,OAK
PL1803,Doug Martin,Player,1,2,23,2012,1,31,RB,Boise St.,TAM
PL1867,Lamar Miller,Player,0,1,21,2012,4,97,RB,Miami (FL),MIA
PL1940,Alfred Morris,Player,0,2,23,2012,6,173,RB,Florida Atlantic,WAS
PL2046,Mark Ingram,Player,0,2,21,2011,1,28,RB,Alabama,NOR
PL2089,DeMarco Murray,Player,1,3,23,2011,3,71,RB,Oklahoma,DAL
PL2154,Anthony Sherman,Player,0,1,22,2011,5,136,RB,Connecticut,ARI
PL2280,C.J. Spiller,Player,0,1,23,2010,1,9,RB,Clemson,BUF
PL2283,Ryan Mathews,Player,0,1,22,2010,1,12,RB,Fresno St.,SDG
PL2579,LeSean McCoy,Player,2,6,21,2009,2,53,RB,Pittsburgh,PHI
PL2711,Cedric Peerman,Player,0,1,22,2009,6,185,RB,Virginia,BAL
PL2795,Jonathan Stewart,Player,0,1,21,2008,1,13,RB,Oregon,CAR
PL2806,Chris Johnson,Player,1,3,22,2008,1,24,RB,East Carolina,TEN
PL2826,Matt Forte,Player,0,2,22,2008,2,44,RB,Tulane,CHI
PL2837,Ray Rice,Player,0,3,21,2008,2,55,RB,Rutgers,BAL
PL2855,Jamaal Charles,Player,2,4,21,2008,3,73,RB,Texas,KAN
PL3015,Justin Forsett,Player,0,1,22,2008,7,233,RB,California,SEA
PL3041,Adrian Peterson,Player,4,7,22,2007,1,7,RB,Oklahoma,MIN
PL3046,Marshawn Lynch,Player,1,5,21,2007,1,12,RB,California,BUF
PL3171,Le'Ron McClain,Player,1,2,22,2007,4,137,RB,Alabama,BAL
PL3316,DeAngelo Williams,Player,0,1,23,2006,1,27,RB,Memphis,CAR
PL3319,Joseph Addai,Player,0,1,23,2006,1,30,RB,LSU,IND
PL3349,Maurice Jones-Drew,Player,1,3,21,2006,2,60,RB,UCLA,JAX
PL3406,Leon Washington,Player,1,2,24,2006,4,117,RB,Florida St.,NYJ
PL3546,Ronnie Brown,Player,0,1,23,2005,1,2,RB,Auburn,MIA
PL3609,Frank Gore,Player,0,5,22,2005,3,65,RB,Miami (FL),SFO
PL3653,Marion Barber,Player,0,1,22,2005,4,109,RB,Minnesota,DAL
PL3674,Darren Sproles,Player,0,3,22,2005,4,130,RB,Kansas St.,SDG
PL3823,Steven Jackson,Player,0,3,21,2004,1,24,RB,Oregon St.,STL
PL3953,Michael Turner,Player,1,2,22,2004,5,154,RB,Northern Illinois,SDG
PL4077,Willis McGahee,Player,0,2,21,2003,1,23,RB,Miami (FL),BUF
PL4081,Larry Johnson,Player,1,2,23,2003,1,27,RB,Penn St.,KAN
PL4367,Clinton Portis,Player,0,2,21,2002,2,51,RB,Miami (FL),DEN
PL4407,Brian Westbrook,Player,1,2,23,2002,3,91,RB,Villanova,PHI
PL4582,LaDainian Tomlinson HOF,Player,3,5,22,2001,1,5,RB,TCU,SDG
PL4600,Deuce McAllister,Player,0,2,22,2001,1,23,RB,Mississippi,NOR
PL4604,Michael Bennett,Player,0,1,23,2001,1,27,RB,Wisconsin,MIN
PL4635,Travis Henry,Player,0,1,22,2001,2,58,RB,Tennessee,BUF
PL4677,Rudi Johnson,Player,0,1,21,2001,4,100,RB,Auburn,CIN
PL4828,Jamal Lewis,Player,1,1,21,2000,1,5,RB,Tennessee,BAL
PL4830,Thomas Jones,Player,0,1,22,2000,1,7,RB,Virginia,ARI
PL4842,Shaun Alexander,Player,1,3,23,2000,1,19,RB,Alabama,SEA
PL5081,Edgerrin James,Player,1,4,21,1999,1,4,RB,Miami (FL),IND
PL5082,Ricky Williams,Player,1,1,22,1999,1,5,RB,Texas,NOR
PL5338,Fred Taylor,Player,0,1,22,1998,1,9,RB,Florida,JAX
PL5405,Ahman Green,Player,0,4,21,1998,3,76,RB,Nebraska,SEA
PL5582,Warrick Dunn,Player,0,3,22,1997,1,12,RB,Florida St.,TAM
PL5606,Tiki Barber,Player,1,3,22,1997,2,36,RB,Virginia,NYG
PL5613,Corey Dillon,Player,0,4,22,1997,2,43,RB,Washington,CIN
PL5824,Eddie George,Player,1,4,22,1996,1,14,RB,Ohio St.,HOU
PL5845,Mike Alstott,Player,3,6,22,1996,2,35,RB,Purdue,TAM
PL5875,Detron Smith,Player,0,1,22,1996,3,65,RB,Texas A&M,DEN
PL5912,Stephen Davis,Player,0,3,22,1996,4,102,RB,Auburn,WAS
PL6137,Curtis Martin HOF,Player,1,5,22,1995,3,74,RB,Pittsburgh,NWE
PL6233,Travis Jervey,Player,0,1,23,1995,5,170,RB,The Citadel,GNB
PL6259,Terrell Davis HOF,Player,3,3,22,1995,6,196,RB,Georgia,DEN
PL6313,Marshall Faulk HOF,Player,3,7,21,1994,1,2,RB,San Diego St.,IND
PL6353,Charlie Garner,Player,0,1,22,1994,2,42,RB,Tennessee,PHI
PL6460,Dorsey Levens,Player,0,1,24,1994,5,149,RB,Georgia Tech,GNB
PL6511,Jamal Anderson,Player,1,1,21,1994,7,201,RB,Utah,ATL
PL6535,Garrison Hearst,Player,0,2,22,1993,1,3,RB,Georgia,PHO
PL6542,Jerome Bettis HOF,Player,2,6,21,1993,1,10,RB,Notre Dame,RAM
PL6553,Robert Smith,Player,0,2,21,1993,1,21,RB,Ohio St.,MIN
PL6573,Natrone Means,Player,0,1,21,1993,2,41,RB,North Carolina,SDG
PL6575,Glyn Milburn,Player,1,2,22,1993,2,43,RB,Stanford,DEN
PL6905,Michael Bates,Player,1,5,22,1992,6,150,RB,Arizona,SEA
PL7136,Ricky Watters,Player,0,5,22,1991,2,45,RB,Notre Dame,SFO
PL7245,Fred McAfee,Player,0,1,23,1991,6,154,RB,Mississippi Col.,NOR
PL7440,Emmitt Smith HOF,Player,4,8,21,1990,1,17,RB,Florida,DAL
PL7447,Rodney Hampton,Player,0,2,21,1990,1,24,RB,Georgia,NYG
PL7461,Harold Green,Player,0,1,22,1990,2,38,RB,South Carolina,CIN
PL7468,Leroy Hoard,Player,0,1,22,1990,2,45,RB,Michigan,CLE
PL7512,Chris Warren,Player,0,3,22,1990,4,89,RB,Ferrum,SEA
PL7551,Barry Foster,Player,1,2,21,1990,5,128,RB,Arkansas,PIT
PL7553,Brian Mitchell,Player,1,1,22,1990,5,130,RB,Louisiana,WAS
PL7592,Johnny Johnson,Player,0,1,22,1990,7,169,RB,San Jose St.,PHO
PL7651,Johnny Bailey,Player,0,1,23,1990,9,228,RB,Texas A&M-Kingsville,CHI
PL7664,Terry Allen,Player,0,1,22,1990,9,241,RB,Clemson,MIN
PL7757,Barry Sanders HOF,Player,6,10,21,1989,1,3,RB,Oklahoma St.,DET
PL7767,Eric Metcalf,Player,2,3,21,1989,1,13,RB,Texas,CLE
PL7793,Daryl Johnston,Player,0,2,23,1989,2,39,RB,Syracuse,DAL
PL7886,Dave Meggett,Player,0,2,23,1989,5,132,RB,Towson,NYG
PL7937,Marion Butts,Player,0,2,23,1989,7,183,RB,Florida St.,SDG
PL8103,Gaston Green,Player,0,1,22,1988,1,14,RB,UCLA,RAM
PL8106,John Stephens,Player,0,1,22,1988,1,17,RB,NW State (LA),NWE
PL8111,Lorenzo White,Player,0,1,22,1988,1,22,RB,Michigan St.,HOU
PL8113,Craig Heyward,Player,0,1,21,1988,1,24,RB,Pittsburgh,NOR
PL8129,Thurman Thomas HOF,Player,2,5,22,1988,2,40,RB,Oklahoma St.,BUF
PL8425,Brent Fullwood,Player,0,1,23,1987,1,4,RB,Auburn,GNB
PL8456,Christian Okoye,Player,1,2,26,1987,2,35,RB,Azusa Pacific,KAN
PL8756,Bo Jackson,Player,0,1,23,1986,1,1,RB,Auburn,TAM
PL8765,Keith Byars,Player,0,1,22,1986,1,10,RB,Ohio St.,PHI
PL8771,Ronnie Harmon,Player,0,1,22,1986,1,16,RB,Iowa,BUF
PL8782,Neal Anderson,Player,0,4,22,1986,1,27,RB,Florida,CHI
PL8786,Dalton Hilliard,Player,0,1,22,1986,2,31,RB,LSU,NOR
PL8812,Rueben Mayes,Player,0,2,23,1986,3,57,RB,Washington St.,NOR
PL8881,Bobby Joe Edmonds,Player,1,1,21,1986,5,126,RB,Arkansas,SEA
PL9009,Vai Sikahema,Player,1,2,24,1986,10,254,RB,BYU,STL
PL9192,Ron Wolfley,Player,0,4,22,1985,4,104,RB,West Virginia,STL
PL9202,Herschel Walker,Player,0,2,23,1985,5,114,RB,Georgia,DAL
PL9449,Greg Bell,Player,0,1,22,1984,1,26,RB,Notre Dame,BUF
PL9703,Earnest Byner,Player,0,2,21,1984,10,280,RB,East Carolina,CLE
PL9761,Eric Dickerson HOF,Player,5,6,23,1983,1,2,RB,SMU,RAM
PL9762,Curt Warner,Player,0,3,22,1983,1,3,RB,Penn St.,SEA
PL9779,Gary Anderson,Player,0,1,22,1983,1,20,RB,Arkansas,SDG
PL9808,Roger Craig,Player,1,4,23,1983,2,49,RB,Nebraska,SFO
PL9946,Craig James,Player,0,1,22,1983,7,187,RB,SMU,NWE
PL9961,Earnest Jackson,Player,0,2,23,1983,8,202,RB,Texas A&M,SDG
PL10102,Gerald Riggs,Player,0,3,21,1982,1,9,RB,Arizona St.,ATL
PL10103,Marcus Allen HOF,Player,2,6,22,1982,1,10,RB,USC,RAI
PL10138,Joe Morris,Player,1,2,21,1982,2,45,RB,Syracuse,NYG
PL10224,Sammy Winder,Player,0,2,23,1982,5,131,RB,Southern Miss,DEN
PL10427,George Rogers,Player,1,2,22,1981,1,1,RB,South Carolina,NOR
PL10429,Freeman McNeil,Player,1,3,22,1981,1,3,RB,UCLA,NYJ
PL10450,James Brooks,Player,0,4,22,1981,1,24,RB,Auburn,SDG
PL10460,James Wilder,Player,0,1,23,1981,2,34,RB,Missouri,TAM
PL10467,Joe Delaney,Player,0,1,22,1981,2,41,RB,NW State (LA),KAN
PL10473,Tony Collins,Player,0,1,22,1981,2,47,RB,East Carolina,NWE
PL10482,Andra Franklin,Player,0,1,22,1981,2,56,RB,Nebraska,MIA
PL10759,Billy Sims,Player,0,3,24,1980,1,1,RB,Oklahoma,DET
PL10785,Charles White,Player,1,1,22,1980,1,27,RB,USC,CLE
PL10787,Joe Cribbs,Player,0,3,22,1980,2,29,RB,Auburn,BUF
PL11099,Ottis Anderson,Player,1,2,22,1979,1,8,RB,Miami (FL),STL
PL11152,Tony Nathan,Player,1,0,22,1979,3,61,RB,Alabama,MIA
PL11163,Kenny King,Player,0,1,22,1979,3,72,RB,Oklahoma,HOU
PL11170,William Andrews,Player,0,4,23,1979,3,79,RB,Auburn,ATL
PL11420,Earl Campbell HOF,Player,3,5,23,1978,1,1,RB,Texas,HOU
PL11578,Tony Green,Player,0,1,21,1978,6,159,RB,Florida,WAS
PL11634,Mosi Tatupu,Player,0,1,23,1978,8,215,RB,USC,NWE
PL11754,Tony Dorsett HOF,Player,1,4,23,1977,1,2,RB,Pittsburgh,DAL
PL11801,Pete Johnson,Player,0,1,23,1977,2,49,RB,Ohio St.,CIN
