Source,Target
CG14,PL20
PL20,NFL11
CG13,PL26
PL26,NFL3
CG31,PL46
PL46,NFL23
CG37,PL59
PL59,NFL22
CG20,PL60
PL60,NFL30
CG39,PL62
PL62,NFL28
CG10,PL80
PL80,NFL7
CG57,PL97
PL97,NFL6
CG6,PL98
PL98,NFL4
CG23,PL104
PL104,NFL27
CG49,PL108
PL108,NFL25
CG7,PL115
PL115,NFL17
CG63,PL118
PL118,NFL26
CG66,PL131
PL131,NFL23
CG2,PL138
PL138,NFL0
CG54,PL143
PL143,NFL25
CG76,PL176
PL176,NFL27
CG80,PL190
PL190,NFL16
CG32,PL212
PL212,NFL29
CG33,PL242
PL242,NFL30
CG2,PL263
PL263,NFL12
CG11,PL269
PL269,NFL22
CG102,PL280
PL280,NFL9
CG64,PL306
PL306,NFL10
CG35,PL320
PL320,NFL20
CG110,PL334
PL334,NFL7
CG2,PL345
PL345,NFL6
CG115,PL347
PL347,NFL1
CG33,PL361
PL361,NFL14
CG68,PL369
PL369,NFL4
CG58,PL371
PL371,NFL22
CG32,PL376
PL376,NFL28
CG61,PL398
PL398,NFL23
CG33,PL400
PL400,NFL9
CG46,PL416
PL416,NFL27
CG23,PL436
PL436,NFL1
CG70,PL442
PL442,NFL21
CG131,PL452
PL452,NFL13
CG4,PL512
PL512,NFL2
CG1,PL521
PL521,NFL25
CG9,PL531
PL531,NFL26
CG20,PL542
PL542,NFL0
CG23,PL545
PL545,NFL2
CG31,PL548
PL548,NFL27
CG32,PL556
PL556,NFL4
CG128,PL562
PL562,NFL3
CG12,PL567
PL567,NFL11
CG10,PL597
PL597,NFL30
CG9,PL601
PL601,NFL23
CG78,PL617
PL617,NFL23
CG2,PL618
PL618,NFL31
CG63,PL619
PL619,NFL22
CG49,PL629
PL629,NFL14
CG7,PL657
PL657,NFL22
CG153,PL675
PL675,NFL20
CG132,PL690
PL690,NFL19
CG94,PL693
PL693,NFL23
CG51,PL697
PL697,NFL29
CG55,PL714
PL714,NFL0
CG54,PL723
PL723,NFL28
CG15,PL726
PL726,NFL3
CG103,PL735
PL735,NFL14
CG58,PL772
PL772,NFL3
CG23,PL775
PL775,NFL13
CG3,PL815
PL815,NFL25
CG1,PL819
PL819,NFL27
CG141,PL822
PL822,NFL17
CG59,PL829
PL829,NFL5
CG10,PL856
PL856,NFL18
CG169,PL869
PL869,NFL7
CG63,PL882
PL882,NFL31
CG18,PL887
PL887,NFL26
CG58,PL917
PL917,NFL20
CG174,PL925
PL925,NFL0
CG178,PL942
PL942,NFL31
CG33,PL961
PL961,NFL12
CG26,PL968
PL968,NFL29
CG91,PL975
PL975,NFL18
CG4,PL989
PL989,NFL19
CG3,PL1000
PL1000,NFL16
CG86,PL1001
PL1001,NFL10
CG21,PL1039
PL1039,NFL11
CG2,PL1042
PL1042,NFL5
CG167,PL1055
PL1055,NFL1
CG35,PL1073
PL1073,NFL24
CG103,PL1113
PL1113,NFL6
CG36,PL1118
PL1118,NFL25
CG73,PL1124
PL1124,NFL26
CG33,PL1151
PL1151,NFL31
CG70,PL1153
PL1153,NFL5
CG69,PL1159
PL1159,NFL12
CG102,PL1189
PL1189,NFL14
CG75,PL1205
PL1205,NFL10
CG103,PL1247
PL1247,NFL9
