ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL20,Darnell Savage,Player,0,0,22,1,21,S
PL26,Johnathan Abram,Player,0,0,22,1,27,S
PL46,Marquise Blair,Player,0,0,22,2,47,S
PL59,Nasir Adderley,Player,0,0,22,2,60,S
PL60,Taylor Rapp,Player,0,0,21,2,61,S
PL62,Juan Thornhill,Player,0,0,23,2,63,S
PL80,Will Harris,Player,0,0,23,3,81,S
PL97,Quincy Williams,Player,0,0,23,3,98,S
PL98,Mike Edwards,Player,0,0,23,3,99,S
PL104,Chauncey Gardner-Johnson,Player,0,0,21,4,105,S
PL108,Khari Willis,Player,0,0,23,4,109,S
PL115,Amani Hooker,Player,0,0,21,4,116,S
PL118,Sheldrick Redwine,Player,0,0,22,4,119,S
PL131,Ugochukwu Amadi,Player,0,0,22,4,132,S
PL138,Deionte Thompson,Player,0,0,22,5,139,S
PL143,Marvell Tell,Player,0,0,23,5,144,S
PL176,Saquan Hampton,Player,0,0,23,6,177,S
PL190,Marcus Epps,Player,0,0,23,6,191,S
PL212,Donovan Wilson,Player,0,0,22,6,213,S
PL242,Nick Scott,Player,0,0,24,7,243,S
PL263,Minkah Fitzpatrick,Player,0,0,21,1,11,S
PL269,Derwin James,Player,1,1,22,1,17,S
PL280,Terrell Edmunds,Player,0,0,21,1,28,S
PL306,Jessie Bates,Player,0,0,21,2,54,S
PL320,Justin Reid,Player,0,0,21,3,68,S
PL334,Tracy Walker,Player,0,0,23,3,82,S
PL345,Ronnie Harrison,Player,0,0,21,3,93,S
PL347,Tarvarius Moore,Player,0,0,22,3,95,S
PL361,Troy Apke,Player,0,0,23,4,109,S
PL369,Jordan Whitehead,Player,0,0,21,4,117,S
PL371,Kyzir White,Player,0,0,22,4,119,S
PL376,Armani Watts,Player,0,0,22,4,124,S
PL398,Tre Flowers,Player,0,0,23,5,146,S
PL400,Marcus Allen,Player,0,0,22,5,148,S
PL416,Natrell Jamerson,Player,0,0,22,5,164,S
PL436,Marcell Harris,Player,0,0,24,6,184,S
PL442,DeShon Elliott,Player,0,0,21,6,190,S
PL452,Foyesade Oluokun,Player,0,0,23,6,200,S
PL512,Jamal Adams,Player,0,1,21,1,6,S
PL521,Malik Hooker,Player,0,0,21,1,15,S
PL531,Jabrill Peppers,Player,0,0,21,1,25,S
PL542,Budda Baker,Player,1,1,21,2,36,S
PL545,Marcus Maye,Player,0,0,24,2,39,S
PL548,Marcus Williams,Player,0,0,20,2,42,S
PL556,Justin Evans,Player,0,0,22,2,50,S
PL562,Obi Melifonwu,Player,0,0,23,2,56,S
PL567,Josh Jones,Player,0,0,22,2,61,S
PL597,John Johnson,Player,0,0,21,3,91,S
PL601,Delano Hill,Player,0,0,21,3,95,S
PL617,Tedric Thompson,Player,0,0,22,4,111,S
PL618,Eddie Jackson,Player,1,1,24,4,112,S
PL619,Rayshawn Jenkins,Player,0,0,23,4,113,S
PL629,Montae Nicholson,Player,0,0,21,4,123,S
PL657,Desmond King,Player,1,0,22,5,151,S
PL675,Treston Decoud,Player,0,0,24,5,169,S
PL690,Nathan Gerry,Player,0,0,22,5,184,S
PL693,Michael Tyson,Player,0,0,24,6,187,S
PL697,Xavier Woods,Player,0,0,22,6,191,S
PL714,Rudy Ford,Player,0,0,22,6,208,S
PL723,Leon McQuay,Player,0,0,22,6,218,S
PL726,Shalom Luani,Player,0,0,23,7,221,S
PL735,Josh Harvey-Clemons,Player,0,0,23,7,230,S
PL772,Karl Joseph,Player,0,0,22,1,14,S
PL775,Keanu Neal,Player,0,1,21,1,17,S
PL815,T.J. Green,Player,0,0,21,2,57,S
PL819,Vonn Bell,Player,0,0,21,2,61,S
PL822,Kevin Byard,Player,1,1,23,3,64,S
PL829,Darian Thompson,Player,0,0,22,3,71,S
PL856,Justin Simmons,Player,0,0,22,3,98,S
PL869,Miles Killebrew,Player,0,0,23,4,111,S
PL882,Deon Bush,Player,0,0,23,4,124,S
PL887,Derrick Kindred,Player,0,0,22,4,129,S
PL917,K.J. Dillon,Player,0,0,22,5,159,S
PL925,Marqui Christian,Player,0,0,21,5,167,S
PL942,DeAndre Houston-Carson,Player,0,0,23,6,185,S
PL961,Jordan Lucas,Player,0,0,23,6,204,S
PL968,Kavon Frazier,Player,0,0,22,6,212,S
PL975,Will Parks,Player,0,0,22,6,219,S
PL989,Jalen Mills,Player,0,0,22,7,233,S
PL1000,Jayron Kearse,Player,0,0,22,7,244,S
PL1001,Clayton Fejedelem,Player,0,0,23,7,245,S
PL1039,Damarious Randall,Player,0,0,23,1,30,S
PL1042,Landon Collins,Player,1,3,21,2,33,S
PL1055,Jaquiski Tartt,Player,0,0,23,2,46,S
PL1073,Jordan Richards,Player,0,0,22,2,64,S
PL1113,James Sample,Player,0,0,23,4,104,S
PL1118,Clayton Geathers,Player,0,0,23,4,109,S
PL1124,Ibraheim Campbell,Player,0,0,23,4,115,S
PL1151,Adrian Amos,Player,0,0,22,5,142,S
PL1153,Mykkele Thompson,Player,0,0,22,5,144,S
PL1159,Cedric Thompson,Player,0,0,22,5,150,S
PL1189,Kyshoen Jarrett,Player,0,0,22,6,181,S
PL1205,Derron Smith,Player,0,0,23,6,197,S
PL1247,Gerod Holliman,Player,0,0,21,7,239,S
CG14,Maryland,College,0,0,0,0,0,0
CG13,Mississippi St.,College,0,0,0,0,0,0
CG31,Utah,College,0,0,0,0,0,0
CG37,Delaware,College,0,0,0,0,0,0
CG20,Washington,College,0,0,0,0,0,0
CG39,Virginia,College,0,0,0,0,0,0
CG10,Boston Col.,College,0,0,0,0,0,0
CG57,Murray St.,College,0,0,0,0,0,0
CG6,Kentucky,College,0,0,0,0,0,0
CG23,Florida,College,0,0,0,0,0,0
CG49,Michigan St.,College,0,0,0,0,0,0
CG7,Iowa,College,0,0,0,0,0,0
CG63,Miami (FL),College,0,0,0,0,0,0
CG66,Oregon,College,0,0,0,0,0,0
CG2,Alabama,College,0,0,0,0,0,0
CG54,USC,College,0,0,0,0,0,0
CG76,Rutgers,College,0,0,0,0,0,0
CG80,Wyoming,College,0,0,0,0,0,0
CG32,Texas A&M,College,0,0,0,0,0,0
CG33,Penn St.,College,0,0,0,0,0,0
CG11,Florida St.,College,0,0,0,0,0,0
CG102,Virginia Tech,College,0,0,0,0,0,0
CG64,Wake Forest,College,0,0,0,0,0,0
CG35,Stanford,College,0,0,0,0,0,0
CG110,Louisiana,College,0,0,0,0,0,0
CG115,Southern Miss,College,0,0,0,0,0,0
CG68,Pittsburgh,College,0,0,0,0,0,0
CG58,West Virginia,College,0,0,0,0,0,0
CG61,Oklahoma St.,College,0,0,0,0,0,0
CG46,Wisconsin,College,0,0,0,0,0,0
CG70,Texas,College,0,0,0,0,0,0
CG131,Yale,College,0,0,0,0,0,0
CG4,LSU,College,0,0,0,0,0,0
CG1,Ohio St.,College,0,0,0,0,0,0
CG9,Michigan,College,0,0,0,0,0,0
CG128,Connecticut,College,0,0,0,0,0,0
CG12,North Carolina St.,College,0,0,0,0,0,0
CG78,Colorado,College,0,0,0,0,0,0
CG153,Oregon St.,College,0,0,0,0,0,0
CG132,Nebraska,College,0,0,0,0,0,0
CG94,Cincinnati,College,0,0,0,0,0,0
CG51,Louisiana Tech,College,0,0,0,0,0,0
CG55,Auburn,College,0,0,0,0,0,0
CG15,Washington St.,College,0,0,0,0,0,0
CG103,Louisville,College,0,0,0,0,0,0
CG3,Clemson,College,0,0,0,0,0,0
CG141,Middle Tenn. St.,College,0,0,0,0,0,0
CG59,Boise St.,College,0,0,0,0,0,0
CG169,Southern Utah,College,0,0,0,0,0,0
CG18,TCU,College,0,0,0,0,0,0
CG174,Midwestern St.,College,0,0,0,0,0,0
CG178,William & Mary,College,0,0,0,0,0,0
CG26,Central Michigan,College,0,0,0,0,0,0
CG91,Arizona,College,0,0,0,0,0,0
CG86,Illinois,College,0,0,0,0,0,0
CG21,Arizona St.,College,0,0,0,0,0,0
CG167,Samford,College,0,0,0,0,0,0
CG36,Central Florida,College,0,0,0,0,0,0
CG73,Northwestern,College,0,0,0,0,0,0
CG69,Minnesota,College,0,0,0,0,0,0
CG75,Fresno St.,College,0,0,0,0,0,0
NFL11,GNB,NFL Team,0,0,0,0,0,0
NFL3,OAK,NFL Team,0,0,0,0,0,0
NFL23,SEA,NFL Team,0,0,0,0,0,0
NFL22,LAC,NFL Team,0,0,0,0,0,0
NFL30,LAR,NFL Team,0,0,0,0,0,0
NFL28,KAN,NFL Team,0,0,0,0,0,0
NFL7,DET,NFL Team,0,0,0,0,0,0
NFL6,JAX,NFL Team,0,0,0,0,0,0
NFL4,TAM,NFL Team,0,0,0,0,0,0
NFL27,NOR,NFL Team,0,0,0,0,0,0
NFL25,IND,NFL Team,0,0,0,0,0,0
NFL17,TEN,NFL Team,0,0,0,0,0,0
NFL26,CLE,NFL Team,0,0,0,0,0,0
NFL0,ARI,NFL Team,0,0,0,0,0,0
NFL16,MIN,NFL Team,0,0,0,0,0,0
NFL29,DAL,NFL Team,0,0,0,0,0,0
NFL12,MIA,NFL Team,0,0,0,0,0,0
NFL9,PIT,NFL Team,0,0,0,0,0,0
NFL10,CIN,NFL Team,0,0,0,0,0,0
NFL20,HOU,NFL Team,0,0,0,0,0,0
NFL1,SFO,NFL Team,0,0,0,0,0,0
NFL14,WAS,NFL Team,0,0,0,0,0,0
NFL21,BAL,NFL Team,0,0,0,0,0,0
NFL13,ATL,NFL Team,0,0,0,0,0,0
NFL2,NYJ,NFL Team,0,0,0,0,0,0
NFL31,CHI,NFL Team,0,0,0,0,0,0
NFL19,PHI,NFL Team,0,0,0,0,0,0
NFL5,NYG,NFL Team,0,0,0,0,0,0
NFL18,DEN,NFL Team,0,0,0,0,0,0
NFL24,NWE,NFL Team,0,0,0,0,0,0
