ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL269,Derwin James,Player,1,1,22,1,17,S
PL512,Jamal Adams,Player,0,1,21,1,6,S
PL542,Budda Baker,Player,1,1,21,2,36,S
PL618,Eddie Jackson,Player,1,1,24,4,112,S
PL657,Desmond King,Player,1,0,22,5,151,S
PL775,Keanu Neal,Player,0,1,21,1,17,S
PL822,Kevin Byard,Player,1,1,23,3,64,S
PL1042,Landon Collins,Player,1,3,21,2,33,S
CG11,Florida St.,College,0,0,0,0,0,0
CG4,LSU,College,0,0,0,0,0,0
CG20,Washington,College,0,0,0,0,0,0
CG2,Alabama,College,0,0,0,0,0,0
CG7,Iowa,College,0,0,0,0,0,0
CG23,Florida,College,0,0,0,0,0,0
CG141,Middle Tenn. St.,College,0,0,0,0,0,0
NFL22,LAC,NFL Team,0,0,0,0,0,0
NFL2,NYJ,NFL Team,0,0,0,0,0,0
NFL0,ARI,NFL Team,0,0,0,0,0,0
NFL31,CHI,NFL Team,0,0,0,0,0,0
NFL13,ATL,NFL Team,0,0,0,0,0,0
NFL17,TEN,NFL Team,0,0,0,0,0,0
NFL5,NYG,NFL Team,0,0,0,0,0,0
