Source,Target
CG7,PL7
PL7,NFL7
CG7,PL19
PL19,NFL18
CG2,PL49
PL49,NFL16
CG20,PL51
PL51,NFL10
CG42,PL68
PL68,NFL6
CG32,PL74
PL74,NFL11
CG52,PL85
PL85,NFL20
CG25,PL95
PL95,NFL8
CG58,PL120
PL120,NFL2
CG4,PL136
PL136,NFL3
CG9,PL140
PL140,NFL9
CG35,PL175
PL175,NFL1
CG19,PL223
PL223,NFL7
CG10,PL227
PL227,NFL8
CG17,PL230
PL230,NFL27
CG100,PL252
PL252,NFL0
CG24,PL277
PL277,NFL21
CG33,PL294
PL294,NFL12
CG88,PL301
PL301,NFL19
CG0,PL338
PL338,NFL21
CG36,PL350
PL350,NFL20
CG65,PL353
PL353,NFL15
CG63,PL359
PL359,NFL2
CG20,PL372
PL372,NFL23
CG17,PL375
PL375,NFL12
CG35,PL389
PL389,NFL29
CG46,PL408
PL408,NFL18
CG26,PL409
PL409,NFL16
CG12,PL417
PL417,NFL9
CG13,PL463
PL463,NFL20
CG11,PL500
PL500,NFL24
CG2,PL525
PL525,NFL4
CG25,PL529
PL529,NFL5
CG63,PL535
PL535,NFL26
CG144,PL550
PL550,NFL30
CG145,PL551
PL551,NFL31
CG136,PL606
PL606,NFL17
CG40,PL633
PL633,NFL7
CG9,PL651
PL651,NFL18
CG7,PL652
PL652,NFL1
CG3,PL656
PL656,NFL2
CG62,PL660
PL660,NFL14
CG157,PL680
PL680,NFL13
CG102,PL707
PL707,NFL16
CG165,PL756
PL756,NFL10
CG62,PL793
PL793,NFL22
CG35,PL839
PL839,NFL13
CG1,PL852
PL852,NFL23
CG117,PL868
PL868,NFL30
CG171,PL896
PL896,NFL26
CG106,PL935
PL935,NFL30
CG24,PL941
PL941,NFL5
CG101,PL945
PL945,NFL16
CG41,PL973
PL973,NFL29
CG100,PL987
PL987,NFL12
CG181,PL1008
PL1008,NFL15
CG9,PL1050
PL1050,NFL15
CG69,PL1064
PL1064,NFL21
CG63,PL1077
PL1077,NFL3
CG76,PL1094
PL1094,NFL10
CG1,PL1101
PL1101,NFL18
CG0,PL1126
PL1126,NFL1
CG187,PL1152
PL1152,NFL16
CG55,PL1166
PL1166,NFL10
CG33,PL1169
PL1169,NFL9
CG37,PL1179
PL1179,NFL21
CG125,PL1181
PL1181,NFL28
CG11,PL1202
PL1202,NFL8
CG13,PL1203
PL1203,NFL26
CG54,PL1206
PL1206,NFL26
CG62,PL1210
PL1210,NFL24
CG188,PL1221
PL1221,NFL11
CG17,PL1237
PL1237,NFL6
CG70,PL1254
PL1254,NFL29
CG24,PL1262
PL1262,NFL1
CG103,PL1264
PL1264,NFL0
CG74,PL1274
PL1274,NFL7
CG20,PL1302
PL1302,NFL4
CG99,PL1313
PL1313,NFL2
CG17,PL1316
PL1316,NFL0
CG7,PL1329
PL1329,NFL20
CG137,PL1362
PL1362,NFL11
CG97,PL1363
PL1363,NFL21
CG19,PL1419
PL1419,NFL12
CG65,PL1481
PL1481,NFL14
CG38,PL1494
PL1494,NFL9
CG17,PL1541
PL1541,NFL10
CG35,PL1555
PL1555,NFL19
CG52,PL1567
PL1567,NFL29
CG191,PL1575
PL1575,NFL1
CG94,PL1583
PL1583,NFL28
CG23,PL1605
PL1605,NFL14
CG49,PL1626
PL1626,NFL12
CG35,PL1653
PL1653,NFL13
CG191,PL1678
PL1678,NFL23
CG78,PL1692
PL1692,NFL3
CG111,PL1704
PL1704,NFL3
CG128,PL1721
PL1721,NFL20
CG2,PL1730
PL1730,NFL7
CG76,PL1738
PL1738,NFL0
CG62,PL1741
PL1741,NFL8
CG24,PL1772
PL1772,NFL25
CG35,PL1806
PL1806,NFL25
CG3,PL1836
PL1836,NFL25
CG28,PL1850
PL1850,NFL12
CG22,PL1880
PL1880,NFL31
CG19,PL1885
PL1885,NFL10
CG94,PL1896
PL1896,NFL5
CG107,PL1914
PL1914,NFL17
CG0,PL1953
PL1953,NFL29
CG73,PL1998
PL1998,NFL4
CG66,PL2005
PL2005,NFL9
CG2,PL2012
PL2012,NFL26
CG17,PL2061
PL2061,NFL16
CG46,PL2065
PL2065,NFL30
CG45,PL2087
PL2087,NFL0
CG54,PL2120
PL2120,NFL26
CG111,PL2122
PL2122,NFL4
CG208,PL2147
PL2147,NFL18
CG62,PL2159
PL2159,NFL11
CG111,PL2177
PL2177,NFL24
CG234,PL2192
PL2192,NFL12
CG63,PL2199
PL2199,NFL3
CG104,PL2222
PL2222,NFL18
CG74,PL2236
PL2236,NFL11
CG95,PL2256
PL2256,NFL4
CG0,PL2292
PL2292,NFL10
CG91,PL2313
PL2313,NFL24
CG66,PL2341
PL2341,NFL21
CG7,PL2364
PL2364,NFL28
CG63,PL2366
PL2366,NFL27
CG23,PL2384
PL2384,NFL24
CG47,PL2385
PL2385,NFL21
CG46,PL2389
PL2389,NFL20
CG239,PL2396
PL2396,NFL19
CG86,PL2403
PL2403,NFL30
CG33,PL2425
PL2425,NFL11
CG0,PL2433
PL2433,NFL25
CG91,PL2441
PL2441,NFL30
CG68,PL2453
PL2453,NFL1
CG54,PL2456
PL2456,NFL23
CG33,PL2485
PL2485,NFL16
CG35,PL2504
PL2504,NFL0
CG63,PL2506
PL2506,NFL22
CG198,PL2516
PL2516,NFL23
CG61,PL2546
PL2546,NFL7
CG74,PL2590
PL2590,NFL18
CG24,PL2615
PL2615,NFL17
CG28,PL2624
PL2624,NFL10
CG46,PL2626
PL2626,NFL5
CG115,PL2647
PL2647,NFL8
CG12,PL2648
PL2648,NFL20
CG143,PL2675
PL2675,NFL21
CG191,PL2678
PL2678,NFL20
CG23,PL2679
PL2679,NFL19
CG192,PL2687
PL2687,NFL12
CG251,PL2706
PL2706,NFL6
CG75,PL2710
PL2710,NFL1
CG7,PL2728
PL2728,NFL3
CG39,PL2734
PL2734,NFL29
CG183,PL2763
PL2763,NFL28
CG203,PL2767
PL2767,NFL9
CG137,PL2774
PL2774,NFL23
CG14,PL2781
PL2781,NFL7
CG123,PL2812
PL2812,NFL2
CG17,PL2820
PL2820,NFL23
CG54,PL2830
PL2830,NFL14
CG32,PL2843
PL2843,NFL29
CG111,PL2858
PL2858,NFL28
CG137,PL2867
PL2867,NFL17
CG70,PL2873
PL2873,NFL11
CG28,PL2893
PL2893,NFL26
CG6,PL2909
PL2909,NFL25
CG118,PL2914
PL2914,NFL8
CG103,PL2923
PL2923,NFL15
CG49,PL2940
PL2940,NFL31
CG39,PL2978
PL2978,NFL25
CG146,PL2989
PL2989,NFL10
CG4,PL3014
PL3014,NFL13
CG36,PL3021
