Source,Target
CG7,PL652
PL652,NFL1
CG35,PL839
PL839,NFL13
CG74,PL1274
PL1274,NFL7
CG17,PL1541
PL1541,NFL10
CG35,PL1555
PL1555,NFL19
CG94,PL1583
PL1583,NFL28
CG23,PL1605
PL1605,NFL14
CG17,PL2061
PL2061,NFL16
CG54,PL2120
PL2120,NFL26
CG208,PL2147
PL2147,NFL18
CG0,PL2292
PL2292,NFL10
CG91,PL2313
PL2313,NFL24
CG63,PL2366
PL2366,NFL27
CG24,PL2615
PL2615,NFL17
CG32,PL2843
PL2843,NFL29
CG103,PL2923
PL2923,NFL15
CG63,PL3065
PL3065,NFL31
CG21,PL3072
PL3072,NFL3
CG76,PL3277
PL3277,NFL11
CG14,PL3295
PL3295,NFL1
CG100,PL3317
PL3317,NFL6
CG46,PL3387
PL3387,NFL20
CG39,PL3574
PL3574,NFL9
CG63,PL3805
PL3805,NFL26
CG85,PL3880
PL3880,NFL14
CG7,PL4078
PL4078,NFL25
CG111,PL4123
PL4123,NFL29
CG63,PL4330
PL4330,NFL5
CG21,PL4608
PL4608,NFL21
CG74,PL4612
PL4612,NFL13
CG63,PL4837
PL4837,NFL11
CG21,PL5053
PL5053,NFL1
CG0,PL5377
PL5377,NFL14
CG137,PL5583
PL5583,NFL28
CG86,PL6111
PL6111,NFL25
CG139,PL6133
PL6133,NFL7
CG28,PL6285
PL6285,NFL18
CG14,PL6692
PL6692,NFL14
CG10,PL6912
PL6912,NFL11
CG68,PL6946
PL6946,NFL12
CG309,PL7215
PL7215,NFL24
CG199,PL7444
PL7444,NFL9
CG361,PL7615
PL7615,NFL18
CG25,PL7810
PL7810,NFL1
CG7,PL7817
PL7817,NFL24
CG0,PL8102
PL8102,NFL19
CG14,PL8162
PL8162,NFL12
CG391,PL8890
PL8890,NFL9
CG74,PL9103
PL9103,NFL28
CG17,PL9188
PL9188,NFL5
CG80,PL9246
PL9246,NFL30
CG87,PL10175
PL10175,NFL10
CG243,PL10272
PL10272,NFL16
CG54,PL10497
PL10497,NFL27
CG132,PL10765
PL10765,NFL13
CG28,PL11104
PL11104,NFL22
CG312,PL11121
PL11121,NFL10
CG391,PL11167
PL11167,NFL29
CG332,PL11243
PL11243,NFL16
CG2,PL11442
PL11442,NFL26
CG47,PL11475
PL11475,NFL29
CG33,PL11480
PL11480,NFL2
CG303,PL11822
PL11822,NFL20
CG294,PL12132
PL12132,NFL7
CG66,PL12586
PL12586,NFL24
CG17,PL13049
PL13049,NFL3
CG27,PL13113
PL13113,NFL13
