ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL7,T.J. Hockenson,Player,0,0,22,2019,1,8,TE,Iowa,DET
PL19,Noah Fant,Player,0,0,21,2019,1,20,TE,Iowa,DEN
PL49,Irv Smith Jr.,Player,0,0,21,2019,2,50,TE,Alabama,MIN
PL51,Drew Sample,Player,0,0,23,2019,2,52,TE,Washington,CIN
PL68,Josh Oliver,Player,0,0,22,2019,3,69,TE,San Jose St.,JAX
PL74,Jace Sternberger,Player,0,0,23,2019,3,75,TE,Texas A&M,GNB
PL85,Kahale Warring,Player,0,0,22,2019,3,86,TE,San Diego St.,HOU
PL95,Dawson Knox,Player,0,0,22,2019,3,96,TE,Mississippi,BUF
PL120,Trevon Wesco,Player,0,0,23,2019,4,121,TE,West Virginia,NYJ
PL136,Foster Moreau,Player,0,0,22,2019,4,137,TE,LSU,OAK
PL140,Zach Gentry,Player,0,0,22,2019,5,141,TE,Michigan,PIT
PL175,Kaden Smith,Player,0,0,22,2019,6,176,TE,Stanford,SFO
PL223,Isaac Nauta,Player,0,0,22,2019,7,224,TE,Georgia,DET
PL227,Tommy Sweeney,Player,0,0,24,2019,7,228,TE,Boston Col.,BUF
PL230,Alize Mack,Player,0,0,22,2019,7,231,TE,Notre Dame,NOR
PL252,Caleb Wilson,Player,0,0,23,2019,7,254,TE,UCLA,ARI
PL277,Hayden Hurst,Player,0,0,25,2018,1,25,TE,South Carolina,BAL
PL294,Mike Gesicki,Player,0,0,22,2018,2,42,TE,Penn St.,MIA
PL301,Dallas Goedert,Player,0,0,23,2018,2,49,TE,South Dakota St.,PHI
PL338,Mark Andrews,Player,0,0,22,2018,3,86,TE,Oklahoma,BAL
PL350,Jordan Akins,Player,0,0,26,2018,3,98,TE,Central Florida,HOU
PL353,Ian Thomas,Player,0,0,22,2018,4,101,TE,Indiana,CAR
PL359,Chris Herndon,Player,0,0,22,2018,4,107,TE,Miami (FL),NYJ
PL372,Will Dissly,Player,0,0,22,2018,4,120,TE,Washington,SEA
PL375,Durham Smythe,Player,0,0,22,2018,4,123,TE,Notre Dame,MIA
PL389,Dalton Schultz,Player,0,0,22,2018,4,137,TE,Stanford,DAL
PL408,Troy Fumagalli,Player,0,0,23,2018,5,156,TE,Wisconsin,DEN
PL409,Tyler Conklin,Player,0,0,23,2018,5,157,TE,Central Michigan,MIN
PL417,Jaylen Samuels,Player,0,0,22,2018,5,165,TE,North Carolina St.,PIT
PL463,Jordan Thomas,Player,0,0,22,2018,6,211,TE,Mississippi St.,HOU
PL500,Ryan Izzo,Player,0,0,22,2018,7,250,TE,Florida St.,NWE
PL525,O.J. Howard,Player,0,0,22,2017,1,19,TE,Alabama,TAM
PL529,Evan Engram,Player,0,0,23,2017,1,23,TE,Mississippi,NYG
PL535,David Njoku,Player,0,0,21,2017,1,29,TE,Miami (FL),CLE
PL550,Gerald Everett,Player,0,0,23,2017,2,44,TE,South Alabama,LAR
PL551,Adam Shaheen,Player,0,0,22,2017,2,45,TE,Ashland,CHI
PL606,Jonnu Smith,Player,0,0,22,2017,3,100,TE,Florida International,TEN
PL633,Michael Roberts,Player,0,0,23,2017,4,127,TE,Toledo,DET
PL651,Jake Butt,Player,0,0,22,2017,5,145,TE,Michigan,DEN
PL652,George Kittle,Player,0,1,23,2017,5,146,TE,Iowa,SFO
PL656,Jordan Leggett,Player,0,0,22,2017,5,150,TE,Clemson,NYJ
