ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL652,George Kittle,Player,0,1,23,5,146,TE
PL839,Austin Hooper,Player,0,1,21,3,81,TE
PL1274,Eric Ebron,Player,0,1,21,1,10,TE
PL1541,Tyler Eifert,Player,0,1,22,1,21,TE
PL1555,Zach Ertz,Player,0,2,22,2,35,TE
PL1583,Travis Kelce,Player,2,4,23,3,63,TE
PL1605,Jordan Reed,Player,0,1,23,3,85,TE
PL2061,Kyle Rudolph,Player,0,2,21,2,43,TE
PL2120,Jordan Cameron,Player,0,1,23,4,102,TE
PL2147,Julius Thomas,Player,0,2,23,4,129,TE
PL2292,Jermaine Gresham,Player,0,2,22,1,21,TE
PL2313,Rob Gronkowski,Player,4,5,21,2,42,TE
PL2366,Jimmy Graham,Player,1,5,23,3,95,TE
PL2615,Jared Cook,Player,0,1,22,3,89,TE
PL2843,Martellus Bennett,Player,0,1,21,2,61,TE
PL2923,Gary Barnidge,Player,0,1,22,5,141,TE
PL3065,Greg Olsen,Player,0,3,22,1,31,TE
PL3072,Zach Miller,Player,0,1,21,2,38,TE
PL3277,Clark Harris,Player,0,1,23,7,243,TE
PL3295,Vernon Davis,Player,0,2,22,1,6,TE
PL3317,Marcedes Lewis,Player,0,1,22,1,28,TE
PL3387,Owen Daniels,Player,0,2,23,4,98,TE
PL3574,Heath Miller,Player,0,2,22,1,30,TE
PL3805,Kellen Winslow,Player,0,1,21,1,6,TE
PL3880,Chris Cooley,Player,0,2,22,3,81,TE
PL4078,Dallas Clark,Player,1,1,24,1,24,TE
PL4123,Jason Witten,Player,2,11,21,3,69,TE
PL4330,Jeremy Shockey,Player,1,4,22,1,14,TE
PL4608,Todd Heap,Player,0,2,21,1,31,TE
PL4612,Alge Crumpler,Player,0,4,23,2,35,TE
PL4837,Bubba Franks,Player,0,3,22,1,14,TE
PL5053,Brian Jennings,Player,0,2,23,7,230,TE
PL5377,Stephen Alexander,Player,0,1,22,2,48,TE
PL5583,Tony Gonzalez HOF,Player,6,14,21,1,13,TE
PL6111,Ken Dilger,Player,0,1,24,2,48,TE
PL6133,David Sloan,Player,0,1,23,3,70,TE
PL6285,Byron Chamberlain,Player,0,1,23,7,222,TE
PL6692,Frank Wycheck,Player,0,3,21,6,160,TE
PL6912,Mark Chmura,Player,0,3,23,6,157,TE
PL6946,Dave Moore,Player,0,1,22,7,191,TE
PL7215,Ben Coates,Player,2,5,22,5,124,TE
PL7444,Eric Green,Player,0,2,23,1,21,TE
PL7615,Shannon Sharpe HOF,Player,4,8,22,7,192,TE
PL7810,Wesley Walls,Player,0,5,23,2,56,TE
PL7817,Marv Cook,Player,1,2,23,3,63,TE
PL8102,Keith Jackson,Player,3,5,23,1,13,TE
PL8162,Ferrell Edmunds,Player,0,2,23,3,73,TE
PL8890,Brent Jones,Player,0,4,23,5,135,TE
PL9103,Ethan Horton,Player,0,1,22,1,15,TE
PL9188,Mark Bavaro,Player,2,2,22,4,100,TE
PL9246,Jay Novacek,Player,1,5,22,6,158,TE
PL10175,Rodney Holman,Player,0,3,22,3,82,TE
PL10272,Steve Jordan,Player,0,6,21,7,179,TE
PL10497,Hoby Brenner,Player,0,1,22,3,71,TE
PL10765,Junior Miller,Player,0,2,22,1,7,TE
PL11104,Kellen Winslow HOF,Player,3,5,21,1,13,TE
PL11121,Dan Ross,Player,0,1,22,2,30,TE
PL11167,Doug Cosbie,Player,0,3,23,3,76,TE
PL11243,Joe Senser,Player,0,1,23,6,152,TE
PL11442,Ozzie Newsome HOF,Player,1,3,22,1,23,TE
PL11475,Todd Christensen,Player,2,5,22,2,56,TE
PL11480,Mickey Shuler,Player,0,2,22,3,61,TE
PL11822,Jimmie Giles,Player,0,4,22,3,70,TE
PL12132,David Hill,Player,0,2,22,2,46,TE
PL12586,Russ Francis,Player,0,3,22,1,16,TE
PL13049,Dave Casper HOF,Player,4,5,22,2,45,TE
PL13113,Henry Childs,Player,0,1,23,5,109,TE
CG7,Iowa,College,0,0,0,0,0,0
CG35,Stanford,College,0,0,0,0,0,0
CG74,North Carolina,College,0,0,0,0,0,0
CG17,Notre Dame,College,0,0,0,0,0,0
CG94,Cincinnati,College,0,0,0,0,0,0
CG23,Florida,College,0,0,0,0,0,0
CG54,USC,College,0,0,0,0,0,0
CG208,Portland St.,College,0,0,0,0,0,0
CG0,Oklahoma,College,0,0,0,0,0,0
CG91,Arizona,College,0,0,0,0,0,0
CG63,Miami (FL),College,0,0,0,0,0,0
CG24,South Carolina,College,0,0,0,0,0,0
CG32,Texas A&M,College,0,0,0,0,0,0
CG103,Louisville,College,0,0,0,0,0,0
CG21,Arizona St.,College,0,0,0,0,0,0
CG76,Rutgers,College,0,0,0,0,0,0
CG14,Maryland,College,0,0,0,0,0,0
CG100,UCLA,College,0,0,0,0,0,0
CG46,Wisconsin,College,0,0,0,0,0,0
CG39,Virginia,College,0,0,0,0,0,0
CG85,Utah St.,College,0,0,0,0,0,0
