Source,Target
CG0,PL24
PL24,NFL21
CG21,PL31
PL31,NFL24
CG24,PL35
PL35,NFL1
CG25,PL50
PL50,NFL17
CG19,PL55
PL55,NFL28
CG35,PL56
PL56,NFL19
CG1,PL58
PL58,NFL25
CG38,PL61
PL61,NFL0
CG25,PL63
PL63,NFL23
CG40,PL65
PL65,NFL9
CG41,PL66
PL66,NFL1
CG1,PL75
PL75,NFL14
CG17,PL92
PL92,NFL21
CG44,PL102
PL102,NFL0
CG58,PL119
PL119,NFL23
CG19,PL125
PL125,NFL31
CG3,PL148
PL148,NFL3
CG55,PL170
PL170,NFL5
CG75,PL173
PL173,NFL0
CG56,PL183
PL183,NFL7
CG78,PL186
PL186,NFL18
CG82,PL202
PL202,NFL13
CG12,PL205
PL205,NFL14
CG84,PL207
PL207,NFL4
CG29,PL235
PL235,NFL23
CG19,PL236
PL236,NFL15
CG66,PL238
PL238,NFL16
CG97,PL246
PL246,NFL16
CG14,PL276
PL276,NFL15
CG2,PL278
PL278,NFL13
CG107,PL292
PL292,NFL18
CG20,PL296
PL296,NFL1
CG32,PL299
PL299,NFL0
CG43,PL303
PL303,NFL31
CG61,PL312
PL312,NFL9
CG4,PL313
PL313,NFL6
CG97,PL333
PL333,NFL29
CG36,PL343
PL343,NFL27
CG99,PL355
PL355,NFL20
CG23,PL357
PL357,NFL26
CG33,PL365
PL365,NFL18
CG120,PL384
PL384,NFL21
CG28,PL385
PL385,NFL11
CG124,PL396
PL396,NFL4
CG127,PL411
PL411,NFL25
CG100,PL414
PL414,NFL21
CG112,PL426
PL426,NFL11
CG32,PL427
PL427,NFL26
CG3,PL437
PL437,NFL25
CG3,PL439
PL439,NFL8
CG99,PL443
PL443,NFL22
CG4,PL446
PL446,NFL13
CG130,PL448
PL448,NFL28
CG17,PL459
PL459,NFL11
CG59,PL460
PL460,NFL29
CG63,PL462
PL462,NFL24
CG19,PL476
PL476,NFL31
CG61,PL480
PL480,NFL3
CG141,PL490
PL490,NFL1
CG11,PL503
PL503,NFL10
CG74,PL505
PL505,NFL8
CG107,PL506
PL506,NFL14
CG113,PL511
PL511,NFL17
CG3,PL513
PL513,NFL22
CG20,PL515
PL515,NFL10
CG143,PL543
PL543,NFL8
CG1,PL546
PL546,NFL15
CG54,PL568
PL568,NFL9
CG147,PL575
PL575,NFL30
CG117,PL578
PL578,NFL17
CG2,PL585
PL585,NFL2
CG51,PL588
PL588,NFL18
CG33,PL590
PL590,NFL4
CG34,PL602
PL602,NFL7
CG150,PL604
PL604,NFL0
CG9,PL612
PL612,NFL23
CG0,PL616
PL616,NFL6
CG32,PL623
PL623,NFL30
CG74,PL624
PL624,NFL19
CG111,PL634
PL634,NFL10
CG74,PL639
PL639,NFL29
CG9,PL645
PL645,NFL28
CG137,PL647
PL647,NFL2
CG58,PL672
PL672,NFL19
CG112,PL676
PL676,NFL16
CG19,PL678
PL678,NFL18
CG123,PL681
PL681,NFL11
CG51,PL683
PL683,NFL1
CG161,PL715
PL715,NFL14
CG63,PL724
PL724,NFL16
CG163,PL731
PL731,NFL23
CG102,PL742
PL742,NFL12
CG1,PL744
PL744,NFL29
CG4,PL752
PL752,NFL11
CG41,PL773
PL773,NFL26
CG17,PL779
PL779,NFL20
CG18,PL780
PL780,NFL14
CG25,PL781
PL781,NFL16
CG0,PL798
PL798,NFL5
CG1,PL805
PL805,NFL27
CG68,PL813
PL813,NFL10
CG1,PL843
PL843,NFL20
CG76,PL844
PL844,NFL12
CG94,PL865
PL865,NFL21
CG19,PL870
PL870,NFL24
CG55,PL872
PL872,NFL26
CG24,PL875
PL875,NFL30
CG23,PL884
PL884,NFL28
CG38,PL898
PL898,NFL17
CG100,PL912
PL912,NFL26
CG137,PL921
PL921,NFL11
CG173,PL923
PL923,NFL28
CG97,PL930
PL930,NFL26
CG99,PL943
PL943,NFL12
CG18,PL949
PL949,NFL8
CG25,PL956
PL956,NFL10
CG115,PL963
PL963,NFL30
CG49,PL969
PL969,NFL1
CG21,PL981
PL981,NFL24
CG8,PL985
PL985,NFL9
CG113,PL986
PL986,NFL31
CG100,PL994
PL994,NFL13
CG3,PL997
PL997,NFL2
CG137,PL999
PL999,NFL23
CG2,PL1013
PL1013,NFL3
CG58,PL1016
PL1016,NFL31
CG103,PL1023
PL1023,NFL12
CG54,PL1029
PL1029,NFL19
CG36,PL1035
