Source,Target
CG54,PL568
PL568,NFL9
CG1,PL805
PL805,NFL27
CG24,PL875
PL875,NFL30
CG173,PL923
PL923,NFL28
CG2,PL1013
PL1013,NFL3
CG27,PL1078
PL1078,NFL23
CG32,PL1271
PL1271,NFL4
CG4,PL1276
PL1276,NFL5
CG75,PL1317
PL1317,NFL11
CG33,PL1325
PL1325,NFL6
CG4,PL1327
PL1327,NFL12
CG3,PL1547
PL1547,NFL20
CG111,PL1549
PL1549,NFL16
CG137,PL1596
PL1596,NFL22
CG24,PL1817
PL1817,NFL31
CG136,PL1862
PL1862,NFL25
CG19,PL2022
PL2022,NFL10
CG2,PL2024
PL2024,NFL13
CG6,PL2082
PL2082,NFL11
CG143,PL2194
PL2194,NFL29
CG164,PL2293
PL2293,NFL18
CG61,PL2295
PL2295,NFL29
CG25,PL2307
PL2307,NFL28
CG17,PL2331
PL2331,NFL23
CG107,PL2353
PL2353,NFL9
CG231,PL2359
PL2359,NFL0
CG26,PL2466
PL2466,NFL9
CG176,PL2493
PL2493,NFL17
CG23,PL2548
PL2548,NFL16
CG25,PL2610
PL2610,NFL9
CG226,PL2666
PL2666,NFL31
CG27,PL2818
PL2818,NFL11
CG137,PL2831
PL2831,NFL19
CG100,PL2935
PL2935,NFL24
CG164,PL3036
PL3036,NFL7
CG4,PL3057
PL3057,NFL28
CG24,PL3078
PL3078,NFL16
CG54,PL3085
PL3085,NFL5
CG259,PL3107
PL3107,NFL20
CG113,PL3341
PL3341,NFL11
CG33,PL3389
PL3389,NFL1
CG36,PL3408
PL3408,NFL18
CG268,PL3464
PL3464,NFL1
CG9,PL3547
PL3547,NFL26
CG188,PL3571
PL3571,NFL13
CG267,PL3605
PL3605,NFL22
CG228,PL3658
PL3658,NFL20
CG68,PL3802
PL3802,NFL0
CG70,PL3806
PL3806,NFL7
CG63,PL4057
PL4057,NFL20
CG11,PL4108
PL4108,NFL0
CG86,PL4178
PL4178,NFL1
CG96,PL4265
PL4265,NFL5
CG11,PL4336
PL4336,NFL11
CG12,PL4586
PL4586,NFL23
CG63,PL4593
PL4593,NFL2
CG63,PL4607
PL4607,NFL25
CG153,PL4613
PL4613,NFL10
CG46,PL4629
PL4629,NFL12
CG31,PL4651
PL4651,NFL15
CG166,PL4717
PL4717,NFL23
CG153,PL4781
PL4781,NFL10
CG11,PL4901
PL4901,NFL2
CG32,PL4976
PL4976,NFL28
CG12,PL5083
PL5083,NFL30
CG1,PL5085
PL5085,NFL0
CG82,PL5155
PL5155,NFL31
CG303,PL5289
PL5289,NFL11
CG243,PL5317
PL5317,NFL24
CG195,PL5350
PL5350,NFL16
CG19,PL5421
PL5421,NFL9
CG49,PL5668
PL5668,NFL17
CG54,PL5811
PL5811,NFL2
CG1,PL5817
PL5817,NFL24
CG96,PL5829
PL5829,NFL25
CG13,PL5834
PL5834,NFL8
CG49,PL5853
PL5853,NFL15
CG162,PL5899
PL5899,NFL1
CG318,PL5945
PL5945,NFL28
CG14,PL5963
PL5963,NFL21
CG102,PL6153
PL6153,NFL11
CG25,PL6208
PL6208,NFL13
CG43,PL6344
PL6344,NFL30
CG195,PL6730
PL6730,NFL24
CG9,PL6760
PL6760,NFL14
CG111,PL6787
PL6787,NFL10
CG253,PL6792
PL6792,NFL29
CG39,PL7101
PL7101,NFL7
CG35,PL7174
PL7174,NFL5
CG252,PL7181
PL7181,NFL22
CG238,PL7415
PL7415,NFL14
CG203,PL7500
PL7500,NFL19
CG139,PL7563
PL7563,NFL2
CG49,PL7776
PL7776,NFL25
CG368,PL7880
PL7880,NFL2
CG17,PL8095
PL8095,NFL3
CG24,PL8096
PL8096,NFL11
CG63,PL8100
PL8100,NFL29
CG111,PL8104
PL8104,NFL22
CG63,PL8138
PL8138,NFL23
CG12,PL8441
PL8441,NFL20
CG245,PL8478
PL8478,NFL4
CG73,PL8678
PL8678,NFL20
CG103,PL8789
PL8789,NFL20
CG52,PL8798
PL8798,NFL26
CG185,PL8831
PL8831,NFL1
CG46,PL9098
PL9098,NFL2
CG63,PL9101
PL9101,NFL10
CG333,PL9104
PL9104,NFL1
CG155,PL9174
PL9174,NFL8
CG4,PL9266
PL9266,NFL27
CG73,PL9313
PL9313,NFL20
CG132,PL9424
PL9424,NFL24
CG115,PL9446
PL9446,NFL9
CG75,PL9791
PL9791,NFL30
CG21,PL9800
PL9800,NFL26
CG103,PL9982
PL9982,NFL12
CG9,PL10092
PL10092,NFL12
CG12,PL10113
PL10113,NFL19
CG193,PL10145
PL10145,NFL12
CG23,PL10463
PL10463,NFL10
CG106,PL10627
PL10627,NFL14
CG96,PL10776
PL10776,NFL14
CG4,PL10872
PL10872,NFL28
CG3,PL11096
PL11096,NFL8
CG354,PL11180
PL11180,NFL30
CG3,PL11340
PL11340,NFL1
CG164,PL11418
PL11418,NFL30
CG23,PL11422
PL11422,NFL27
CG35,PL11425
PL11425,NFL11
CG21,PL11433
PL11433,NFL22
CG111,PL11777
PL11777,NFL24
CG137,PL11785
PL11785,NFL2
CG35,PL11814
PL11814,NFL29
CG150,PL12140
PL12140,NFL16
CG51,PL12200
PL12200,NFL30
CG234,PL12203
PL12203,NFL20
CG32,PL12461
PL12461,NFL4
CG69,PL12665
PL12665,NFL18
CG175,PL12690
PL12690,NFL10
CG54,PL13025
PL13025,NFL9
CG51,PL13028
PL13028,NFL21
CG23,PL13082
PL13082,NFL12
CG235,PL13086
PL13086,NFL9
CG31,PL13120
PL13120,NFL11
CG293,PL13368
PL13368,NFL20
