ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL24,Marquise Brown,Player,0,0,22,2019,1,25,WR,Oklahoma,BAL
PL31,N'Keal Harry,Player,0,0,21,2019,1,32,WR,Arizona St.,NWE
PL35,Deebo Samuel,Player,0,0,23,2019,2,36,WR,South Carolina,SFO
PL50,A.J. Brown,Player,0,0,22,2019,2,51,WR,Mississippi,TEN
PL55,Mecole Hardman,Player,0,0,21,2019,2,56,WR,Georgia,KAN
PL56,JJ Arcega-Whiteside,Player,0,0,22,2019,2,57,WR,Stanford,PHI
PL58,Parris Campbell,Player,0,0,22,2019,2,59,WR,Ohio St.,IND
PL61,Andy Isabella,Player,0,0,22,2019,2,62,WR,Massachusetts,ARI
PL63,D.K. Metcalf,Player,0,0,21,2019,2,64,WR,Mississippi,SEA
PL65,Diontae Johnson,Player,0,0,23,2019,3,66,WR,Toledo,PIT
PL66,Jalen Hurd,Player,0,0,23,2019,3,67,WR,Baylor,SFO
PL75,Terry McLaurin,Player,0,0,23,2019,3,76,WR,Ohio St.,WAS
PL92,Miles Boykin,Player,0,0,22,2019,3,93,WR,Notre Dame,BAL
PL102,Hakeem Butler,Player,0,0,23,2019,4,103,WR,Iowa St.,ARI
PL119,Gary Jennings Jr.,Player,0,0,22,2019,4,120,WR,West Virginia,SEA
PL125,Riley Ridley,Player,0,0,23,2019,4,126,WR,Georgia,CHI
PL148,Hunter Renfrow,Player,0,0,23,2019,5,149,WR,Clemson,OAK
PL170,Darius Slayton,Player,0,0,22,2019,5,171,WR,Auburn,NYG
PL173,KeeSean Johnson,Player,0,0,22,2019,6,174,WR,Fresno St.,ARI
PL183,Travis Fulgham,Player,0,0,23,2019,6,184,WR,Old Dominion,DET
PL186,Juwann Winfree,Player,0,0,23,2019,6,187,WR,Colorado,DEN
PL202,Marcus Green,Player,0,0,23,2019,6,203,WR,La-Monroe,ATL
PL205,Kelvin Harmon,Player,0,0,22,2019,6,206,WR,North Carolina St.,WAS
PL207,Scott Miller,Player,0,0,22,2019,6,208,WR,Bowling Green,TAM
PL235,John Ursua,Player,0,0,25,2019,7,236,WR,Hawaii,SEA
PL236,Terry Godwin,Player,0,0,22,2019,7,237,WR,Georgia,CAR
PL238,Dillon Mitchell,Player,0,0,22,2019,7,239,WR,Oregon,MIN
PL246,Olabisi Johnson,Player,0,0,22,2019,7,247,WR,Colorado St.,MIN
PL276,D.J. Moore,Player,0,0,21,2018,1,24,WR,Maryland,CAR
PL278,Calvin Ridley,Player,0,0,23,2018,1,26,WR,Alabama,ATL
PL292,Courtland Sutton,Player,0,0,22,2018,2,40,WR,SMU,DEN
PL296,Dante Pettis,Player,0,0,22,2018,2,44,WR,Washington,SFO
PL299,Christian Kirk,Player,0,0,21,2018,2,47,WR,Texas A&M,ARI
PL303,Anthony Miller,Player,0,0,23,2018,2,51,WR,Memphis,CHI
PL312,James Washington,Player,0,0,22,2018,2,60,WR,Oklahoma St.,PIT
PL313,DJ Chark,Player,0,0,21,2018,2,61,WR,LSU,JAX
PL333,Michael Gallup,Player,0,0,22,2018,3,81,WR,Colorado St.,DAL
PL343,Tre'Quan Smith,Player,0,0,22,2018,3,91,WR,Central Florida,NOR
PL355,Keke Coutee,Player,0,0,21,2018,4,103,WR,Texas Tech,HOU
PL357,Antonio Callaway,Player,0,0,21,2018,4,105,WR,Florida,CLE
PL365,DaeSean Hamilton,Player,0,0,23,2018,4,113,WR,Penn St.,DEN
PL384,Jaleel Scott,Player,0,0,23,2018,4,132,WR,New Mexico St.,BAL
PL385,J'Mon Moore,Player,0,0,23,2018,4,133,WR,Missouri,GNB
PL396,Justin Watson,Player,0,0,23,2018,5,144,WR,Pennsylvania,TAM
PL411,Daurice Fountain,Player,0,0,22,2018,5,159,WR,Northern Iowa,IND
PL414,Jordan Lasley,Player,0,0,21,2018,5,162,WR,UCLA,BAL
PL426,Marquez Valdes-Scantling,Player,0,0,23,2018,5,174,WR,South Florida,GNB
PL427,Damion Ratley,Player,0,0,23,2018,6,175,WR,Texas A&M,CLE
PL437,Deon Cain,Player,0,0,22,2018,6,185,WR,Clemson,IND
PL439,Ray-Ray McCloud,Player,0,0,21,2018,6,187,WR,Clemson,BUF
PL443,Dylan Cantrell,Player,0,0,24,2018,6,191,WR,Texas Tech,LAC
PL446,Russell Gage,Player,0,0,22,2018,6,194,WR,LSU,ATL
PL448,Tremon Smith,Player,0,0,22,2018,6,196,WR,Central Arkansas,KAN
PL459,Equanimeous St. Brown,Player,0,0,21,2018,6,207,WR,Notre Dame,GNB
PL460,Cedrick Wilson,Player,0,0,22,2018,6,208,WR,Boise St.,DAL
PL462,Braxton Berrios,Player,0,0,22,2018,6,210,WR,Miami (FL),NWE
PL476,Javon Wims,Player,0,0,23,2018,7,224,WR,Georgia,CHI
PL480,Marcell Ateman,Player,0,0,23,2018,7,228,WR,Oklahoma St.,OAK
PL490,Richie James,Player,0,0,23,2018,7,240,WR,Middle Tenn. St.,SFO
PL503,Auden Tate,Player,0,0,21,2018,7,253,WR,Florida St.,CIN
PL505,Austin Proehl,Player,0,0,22,2018,7,255,WR,North Carolina,BUF
PL506,Trey Quinn,Player,0,0,22,2018,7,256,WR,SMU,WAS
PL511,Corey Davis,Player,0,0,22,2017,1,5,WR,West. Michigan,TEN
PL513,Mike Williams,Player,0,0,22,2017,1,7,WR,Clemson,LAC
PL515,John Ross,Player,0,0,22,2017,1,9,WR,Washington,CIN
PL543,Zay Jones,Player,0,0,22,2017,2,37,WR,East Carolina,BUF
PL546,Curtis Samuel,Player,0,0,21,2017,2,40,WR,Ohio St.,CAR
PL568,JuJu Smith-Schuster,Player,0,1,20,2017,2,62,WR,USC,PIT
PL575,Cooper Kupp,Player,0,0,24,2017,3,69,WR,East. Washington,LAR
PL578,Taywan Taylor,Player,0,0,22,2017,3,72,WR,Western Kentucky,TEN
PL585,ArDarius Stewart,Player,0,0,23,2017,3,79,WR,Alabama,NYJ
PL588,Carlos Henderson,Player,0,0,22,2017,3,82,WR,Louisiana Tech,DEN
PL590,Chris Godwin,Player,0,0,21,2017,3,84,WR,Penn St.,TAM
PL602,Kenny Golladay,Player,0,0,23,2017,3,96,WR,Northern Illinois,DET
PL604,Chad Williams,Player,0,0,22,2017,3,98,WR,Grambling St.,ARI
PL612,Amara Darboh,Player,0,0,23,2017,3,106,WR,Michigan,SEA
PL616,Dede Westbrook,Player,0,0,23,2017,4,110,WR,Oklahoma,JAX
PL623,Josh Reynolds,Player,0,0,22,2017,4,117,WR,Texas A&M,LAR
PL624,Mack Hollins,Player,0,0,23,2017,4,118,WR,North Carolina,PHI
PL634,Josh Malone,Player,0,0,21,2017,4,128,WR,Tennessee,CIN
PL639,Ryan Switzer,Player,0,0,22,2017,4,133,WR,North Carolina,DAL
PL645,Jehu Chesson,Player,0,0,23,2017,4,139,WR,Michigan,KAN
PL647,Chad Hansen,Player,0,0,22,2017,4,141,WR,California,NYJ
PL672,Shelton Gibson,Player,0,0,22,2017,5,166,WR,West Virginia,PHI
PL676,Rodney Adams,Player,0,0,22,2017,5,170,WR,South Florida,MIN
PL678,Isaiah McKenzie,Player,0,0,22,2017,5,172,WR,Georgia,DEN
PL681,DeAngelo Yancey,Player,0,0,22,2017,5,175,WR,Purdue,GNB
PL683,Trent Taylor,Player,0,0,23,2017,5,177,WR,Louisiana Tech,SFO
PL715,Robert Davis,Player,0,0,22,2017,6,209,WR,Georgia St.,WAS
PL724,Stacy Coley,Player,0,0,23,2017,7,219,WR,Miami (FL),MIN
PL731,David Moore,Player,0,0,22,2017,7,226,WR,East Central (OK),SEA
PL742,Isaiah Ford,Player,0,0,21,2017,7,237,WR,Virginia Tech,MIA
PL744,Noah Brown,Player,0,0,21,2017,7,239,WR,Ohio St.,DAL
PL752,Malachi Dupre,Player,0,0,21,2017,7,247,WR,LSU,GNB
PL773,Corey Coleman,Player,0,0,22,2016,1,15,WR,Baylor,CLE
PL779,Will Fuller,Player,0,0,22,2016,1,21,WR,Notre Dame,HOU
PL780,Josh Doctson,Player,0,0,23,2016,1,22,WR,TCU,WAS
PL781,Laquon Treadwell,Player,0,0,21,2016,1,23,WR,Mississippi,MIN
PL798,Sterling Shepard,Player,0,0,23,2016,2,40,WR,Oklahoma,NYG
