ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL568,JuJu Smith-Schuster,Player,0,1,20,2017,2,62,WR,USC,PIT
PL805,Michael Thomas,Player,1,2,23,2016,2,47,WR,Ohio St.,NOR
PL875,Pharoh Cooper,Player,1,1,21,2016,4,117,WR,South Carolina,LAR
PL923,Tyreek Hill,Player,2,3,22,2016,5,165,WR,West Alabama,KAN
PL1013,Amari Cooper,Player,0,3,21,2015,1,4,WR,Alabama,OAK
PL1078,Tyler Lockett,Player,1,1,22,2015,3,69,WR,Kansas St.,SEA
PL1271,Mike Evans,Player,0,2,21,2014,1,7,WR,Texas A&M,TAM
PL1276,Odell Beckham,Player,0,3,21,2014,1,12,WR,LSU,NYG
PL1317,Davante Adams,Player,0,2,21,2014,2,53,WR,Fresno St.,GNB
PL1325,Allen Robinson,Player,0,1,21,2014,2,61,WR,Penn St.,JAX
PL1327,Jarvis Landry,Player,0,4,21,2014,2,63,WR,LSU,MIA
PL1547,DeAndre Hopkins,Player,2,3,21,2013,1,27,WR,Clemson,HOU
PL1549,Cordarrelle Patterson,Player,2,2,22,2013,1,29,WR,Tennessee,MIN
PL1596,Keenan Allen,Player,0,2,21,2013,3,76,WR,California,SDG
PL1817,Alshon Jeffery,Player,0,1,22,2012,2,45,WR,South Carolina,CHI
PL1862,T.Y. Hilton,Player,0,4,22,2012,3,92,WR,Florida International,IND
PL2022,A.J. Green,Player,0,7,23,2011,1,4,WR,Georgia,CIN
PL2024,Julio Jones,Player,2,6,22,2011,1,6,WR,Alabama,ATL
PL2082,Randall Cobb,Player,0,1,21,2011,2,64,WR,Kentucky,GNB
PL2194,Dwayne Harris,Player,0,1,23,2011,6,176,WR,East Carolina,DAL
PL2293,Demaryius Thomas,Player,0,4,22,2010,1,22,WR,Georgia Tech,DEN
PL2295,Dez Bryant,Player,1,3,21,2010,1,24,WR,Oklahoma St.,DAL
PL2307,Dexter McCluster,Player,0,1,21,2010,2,36,WR,Mississippi,KAN
PL2331,Golden Tate,Player,0,1,22,2010,2,60,WR,Notre Dame,SEA
PL2353,Emmanuel Sanders,Player,0,2,23,2010,3,82,WR,SMU,PIT
PL2359,Andre Roberts,Player,1,1,22,2010,3,88,WR,The Citadel,ARI
PL2466,Antonio Brown,Player,4,7,22,2010,6,195,WR,Central Michigan,PIT
PL2493,Marc Mariani,Player,0,1,23,2010,7,222,WR,Montana,TEN
PL2548,Percy Harvin,Player,0,1,21,2009,1,22,WR,Florida,MIN
PL2610,Mike Wallace,Player,0,1,23,2009,3,84,WR,Mississippi,PIT
PL2666,Johnny Knox,Player,0,1,22,2009,5,140,WR,Abilene Christian,CHI
PL2818,Jordy Nelson,Player,0,1,23,2008,2,36,WR,Kansas St.,GNB
PL2831,DeSean Jackson,Player,0,3,21,2008,2,49,WR,California,PHI
PL2935,Matthew Slater,Player,1,7,22,2008,5,153,WR,UCLA,NWE
PL3036,Calvin Johnson,Player,3,6,21,2007,1,2,WR,Georgia Tech,DET
PL3057,Dwayne Bowe,Player,0,1,22,2007,1,23,WR,LSU,KAN
PL3078,Sidney Rice,Player,0,1,21,2007,2,44,WR,South Carolina,MIN
